Season,0
1981,67.0
1982,91.0
1983,63.0
1984,76.0
1985,63.0
1986,90.0
1987,81.0
1988,89.0
1989,57.0
1990,106.0
1991,60.0
1992,83.0
1993,99.0
1994,73.0
1995,87.0
1996,67.0
1997,80.0
1998,76.0
1999,73.0
2000,88.0
2001,89.0
2002,94.0
2003,85.0
2004,59.0
2005,86.0
2006,107.0
2007,72.0
2008,49.0
2009,79.0
2010,103.0
2011,76.0
2012,70.0
2013,82.0
2014,115.0
2015,64.0
2016,89.0
2017,98.0
2018,92.0
2019,85.0
2020,104.0
2021,78.0
2022,93.0
2023,97.0
2024,98.0
2025,104.0
2026,107.0
2027,100.0
2028,102.0
2029,86.0
2030,103.0
2031,87.0
2032,86.0
2033,130.0
2034,101.0
2035,93.0
2036,68.0
2037,107.0
2038,113.0
2039,102.0
2040,120.0
2041,97.0
2042,103.0
2043,102.0
2044,96.0
2045,111.0
2046,106.0
2047,86.0
2048,108.0
2049,119.0
2050,99.0
2051,103.0
2052,96.0
2053,95.0
2054,86.0
2055,82.0
2056,95.0
2057,144.0
2058,79.0
2059,81.0
2060,92.0
2061,87.0
2062,96.0
2063,86.0
2064,68.0
2065,129.0
2066,93.0
2067,103.0
2068,86.0
2069,74.0
2070,74.0
2071,87.0
2072,72.0
2073,105.0
2074,116.0
2075,78.0
2076,102.0
2077,101.0
2078,109.0
2079,114.0
2080,120.0
2081,122.0
2082,110.0
2083,104.0
2084,104.0
2085,93.0
2086,93.0
2087,78.0
2088,100.0
2089,60.0
2090,53.0
2091,72.0
2092,90.0
2093,81.0
2094,48.0
2095,95.0
2096,74.0
2097,94.0
2098,113.0
