Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2028,1,1,1,1,1,2,2,1,30.0,15.0,1.0,6.0,4.0,4.0,3.0,,,,,,,,,,,,
2029,1,1,4,1,6,3,7,17,35.0,8.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2030,5,5,4,1,8,3,4,9,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,20.0,7.0,1.0,2.0,3.0,3.0,,,,
2031,1,8,1,1,6,1,4,20,36.0,11.0,4.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,
2032,2,2,1,3,3,1,3,1,28.0,3.0,40.0,,,,,,,,,,,,,,,,
2033,1,3,1,1,2,9,6,1,28.0,19.0,20.0,6.0,4.0,2.0,4.0,1.0,,,,,,,,,,,
2034,1,18,2,1,6,25,18,25,14.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
2035,1,4,3,3,2,6,43,3,1.0,6.0,14.0,2.0,2.0,,,,,,,,,,,,,,
2036,1,1,3,3,14,1,2,1,5.0,2.0,21.0,1.0,4.0,17.0,3.0,1.0,2.0,1.0,,,,,,,,,
2037,1,11,13,21,6,1,1,1,1.0,1.0,4.0,3.0,1.0,3.0,5.0,,,,,,,,,,,,
2038,1,4,1,1,2,35,3,1,7.0,15.0,3.0,1.0,9.0,3.0,1.0,,,,,,,,,,,,
2039,2,1,2,2,1,9,49,4,4.0,5.0,2.0,2.0,8.0,,,,,,,,,,,,,,
2040,2,2,3,1,4,3,59,2,1.0,3.0,5.0,1.0,6.0,4.0,1.0,1.0,1.0,,,,,,,,,,
2041,2,8,7,5,4,23,28,1,4.0,8.0,1.0,,,,,,,,,,,,,,,,
2042,1,1,1,3,7,4,17,1,1.0,16.0,1.0,6.0,5.0,2.0,3.0,7.0,,,,,,,,,,,
2043,4,2,3,2,10,9,13,23,10.0,1.0,4.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,
