Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2016,1,1,1,1,60,4,2,3,5.0,2.0,2.0,5.0,1.0,1.0,,,,,,,,,,,,
2017,1,1,1,5,3,1,1,2,35.0,3.0,5.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,,,,
2018,1,1,3,9,3,6,2,1,16.0,5.0,24.0,1.0,9.0,2.0,7.0,,,,,,,,,,,
2019,1,5,2,8,1,2,1,3,2.0,9.0,1.0,1.0,1.0,2.0,16.0,1.0,23.0,8.0,4.0,1.0,1.0,1.0,2.0,1.0,,
2020,1,4,20,12,2,2,5,2,4.0,27.0,6.0,5.0,2.0,4.0,6.0,1.0,1.0,2.0,1.0,8.0,,,,,,
2021,2,2,1,2,1,2,1,2,12.0,22.0,1.0,5.0,1.0,8.0,1.0,,,,,,,,,,,
2022,1,1,12,1,1,26,5,2,1.0,2.0,14.0,8.0,6.0,8.0,1.0,3.0,,,,,,,,,,
2023,3,2,1,1,1,3,1,1,2.0,2.0,43.0,11.0,1.0,1.0,2.0,2.0,4.0,2.0,,,,,,,,
2024,5,4,3,1,2,6,5,1,6.0,4.0,1.0,8.0,10.0,1.0,2.0,24.0,6.0,18.0,6.0,3.0,,,,,,
2025,1,7,6,1,18,4,19,19,6.0,11.0,9.0,2.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,
2026,1,1,2,2,2,2,2,1,4.0,1.0,25.0,27.0,7.0,8.0,7.0,8.0,1.0,1.0,1.0,,,,,,,
2027,2,5,13,39,10,1,1,1,26.0,10.0,3.0,1.0,11.0,2.0,,,,,,,,,,,,
2028,1,2,1,1,2,1,2,1,14.0,14.0,15.0,1.0,6.0,4.0,4.0,1.0,3.0,,,,,,,,,
2029,1,1,1,4,6,3,5,1,17.0,35.0,8.0,3.0,1.0,1.0,,,,,,,,,,,,
2030,5,3,4,1,4,3,3,4,2.0,5.0,2.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,20.0,4.0,1.0,1.0,2.0,3.0,2.0,
2031,1,8,1,6,1,4,20,36,11.0,3.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,
2032,2,2,1,3,2,1,3,28,3.0,40.0,,,,,,,,,,,,,,,,
2033,1,1,3,1,1,2,10,6,1.0,6.0,21.0,19.0,20.0,6.0,3.0,2.0,4.0,1.0,,,,,,,,
2034,1,19,2,1,6,25,18,25,14.0,2.0,1.0,2.0,,,,,,,,,,,,,,
2035,1,1,1,2,1,1,2,6,43.0,3.0,1.0,6.0,14.0,2.0,1.0,,,,,,,,,,,
2036,1,2,3,3,12,1,1,2,5.0,2.0,21.0,1.0,4.0,17.0,3.0,1.0,2.0,1.0,,,,,,,,
2037,1,11,13,21,5,1,1,1,4.0,3.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,
2038,1,4,1,1,2,1,33,3,1.0,7.0,15.0,3.0,1.0,9.0,3.0,1.0,,,,,,,,,,
2039,2,1,2,2,1,9,49,4,1.0,5.0,2.0,2.0,8.0,,,,,,,,,,,,,
2040,2,2,3,1,4,3,59,2,1.0,3.0,5.0,6.0,3.0,1.0,1.0,1.0,,,,,,,,,,
2041,1,8,6,5,4,23,28,1,4.0,8.0,1.0,,,,,,,,,,,,,,,
2042,1,1,1,3,7,4,17,1,1.0,16.0,1.0,6.0,6.0,1.0,3.0,7.0,,,,,,,,,,
2043,3,2,3,2,10,9,13,23,10.0,2.0,4.0,2.0,1.0,3.0,1.0,,,,,,,,,,,
2044,2,2,2,5,5,5,10,1,3.0,1.0,16.0,3.0,7.0,15.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,9.0,2.0,1.0,2.0
