Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1981,2,1,12,12,2,3,1,3.0,4.0,4.0,4.0,11.0,3.0,3.0,2.0,3.0,,,,,,,,,,,
1982,1,2,8,3,17,8,21,3.0,8.0,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,
1983,1,4,2,2,1,2,2,1.0,5.0,20.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,6.0,1.0,3.0,1.0,,,
1984,6,1,5,12,3,3,1,1.0,2.0,2.0,5.0,1.0,1.0,1.0,14.0,1.0,5.0,,,,,,,,,,
1985,2,4,6,1,8,4,20,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,
1986,2,5,2,1,2,1,3,4.0,1.0,5.0,9.0,1.0,2.0,5.0,8.0,14.0,1.0,1.0,5.0,,,,,,,,
1987,2,4,3,18,1,6,44,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
1988,4,2,15,2,8,9,3,19.0,8.0,8.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
1989,2,1,1,4,2,2,24,34.0,2.0,9.0,3.0,,,,,,,,,,,,,,,,
1990,3,1,12,3,1,5,9,2.0,3.0,4.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,
1991,1,1,1,31,3,1,3,2.0,10.0,1.0,6.0,1.0,7.0,5.0,1.0,1.0,2.0,,,,,,,,,,
1992,2,2,2,18,19,2,5,4.0,23.0,1.0,7.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,
1993,1,2,1,2,1,3,7,3.0,16.0,4.0,2.0,2.0,3.0,33.0,9.0,17.0,4.0,2.0,1.0,,,,,,,,
1994,3,2,1,3,3,1,25,10.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1995,1,9,8,2,7,1,11,10.0,1.0,4.0,2.0,1.0,1.0,8.0,2.0,1.0,,,,,,,,,,,
1996,1,1,1,14,11,9,9,4.0,2.0,3.0,2.0,2.0,3.0,1.0,5.0,1.0,,,,,,,,,,,
1997,1,2,1,1,23,1,1,1.0,4.0,8.0,9.0,7.0,6.0,1.0,7.0,1.0,1.0,,,,,,,,,,
1998,5,5,14,1,1,14,35,6.0,20.0,1.0,9.0,1.0,,,,,,,,,,,,,,,
1999,7,4,3,13,2,4,2,8.0,12.0,4.0,1.0,10.0,3.0,4.0,1.0,3.0,3.0,,,,,,,,,,
2000,2,2,2,4,1,3,2,13.0,4.0,2.0,2.0,15.0,9.0,1.0,4.0,2.0,7.0,6.0,10.0,1.0,1.0,2.0,5.0,1.0,1.0,,
2001,1,1,1,1,16,8,5,1.0,1.0,4.0,1.0,2.0,2.0,2.0,5.0,8.0,3.0,1.0,3.0,1.0,1.0,,,,,,
2002,1,1,2,4,2,1,2,2.0,1.0,10.0,9.0,5.0,3.0,5.0,6.0,10.0,1.0,2.0,,,,,,,,,
2003,1,12,3,10,3,25,5,2.0,5.0,4.0,1.0,3.0,6.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,
2004,1,12,11,30,15,5,21,4.0,1.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,
2005,2,1,2,13,3,18,2,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,
2006,2,5,1,1,4,1,1,9.0,6.0,19.0,23.0,3.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,
2007,1,1,1,2,1,2,3,1.0,2.0,5.0,1.0,1.0,6.0,13.0,7.0,13.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,
2008,8,4,9,4,11,2,3,11.0,6.0,6.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,
2009,2,2,4,2,10,1,2,1.0,6.0,1.0,1.0,6.0,2.0,1.0,1.0,5.0,3.0,3.0,5.0,4.0,1.0,,,,,,
2010,1,16,11,5,10,1,3,21.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,11.0,,,,,,,,,,,
2011,1,2,12,5,1,6,1,1.0,11.0,1.0,2.0,6.0,2.0,1.0,9.0,5.0,1.0,8.0,3.0,4.0,4.0,,,,,,
2012,1,1,1,2,1,2,6,3.0,2.0,1.0,1.0,2.0,15.0,10.0,2.0,3.0,8.0,1.0,1.0,4.0,,,,,,,
2013,1,1,13,9,7,11,4,1.0,2.0,15.0,1.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,
2014,1,2,1,1,5,2,1,35.0,2.0,1.0,2.0,4.0,20.0,7.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,
2015,1,4,2,1,2,1,4,7.0,3.0,25.0,4.0,18.0,16.0,1.0,,,,,,,,,,,,,
2016,1,1,3,2,3,1,2,14.0,13.0,3.0,36.0,4.0,2.0,1.0,6.0,1.0,,,,,,,,,,,
2017,2,9,3,1,2,2,17,3.0,3.0,1.0,4.0,8.0,8.0,21.0,11.0,2.0,2.0,,,,,,,,,,
2018,1,1,1,2,1,1,1,51.0,30.0,5.0,1.0,1.0,,,,,,,,,,,,,,,
2019,3,1,1,1,1,7,3,1.0,2.0,8.0,5.0,30.0,16.0,1.0,2.0,1.0,2.0,,,,,,,,,,
2020,1,2,3,2,2,1,2,2.0,13.0,8.0,1.0,9.0,9.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,
2021,2,1,3,5,1,4,1,3.0,4.0,10.0,5.0,1.0,4.0,19.0,4.0,1.0,1.0,3.0,1.0,6.0,5.0,1.0,5.0,,,,
2022,1,2,1,4,1,5,1,8.0,1.0,10.0,2.0,2.0,10.0,1.0,,,,,,,,,,,,,
2023,1,1,1,3,2,1,3,17.0,4.0,2.0,9.0,1.0,5.0,3.0,2.0,3.0,6.0,,,,,,,,,,
2024,2,1,4,1,12,1,11,8.0,21.0,7.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
2025,2,1,5,11,1,9,1,1.0,15.0,42.0,2.0,1.0,7.0,12.0,2.0,1.0,1.0,3.0,,,,,,,,,
2026,2,2,3,5,1,4,6,4.0,2.0,2.0,1.0,14.0,1.0,9.0,4.0,2.0,4.0,2.0,2.0,1.0,,,,,,,
2027,2,1,1,3,8,1,15,11.0,1.0,10.0,6.0,11.0,4.0,2.0,8.0,1.0,,,,,,,,,,,
2028,1,3,1,6,9,1,11,2.0,16.0,6.0,3.0,4.0,8.0,1.0,1.0,1.0,5.0,1.0,3.0,,,,,,,,
2029,1,1,1,4,1,3,15,22.0,2.0,6.0,7.0,5.0,2.0,,,,,,,,,,,,,,
2030,1,1,1,1,1,1,2,2.0,1.0,1.0,8.0,2.0,5.0,25.0,23.0,8.0,2.0,1.0,4.0,2.0,2.0,,,,,,
2031,1,1,4,2,1,1,2,2.0,14.0,12.0,35.0,1.0,2.0,7.0,1.0,4.0,6.0,,,,,,,,,,
2032,1,1,1,7,2,2,1,13.0,12.0,1.0,2.0,2.0,3.0,2.0,10.0,13.0,2.0,7.0,,,,,,,,,
2033,1,1,5,1,5,2,3,8.0,19.0,1.0,10.0,12.0,7.0,2.0,3.0,12.0,6.0,1.0,1.0,,,,,,,,
2034,1,7,7,22,9,3,2,1.0,11.0,1.0,34.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,
2035,1,9,5,1,2,21,15,38.0,3.0,11.0,1.0,1.0,,,,,,,,,,,,,,,
2036,1,10,1,3,5,6,4,3.0,3.0,3.0,10.0,6.0,5.0,13.0,8.0,3.0,2.0,5.0,,,,,,,,,
2037,1,1,1,1,4,7,1,2.0,7.0,4.0,5.0,16.0,24.0,5.0,7.0,,,,,,,,,,,,
2038,1,2,4,1,1,1,2,5.0,10.0,1.0,34.0,4.0,8.0,3.0,,,,,,,,,,,,,
2039,1,2,1,1,1,3,1,1.0,8.0,1.0,2.0,7.0,24.0,5.0,3.0,28.0,6.0,1.0,1.0,1.0,,,,,,,
2040,3,8,7,2,1,2,9,24.0,7.0,29.0,1.0,2.0,14.0,9.0,,,,,,,,,,,,,
2041,4,3,15,14,39,27,21,,,,,,,,,,,,,,,,,,,,
2042,2,5,3,4,1,2,3,3.0,3.0,1.0,46.0,12.0,5.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,
2043,1,13,1,1,8,2,2,2.0,1.0,4.0,1.0,8.0,14.0,1.0,10.0,2.0,2.0,7.0,1.0,1.0,,,,,,,
2044,1,4,8,3,8,6,58,7.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,
2045,1,1,2,1,5,47,2,39.0,3.0,8.0,3.0,,,,,,,,,,,,,,,,
2046,2,1,1,6,1,6,10,2.0,11.0,1.0,19.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,,,,,,,
2047,2,4,19,42,4,12,1,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
2048,1,1,1,4,65,24,1,1.0,20.0,3.0,,,,,,,,,,,,,,,,,
2049,1,1,2,1,2,6,2,8.0,1.0,2.0,2.0,1.0,2.0,25.0,20.0,3.0,11.0,1.0,5.0,15.0,3.0,,,,,,
2050,1,4,4,12,2,1,2,1.0,1.0,18.0,44.0,2.0,12.0,1.0,1.0,,,,,,,,,,,,
2051,2,6,2,3,6,1,1,17.0,18.0,1.0,1.0,16.0,2.0,2.0,1.0,,,,,,,,,,,,
2052,1,1,3,3,2,5,4,4.0,5.0,6.0,11.0,5.0,5.0,38.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,
2053,2,4,1,1,10,16,4,3.0,3.0,40.0,2.0,1.0,15.0,6.0,1.0,4.0,1.0,1.0,,,,,,,,,
2054,2,1,1,2,1,4,23,1.0,1.0,3.0,6.0,2.0,2.0,10.0,7.0,3.0,4.0,2.0,7.0,7.0,1.0,14.0,3.0,3.0,1.0,5.0,1.0
2055,1,1,2,2,3,1,5,1.0,2.0,1.0,65.0,14.0,12.0,2.0,,,,,,,,,,,,,
2056,1,1,2,4,4,1,5,1.0,1.0,1.0,2.0,15.0,3.0,40.0,1.0,12.0,1.0,3.0,1.0,1.0,,,,,,,
2057,1,1,2,3,2,1,19,15.0,2.0,11.0,18.0,3.0,1.0,2.0,15.0,2.0,5.0,,,,,,,,,,
2058,1,20,5,1,2,19,13,3.0,12.0,1.0,60.0,2.0,1.0,1.0,,,,,,,,,,,,,
2059,9,1,6,1,1,6,20,1.0,10.0,9.0,13.0,4.0,34.0,1.0,25.0,2.0,2.0,1.0,,,,,,,,,
2060,2,5,2,2,4,3,2,1.0,2.0,2.0,6.0,9.0,1.0,20.0,21.0,7.0,1.0,4.0,18.0,5.0,7.0,3.0,1.0,1.0,,,
2061,1,3,4,1,15,59,18,6.0,1.0,,,,,,,,,,,,,,,,,,
2062,2,4,37,1,31,24,25,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
2063,1,4,3,1,13,1,4,75.0,1.0,28.0,1.0,,,,,,,,,,,,,,,,
2064,5,1,2,5,2,1,57,3.0,11.0,8.0,11.0,7.0,1.0,,,,,,,,,,,,,,
2065,1,1,2,5,7,11,9,1.0,44.0,1.0,1.0,9.0,2.0,10.0,,,,,,,,,,,,,
2066,1,1,1,4,1,2,6,8.0,18.0,1.0,21.0,1.0,7.0,8.0,12.0,1.0,2.0,7.0,3.0,1.0,4.0,,,,,,
2067,1,1,1,3,14,1,2,1.0,17.0,1.0,1.0,1.0,2.0,40.0,17.0,1.0,10.0,3.0,,,,,,,,,
2068,1,3,5,3,2,1,19,3.0,41.0,5.0,3.0,5.0,1.0,6.0,3.0,3.0,2.0,1.0,,,,,,,,,
2069,1,1,15,2,11,25,37,3.0,1.0,5.0,5.0,6.0,1.0,3.0,3.0,1.0,,,,,,,,,,,
2070,1,2,1,3,1,3,10,1.0,3.0,6.0,2.0,16.0,7.0,6.0,35.0,3.0,8.0,2.0,1.0,,,,,,,,
2071,2,1,2,2,3,1,26,40.0,9.0,3.0,1.0,5.0,1.0,3.0,4.0,,,,,,,,,,,,
2072,2,1,1,1,2,1,3,30.0,55.0,8.0,16.0,8.0,7.0,,,,,,,,,,,,,,
2073,2,2,6,8,1,2,5,11.0,3.0,8.0,43.0,3.0,2.0,2.0,2.0,3.0,,,,,,,,,,,
2074,1,1,29,36,41,19,14,,,,,,,,,,,,,,,,,,,,
2075,2,8,30,6,58,22,3,6.0,1.0,,,,,,,,,,,,,,,,,,
2076,1,2,6,3,5,1,17,1.0,21.0,3.0,1.0,2.0,31.0,22.0,5.0,,,,,,,,,,,,
2077,1,1,23,8,75,16,11,1.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,
2078,2,2,13,9,2,18,1,10.0,7.0,14.0,2.0,3.0,5.0,1.0,3.0,1.0,2.0,,,,,,,,,,
2079,5,8,8,7,7,1,1,7.0,42.0,53.0,1.0,3.0,6.0,2.0,2.0,,,,,,,,,,,,
2080,1,1,1,7,1,3,3,13.0,54.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,
2081,5,1,2,3,9,5,5,52.0,1.0,6.0,12.0,1.0,1.0,2.0,,,,,,,,,,,,,
2082,1,1,4,1,1,4,1,8.0,1.0,4.0,9.0,2.0,45.0,33.0,1.0,6.0,2.0,2.0,1.0,1.0,,,,,,,
2083,1,1,2,1,14,2,4,1.0,21.0,2.0,2.0,5.0,38.0,15.0,9.0,4.0,5.0,4.0,,,,,,,,,
2084,2,1,2,1,1,2,5,1.0,60.0,1.0,16.0,1.0,12.0,12.0,,,,,,,,,,,,,
2085,1,3,6,1,3,2,2,4.0,6.0,5.0,4.0,14.0,73.0,2.0,1.0,1.0,1.0,,,,,,,,,,
2086,2,2,1,1,1,1,7,11.0,21.0,67.0,15.0,4.0,1.0,,,,,,,,,,,,,,
2087,1,1,2,1,6,1,1,2.0,2.0,3.0,9.0,9.0,1.0,99.0,14.0,1.0,1.0,,,,,,,,,,
2088,1,5,1,1,2,40,42,6.0,23.0,33.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,
2089,1,4,5,2,3,1,5,6.0,14.0,74.0,20.0,2.0,2.0,3.0,4.0,,,,,,,,,,,,
2090,1,3,1,2,4,4,1,29.0,12.0,54.0,5.0,1.0,5.0,2.0,3.0,,,,,,,,,,,,
2091,6,1,1,1,2,1,2,1.0,14.0,4.0,14.0,19.0,12.0,13.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,8.0,,,,,
2092,1,1,2,1,1,18,2,3.0,11.0,81.0,16.0,10.0,2.0,,,,,,,,,,,,,,
2093,1,1,3,9,11,3,54,13.0,4.0,2.0,2.0,11.0,4.0,2.0,2.0,,,,,,,,,,,,
2094,2,1,4,10,10,18,8,84.0,1.0,1.0,,,,,,,,,,,,,,,,,
2095,3,2,1,1,2,1,1,2.0,2.0,2.0,4.0,8.0,99.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,
2096,1,1,2,1,4,2,11,3.0,13.0,70.0,8.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,
2097,1,2,4,6,1,4,3,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,15.0,113.0,,,,,,,,,,
2098,4,4,5,1,24,72,6,7.0,2.0,,,,,,,,,,,,,,,,,,
