Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2001,1,3,1,5,3,3,5,2,1,1.0,4.0,2.0,1.0,5.0,17.0,5.0,5.0,3.0,2.0,3.0,4.0,1.0,2.0,,,,,
2002,2,1,1,3,9,9,37,13,2,,,,,,,,,,,,,,,,,,,
2003,2,1,3,1,1,6,6,5,22,1.0,2.0,3.0,1.0,7.0,,,,,,,,,,,,,,
2004,3,4,1,3,3,3,62,2,6,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2005,1,3,1,5,6,18,24,1,1,7.0,16.0,2.0,2.0,1.0,5.0,,,,,,,,,,,,,
2006,1,3,1,1,7,1,5,2,1,5.0,2.0,1.0,3.0,1.0,1.0,3.0,18.0,2.0,1.0,,,,,,,,,
2007,1,2,1,4,15,5,3,1,4,4.0,30.0,5.0,4.0,1.0,21.0,1.0,4.0,,,,,,,,,,,
2008,4,1,4,1,1,5,5,9,1,1.0,1.0,9.0,3.0,2.0,1.0,7.0,2.0,,,,,,,,,,,
2009,3,15,1,1,16,1,6,1,3,4.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,
2010,1,1,1,5,2,12,5,1,23,6.0,5.0,,,,,,,,,,,,,,,,,
2011,2,4,1,2,3,1,8,36,36,5.0,4.0,,,,,,,,,,,,,,,,,
2012,1,2,2,1,2,3,2,2,16,28.0,13.0,18.0,4.0,1.0,1.0,,,,,,,,,,,,,
2013,1,1,10,3,1,12,1,2,1,3.0,20.0,7.0,1.0,4.0,1.0,4.0,7.0,3.0,,,,,,,,,,
2014,1,2,2,5,4,3,2,7,17,2.0,8.0,,,,,,,,,,,,,,,,,
2015,2,2,1,4,2,13,27,3,2,1.0,16.0,1.0,10.0,1.0,2.0,1.0,2.0,6.0,1.0,7.0,1.0,,,,,,,
2016,1,3,1,13,22,2,3,1,4,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2017,2,2,3,1,1,25,4,4,1,14.0,2.0,2.0,1.0,6.0,1.0,,,,,,,,,,,,,
2018,5,2,1,1,1,4,4,1,2,19.0,6.0,10.0,8.0,1.0,9.0,1.0,1.0,,,,,,,,,,,
2019,1,1,1,2,9,5,2,1,2,2.0,10.0,3.0,5.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,,,,,,,,
2020,1,1,3,2,12,1,5,5,3,2.0,22.0,4.0,29.0,5.0,,,,,,,,,,,,,,
2021,9,2,2,3,1,24,2,5,1,3.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,
2022,1,5,7,13,9,12,2,23,1,8.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
2023,3,1,1,2,1,3,6,5,1,1.0,2.0,3.0,2.0,6.0,5.0,1.0,10.0,1.0,13.0,,,,,,,,,
2024,1,4,3,2,2,22,35,5,6,6.0,6.0,3.0,,,,,,,,,,,,,,,,
2025,1,5,1,1,10,10,2,25,12,15.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
2026,1,1,2,1,4,1,4,11,1,2.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,6.0,,,,,,,,,,
2027,2,9,7,2,9,6,2,6,4,5.0,6.0,10.0,1.0,1.0,1.0,,,,,,,,,,,,,
2028,1,1,1,2,3,3,17,48,1,1.0,,,,,,,,,,,,,,,,,,
2029,1,2,1,3,3,1,16,9,9,33.0,10.0,3.0,8.0,2.0,,,,,,,,,,,,,,
2030,2,9,2,1,3,25,10,6,20,1.0,9.0,5.0,1.0,,,,,,,,,,,,,,,
2031,1,3,1,1,6,1,2,2,2,31.0,9.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,
2032,1,3,2,1,1,8,5,4,5,11.0,9.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,,,,,,,,,,
2033,1,1,1,4,3,1,1,22,4,6.0,9.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,
2034,1,1,2,3,1,1,5,3,1,2.0,2.0,10.0,3.0,7.0,15.0,2.0,2.0,2.0,1.0,,,,,,,,,
2035,1,1,1,1,18,1,1,2,1,1.0,1.0,3.0,6.0,1.0,3.0,2.0,,,,,,,,,,,,
2036,1,1,1,1,3,1,1,2,1,1.0,6.0,2.0,10.0,10.0,1.0,25.0,8.0,12.0,4.0,2.0,1.0,2.0,,,,,,
2037,3,1,2,3,1,3,2,1,7,7.0,1.0,1.0,5.0,2.0,3.0,6.0,12.0,13.0,6.0,1.0,4.0,2.0,2.0,,,,,
2038,1,1,2,1,1,1,2,11,2,2.0,5.0,2.0,3.0,3.0,68.0,2.0,3.0,9.0,1.0,1.0,2.0,2.0,2.0,,,,,
2039,1,24,5,50,12,8,4,1,3,,,,,,,,,,,,,,,,,,,
2040,1,2,1,1,3,4,25,1,11,1.0,12.0,14.0,1.0,1.0,,,,,,,,,,,,,,
2041,1,3,1,1,11,7,1,4,12,1.0,15.0,1.0,7.0,15.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,
2042,6,2,1,1,3,2,2,1,1,2.0,10.0,1.0,3.0,2.0,3.0,16.0,1.0,3.0,13.0,1.0,,,,,,,,
2043,3,2,1,3,10,7,31,4,15,1.0,3.0,5.0,5.0,2.0,1.0,,,,,,,,,,,,,
2044,2,6,1,4,9,33,7,2,18,7.0,1.0,,,,,,,,,,,,,,,,,
2045,1,4,3,8,3,1,5,1,10,3.0,4.0,3.0,3.0,2.0,8.0,11.0,1.0,,,,,,,,,,,
2046,1,1,2,3,1,2,8,6,2,4.0,2.0,3.0,16.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,,,,,,,
2047,2,1,3,5,28,10,5,1,1,1.0,1.0,19.0,3.0,,,,,,,,,,,,,,,
2048,4,2,4,3,2,2,1,1,4,11.0,3.0,17.0,10.0,7.0,1.0,4.0,3.0,4.0,4.0,1.0,,,,,,,,
2049,1,3,12,3,9,35,3,8,2,,,,,,,,,,,,,,,,,,,
2050,7,1,1,2,2,10,3,17,2,2.0,1.0,25.0,8.0,2.0,9.0,1.0,4.0,1.0,1.0,,,,,,,,,
2051,3,2,6,3,1,6,7,5,9,23.0,1.0,2.0,3.0,1.0,5.0,2.0,11.0,,,,,,,,,,,
2052,2,1,22,1,1,1,1,4,9,3.0,13.0,15.0,3.0,1.0,10.0,2.0,5.0,3.0,,,,,,,,,,
2053,2,2,2,3,3,2,2,13,5,1.0,7.0,11.0,6.0,3.0,15.0,2.0,6.0,3.0,1.0,2.0,,,,,,,,
2054,5,2,4,2,1,6,4,1,20,1.0,9.0,3.0,53.0,4.0,9.0,3.0,,,,,,,,,,,,
2055,1,1,1,2,1,6,2,3,2,1.0,6.0,60.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,,,,,,
2056,5,3,3,1,1,1,1,1,3,1.0,2.0,6.0,1.0,1.0,1.0,8.0,,,,,,,,,,,,
2057,3,1,2,5,5,3,2,1,2,1.0,25.0,7.0,3.0,10.0,15.0,2.0,2.0,1.0,,,,,,,,,,
2058,4,1,2,1,3,2,1,2,4,5.0,26.0,2.0,36.0,7.0,4.0,1.0,3.0,1.0,1.0,,,,,,,,,
2059,1,1,2,10,2,1,9,1,4,4.0,39.0,4.0,1.0,7.0,3.0,7.0,,,,,,,,,,,,
2060,3,1,1,2,1,1,2,9,30,43.0,1.0,2.0,5.0,12.0,1.0,5.0,,,,,,,,,,,,
2061,3,7,1,1,4,3,1,4,9,5.0,15.0,10.0,20.0,1.0,1.0,1.0,5.0,3.0,,,,,,,,,,
2062,1,2,1,1,6,7,2,3,2,1.0,2.0,8.0,1.0,8.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,5.0,2.0,,,
2063,1,3,1,1,5,1,4,33,4,10.0,13.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
2064,1,1,1,2,2,3,6,3,7,5.0,1.0,5.0,2.0,25.0,4.0,3.0,1.0,,,,,,,,,,,
2065,2,1,10,3,1,1,1,41,1,1.0,19.0,8.0,1.0,5.0,3.0,1.0,,,,,,,,,,,,
2066,1,3,6,5,18,6,18,5,57,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
2067,1,14,10,40,5,3,8,2,2,6.0,1.0,1.0,,,,,,,,,,,,,,,,
2068,2,3,1,3,55,6,13,4,2,1.0,1.0,,,,,,,,,,,,,,,,,
2069,1,1,3,3,2,2,5,17,4,6.0,3.0,1.0,2.0,3.0,4.0,13.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
2070,3,3,44,4,25,26,4,6,1,3.0,1.0,,,,,,,,,,,,,,,,,
2071,3,5,7,1,1,14,1,5,3,8.0,35.0,2.0,2.0,6.0,2.0,2.0,2.0,4.0,,,,,,,,,,
2072,1,1,2,7,1,13,8,1,9,11.0,20.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,,,,,,,,,,
2073,3,1,1,2,2,6,8,1,13,2.0,7.0,1.0,2.0,32.0,1.0,11.0,1.0,2.0,1.0,3.0,3.0,,,,,,,
2074,1,2,30,22,1,17,1,2,3,2.0,3.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,
2075,1,4,2,3,1,23,1,2,1,1.0,7.0,21.0,3.0,32.0,4.0,3.0,9.0,1.0,,,,,,,,,,
2076,2,1,2,4,28,2,1,3,25,17.0,1.0,2.0,,,,,,,,,,,,,,,,
2077,7,1,2,2,7,2,7,34,1,36.0,12.0,1.0,4.0,12.0,,,,,,,,,,,,,,
2078,1,1,1,2,2,2,1,2,4,22.0,1.0,6.0,4.0,18.0,7.0,15.0,4.0,,,,,,,,,,,
2079,1,1,1,2,1,3,2,53,7,26.0,12.0,2.0,,,,,,,,,,,,,,,,
2080,2,3,8,33,7,8,6,5,1,1.0,2.0,3.0,10.0,1.0,,,,,,,,,,,,,,
2081,4,1,5,1,1,8,56,2,10,20.0,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,
2082,1,3,1,2,7,6,26,1,9,1.0,1.0,3.0,12.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,
2083,1,1,1,1,2,2,2,1,2,4.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,13.0,13.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0
2084,6,1,3,1,3,7,6,5,43,2.0,2.0,6.0,1.0,8.0,5.0,3.0,1.0,3.0,,,,,,,,,,
2085,1,5,12,13,2,1,1,5,1,10.0,5.0,3.0,4.0,8.0,1.0,6.0,3.0,3.0,1.0,,,,,,,,,
2086,2,1,3,4,2,2,5,1,68,20.0,3.0,3.0,1.0,,,,,,,,,,,,,,,
2087,1,2,1,1,1,2,2,4,13,46.0,5.0,2.0,1.0,2.0,2.0,3.0,5.0,3.0,1.0,,,,,,,,,
2088,1,1,2,26,14,3,2,7,13,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
2089,2,6,2,1,1,9,3,3,12,53.0,2.0,1.0,2.0,10.0,2.0,1.0,,,,,,,,,,,,
2090,4,2,10,2,1,9,5,5,34,48.0,19.0,,,,,,,,,,,,,,,,,
2091,2,3,2,2,3,5,1,1,11,46.0,1.0,3.0,22.0,4.0,1.0,,,,,,,,,,,,,
2092,3,1,1,1,6,5,2,1,2,2.0,8.0,2.0,26.0,16.0,2.0,2.0,5.0,1.0,1.0,4.0,2.0,,,,,,,
2093,2,3,1,2,2,2,2,4,15,16.0,52.0,12.0,4.0,3.0,,,,,,,,,,,,,,
2094,1,10,2,1,1,21,8,24,3,5.0,2.0,1.0,1.0,16.0,,,,,,,,,,,,,,
2095,5,2,2,31,4,41,9,18,4,12.0,1.0,,,,,,,,,,,,,,,,,
2096,1,2,2,5,1,4,29,3,12,3.0,17.0,2.0,6.0,5.0,4.0,9.0,1.0,,,,,,,,,,,
2097,3,3,1,1,3,1,3,3,41,55.0,2.0,5.0,1.0,4.0,2.0,,,,,,,,,,,,,
2098,1,1,1,1,6,5,17,8,43,1.0,3.0,3.0,1.0,1.0,13.0,2.0,3.0,,,,,,,,,,,
