Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1981,1,1,1,2,1,1,2,6,1,4.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
1982,1,1,2,3,4,1,2,1,1,6.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1983,1,4,3,3,2,1,2,3,3,2.0,4.0,8.0,2.0,1.0,4.0,2.0,2.0,,,,,,,,,,,
1984,1,1,3,4,1,1,2,1,2,1.0,2.0,9.0,1.0,2.0,3.0,3.0,9.0,2.0,6.0,,,,,,,,,
1985,1,3,1,1,3,8,12,2,29,1.0,1.0,1.0,,,,,,,,,,,,,,,,
1986,1,1,27,4,4,19,6,17,1,1.0,3.0,1.0,10.0,1.0,,,,,,,,,,,,,,
1987,1,2,9,3,1,2,2,7,13,1.0,2.0,1.0,1.0,7.0,1.0,11.0,1.0,1.0,,,,,,,,,,
1988,3,10,5,17,2,3,23,5,2,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
1989,2,1,2,1,2,20,26,7,3,12.0,,,,,,,,,,,,,,,,,,
1990,1,1,3,1,5,1,15,2,2,16.0,5.0,7.0,2.0,4.0,,,,,,,,,,,,,,
1991,1,1,1,1,2,20,1,2,42,1.0,4.0,3.0,,,,,,,,,,,,,,,,
1992,5,1,7,2,2,7,9,32,4,1.0,2.0,,,,,,,,,,,,,,,,,
1993,4,2,15,43,10,1,10,3,6,1.0,,,,,,,,,,,,,,,,,,
1994,3,1,1,5,1,12,9,5,1,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
1995,6,3,10,1,7,6,16,2,9,3.0,1.0,2.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,
1996,2,1,2,9,11,3,1,6,2,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,
1997,1,1,4,6,3,5,3,1,2,2.0,5.0,5.0,2.0,14.0,23.0,1.0,2.0,,,,,,,,,,,
1998,1,1,1,1,1,1,1,3,4,6.0,5.0,4.0,3.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,,,,,,,,
1999,1,2,2,21,2,1,1,2,2,13.0,4.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,,
2000,1,1,3,3,1,1,4,1,5,1.0,36.0,12.0,7.0,18.0,1.0,3.0,,,,,,,,,,,,
