Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2031,2,1,6,2,3,1,4,3.0,1.0,1.0,4.0,12.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,7.0,1.0,3.0,,
2032,1,2,4,1,3,2,4,10.0,6.0,6.0,1.0,7.0,3.0,4.0,16.0,1.0,7.0,4.0,,,,,,,,
2033,4,5,1,1,8,9,22,11.0,8.0,2.0,1.0,2.0,1.0,10.0,9.0,1.0,,,,,,,,,,
2034,3,2,4,4,28,4,3,4.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,
2035,2,2,2,1,21,1,6,7.0,23.0,8.0,3.0,2.0,,,,,,,,,,,,,,
2036,2,4,9,5,33,10,6,3.0,3.0,7.0,3.0,1.0,,,,,,,,,,,,,,
2037,1,1,2,4,8,1,1,1.0,18.0,16.0,14.0,,,,,,,,,,,,,,,
2038,2,3,1,22,1,2,3,4.0,1.0,38.0,12.0,5.0,2.0,1.0,,,,,,,,,,,,
2039,12,4,2,8,2,12,1,3.0,8.0,6.0,7.0,14.0,1.0,7.0,3.0,1.0,1.0,,,,,,,,,
2040,2,2,1,2,1,21,13,2.0,2.0,11.0,12.0,4.0,5.0,4.0,1.0,14.0,8.0,2.0,1.0,1.0,4.0,1.0,,,,
2041,1,1,3,1,2,7,6,1.0,2.0,1.0,8.0,24.0,10.0,3.0,2.0,7.0,15.0,4.0,,,,,,,,
2042,1,3,10,4,7,1,6,10.0,11.0,19.0,12.0,2.0,2.0,6.0,7.0,2.0,1.0,1.0,1.0,1.0,,,,,,
2043,3,1,3,1,1,1,6,3.0,1.0,2.0,4.0,9.0,1.0,12.0,16.0,1.0,7.0,3.0,5.0,3.0,1.0,1.0,1.0,,,
2044,1,6,4,3,9,16,1,6.0,2.0,2.0,1.0,15.0,6.0,3.0,5.0,,,,,,,,,,,
2045,4,6,1,2,2,9,14,10.0,14.0,4.0,22.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
2046,1,1,4,3,1,4,3,1.0,1.0,2.0,18.0,1.0,8.0,13.0,5.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,7.0,1.0,,
2047,2,1,2,1,15,1,11,10.0,27.0,26.0,13.0,,,,,,,,,,,,,,,
2048,1,1,1,3,1,29,12,3.0,3.0,1.0,3.0,3.0,2.0,4.0,,,,,,,,,,,,
2049,1,1,2,1,2,7,1,9.0,3.0,1.0,1.0,1.0,16.0,7.0,21.0,3.0,7.0,4.0,15.0,1.0,,,,,,
2050,1,3,2,7,2,10,63,7.0,8.0,1.0,1.0,,,,,,,,,,,,,,,
2051,8,1,3,2,1,7,1,1.0,17.0,13.0,1.0,2.0,1.0,8.0,8.0,5.0,2.0,,,,,,,,,
2052,4,1,3,11,6,15,2,1.0,20.0,7.0,1.0,16.0,3.0,1.0,4.0,6.0,1.0,1.0,,,,,,,,
2053,3,3,2,1,15,1,19,20.0,4.0,17.0,1.0,12.0,4.0,1.0,1.0,,,,,,,,,,,
2054,3,4,4,1,17,13,2,1.0,1.0,1.0,24.0,18.0,10.0,5.0,7.0,1.0,1.0,1.0,,,,,,,,
2055,1,2,3,3,2,3,1,1.0,52.0,10.0,16.0,7.0,4.0,,,,,,,,,,,,,
2056,6,4,2,1,2,1,4,4.0,10.0,7.0,25.0,6.0,12.0,2.0,9.0,14.0,1.0,2.0,,,,,,,,
2057,1,1,1,9,1,3,4,1.0,5.0,4.0,1.0,1.0,6.0,3.0,4.0,2.0,8.0,3.0,5.0,5.0,1.0,3.0,,,,
2058,2,5,1,3,1,1,4,1.0,2.0,1.0,4.0,6.0,2.0,35.0,19.0,5.0,,,,,,,,,,
2059,2,1,1,1,2,3,7,1.0,10.0,2.0,3.0,19.0,5.0,10.0,1.0,10.0,7.0,3.0,11.0,1.0,,,,,,
2060,1,1,1,4,6,1,15,4.0,3.0,15.0,21.0,17.0,3.0,1.0,6.0,1.0,7.0,1.0,2.0,,,,,,,
2061,1,2,1,4,1,1,1,2.0,2.0,45.0,10.0,15.0,1.0,3.0,6.0,1.0,2.0,7.0,1.0,,,,,,,
2062,1,2,5,20,3,1,3,70.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
2063,2,1,8,22,5,31,2,8.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,
2064,5,1,10,8,3,1,7,5.0,51.0,3.0,14.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
2065,2,2,2,2,1,1,2,12.0,1.0,8.0,2.0,1.0,42.0,4.0,3.0,1.0,12.0,4.0,3.0,2.0,1.0,6.0,6.0,,,
2066,2,1,6,1,6,1,3,7.0,5.0,6.0,5.0,4.0,28.0,3.0,3.0,2.0,14.0,5.0,4.0,6.0,2.0,,,,,
2067,13,1,1,1,8,11,3,2.0,3.0,2.0,4.0,24.0,5.0,19.0,6.0,,,,,,,,,,,
2068,2,2,1,2,3,1,2,36.0,7.0,1.0,31.0,20.0,2.0,5.0,8.0,2.0,,,,,,,,,,
2069,1,3,2,1,3,1,4,6.0,4.0,58.0,1.0,3.0,1.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,,,,,,
2070,2,3,1,4,47,8,7,15.0,1.0,35.0,3.0,7.0,1.0,2.0,,,,,,,,,,,,
2071,1,2,3,1,4,1,10,1.0,97.0,7.0,1.0,1.0,4.0,11.0,1.0,1.0,,,,,,,,,,
2072,2,1,1,1,3,1,67,8.0,9.0,17.0,,,,,,,,,,,,,,,,
2073,5,26,1,28,40,4,1,3.0,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,
2074,1,1,1,3,3,11,3,5.0,21.0,5.0,17.0,21.0,2.0,3.0,1.0,,,,,,,,,,,
2075,1,1,2,1,2,5,6,15.0,6.0,1.0,3.0,42.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2076,3,20,2,2,2,47,2,18.0,1.0,8.0,3.0,9.0,1.0,1.0,1.0,,,,,,,,,,,
2077,3,2,1,2,1,5,3,2.0,1.0,14.0,7.0,3.0,5.0,10.0,27.0,9.0,3.0,1.0,5.0,3.0,2.0,,,,,
2078,3,2,4,4,6,19,45,3.0,1.0,2.0,6.0,1.0,,,,,,,,,,,,,,
2079,3,2,1,8,2,10,25,1.0,9.0,32.0,3.0,18.0,9.0,2.0,3.0,2.0,1.0,,,,,,,,,
2080,1,1,2,9,3,2,1,72.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
2081,4,1,1,2,1,1,3,15.0,1.0,6.0,11.0,75.0,6.0,6.0,,,,,,,,,,,,
2082,1,1,1,1,5,1,1,8.0,11.0,57.0,12.0,13.0,1.0,16.0,2.0,3.0,,,,,,,,,,
2083,1,4,3,1,1,2,2,1.0,3.0,10.0,57.0,30.0,9.0,1.0,,,,,,,,,,,,
2084,6,4,2,4,1,3,11,1.0,22.0,33.0,1.0,13.0,1.0,1.0,10.0,4.0,3.0,,,,,,,,,
2085,1,2,2,1,2,1,11,1.0,9.0,71.0,1.0,5.0,10.0,5.0,11.0,4.0,,,,,,,,,,
2086,3,1,1,47,32,1,1,9.0,1.0,6.0,9.0,,,,,,,,,,,,,,,
2087,3,2,6,1,3,2,2,19.0,1.0,114.0,1.0,1.0,,,,,,,,,,,,,,
2088,1,1,1,2,3,2,3,7.0,3.0,28.0,53.0,1.0,2.0,11.0,4.0,5.0,7.0,7.0,1.0,2.0,,,,,,
2089,4,2,14,9,79,29,1,,,,,,,,,,,,,,,,,,,
2090,1,4,2,3,1,15,4,1.0,2.0,4.0,3.0,15.0,26.0,5.0,14.0,11.0,4.0,,,,,,,,,
2091,2,9,1,1,3,10,2,1.0,13.0,72.0,2.0,2.0,1.0,3.0,7.0,8.0,1.0,1.0,2.0,,,,,,,
2092,1,11,1,4,2,15,2,1.0,3.0,1.0,1.0,5.0,1.0,10.0,10.0,5.0,7.0,1.0,3.0,5.0,6.0,5.0,1.0,2.0,1.0,3.0
2093,1,4,7,1,2,8,1,6.0,1.0,1.0,14.0,29.0,15.0,2.0,7.0,4.0,3.0,4.0,,,,,,,,
2094,1,2,1,1,1,1,2,3.0,8.0,10.0,29.0,61.0,1.0,15.0,3.0,,,,,,,,,,,
2095,3,1,2,5,5,2,1,4.0,4.0,14.0,2.0,21.0,23.0,15.0,30.0,15.0,2.0,,,,,,,,,
2096,3,14,6,1,1,5,4,2.0,1.0,11.0,1.0,1.0,1.0,1.0,15.0,2.0,19.0,16.0,7.0,3.0,5.0,1.0,1.0,,,
2097,4,1,7,8,4,62,17,1.0,7.0,3.0,2.0,8.0,3.0,4.0,1.0,,,,,,,,,,,
2098,1,7,2,1,2,34,1,1.0,1.0,13.0,32.0,2.0,1.0,9.0,9.0,4.0,3.0,4.0,3.0,,,,,,,
