Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2005,2,1,17,3,12,4,13,12,5.0,3.0,1.0,10.0,5.0,1.0,5.0,,,,,,,,,,,
2006,1,1,1,2,1,3,7,2,1.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,3.0,1.0,2.0,,,,,,
2007,1,1,1,1,8,1,22,39,2.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,,
2008,5,17,2,6,9,1,1,2,15.0,13.0,18.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,
2009,3,8,7,7,1,1,5,3,6.0,7.0,3.0,7.0,2.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,
2010,1,4,1,3,3,22,1,4,9.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,
2011,1,11,12,4,2,2,7,26,16.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
2012,4,3,2,7,4,4,1,1,7.0,14.0,4.0,8.0,4.0,2.0,7.0,1.0,,,,,,,,,,
2013,2,1,2,1,1,2,32,3,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2014,1,8,1,2,20,1,2,1,2.0,8.0,12.0,11.0,5.0,3.0,2.0,1.0,6.0,,,,,,,,,
2015,3,1,2,3,25,4,9,5,29.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2016,1,2,1,7,61,1,2,1,7.0,,,,,,,,,,,,,,,,,
2017,1,2,7,1,2,3,9,30,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,
2018,24,2,22,2,1,19,4,12,6.0,4.0,1.0,1.0,,,,,,,,,,,,,,
2019,1,4,18,7,1,1,3,1,5.0,19.0,32.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
2020,1,2,2,40,55,2,4,3,4.0,2.0,8.0,,,,,,,,,,,,,,,
2021,1,1,1,1,12,1,3,5,13.0,9.0,18.0,2.0,3.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,
2022,3,1,3,1,3,12,2,3,2.0,6.0,1.0,5.0,3.0,1.0,10.0,,,,,,,,,,,
2023,1,2,1,12,3,1,7,19,3.0,3.0,4.0,7.0,1.0,2.0,5.0,1.0,,,,,,,,,,
2024,7,15,11,1,21,3,4,27,2.0,2.0,10.0,2.0,2.0,,,,,,,,,,,,,
2025,1,1,9,7,1,8,1,1,4.0,8.0,14.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,,,,,,,
2026,1,9,5,4,57,8,8,2,2.0,1.0,,,,,,,,,,,,,,,,
2027,2,1,1,1,5,12,26,14,2.0,1.0,5.0,4.0,,,,,,,,,,,,,,
2028,1,1,1,2,1,15,2,1,11.0,5.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,
2029,2,1,1,3,9,8,36,1,1.0,6.0,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,
2030,1,2,1,1,2,1,5,10,17.0,6.0,3.0,2.0,4.0,6.0,2.0,,,,,,,,,,,
2031,1,1,10,1,9,7,29,2,19.0,1.0,1.0,2.0,2.0,5.0,2.0,,,,,,,,,,,
2032,1,1,1,6,1,1,2,1,6.0,8.0,3.0,1.0,4.0,8.0,3.0,2.0,6.0,1.0,2.0,1.0,2.0,10.0,,,,
2033,3,4,3,1,3,9,30,2,1.0,20.0,16.0,2.0,3.0,2.0,5.0,1.0,,,,,,,,,,
2034,1,1,18,2,6,5,26,18,21.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,,,,,,,,,
2035,4,1,2,2,3,1,10,12,28.0,12.0,7.0,3.0,1.0,4.0,,,,,,,,,,,,
2036,1,1,9,2,7,3,8,1,1.0,2.0,25.0,33.0,3.0,1.0,4.0,,,,,,,,,,,
2037,1,11,13,21,5,1,1,1,4.0,3.0,1.0,1.0,5.0,,,,,,,,,,,,,
2038,2,3,3,1,1,4,37,1,29.0,2.0,4.0,7.0,4.0,2.0,1.0,,,,,,,,,,,
2039,2,1,1,1,25,11,19,3,2.0,5.0,4.0,6.0,1.0,,,,,,,,,,,,,
2040,1,2,1,6,2,2,14,1,1.0,15.0,40.0,1.0,1.0,1.0,,,,,,,,,,,,
2041,1,1,2,3,2,2,1,17,1.0,7.0,58.0,5.0,1.0,4.0,,,,,,,,,,,,
2042,1,1,4,3,1,11,4,1,2.0,1.0,3.0,2.0,14.0,3.0,5.0,1.0,3.0,6.0,2.0,2.0,,,,,,
2043,1,4,1,1,1,4,14,5,1.0,20.0,36.0,2.0,28.0,2.0,,,,,,,,,,,,
2044,2,2,2,2,2,5,5,10,1.0,3.0,1.0,16.0,3.0,7.0,15.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,9.0,2.0,1.0,2.0
2045,1,2,4,3,3,1,1,1,22.0,13.0,3.0,2.0,4.0,1.0,5.0,3.0,4.0,,,,,,,,,
2046,3,2,1,1,1,6,2,2,1.0,9.0,17.0,6.0,9.0,7.0,2.0,3.0,1.0,1.0,6.0,4.0,2.0,1.0,1.0,1.0,,
2047,3,10,2,8,3,47,9,6,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,
2048,2,2,9,1,2,2,16,3,9.0,20.0,3.0,3.0,31.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,
2049,1,20,2,1,1,4,10,2,2.0,13.0,2.0,2.0,17.0,15.0,1.0,2.0,13.0,4.0,1.0,1.0,,,,,,
2050,2,1,2,2,9,2,7,10,4.0,9.0,1.0,3.0,35.0,3.0,5.0,,,,,,,,,,,
2051,4,1,1,2,1,9,1,1,9.0,2.0,6.0,7.0,11.0,1.0,2.0,7.0,1.0,3.0,,,,,,,,
2052,1,2,7,9,4,1,3,8,3.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,12.0,3.0,,,,,
2053,1,1,3,16,71,5,8,1,4.0,3.0,,,,,,,,,,,,,,,,
2054,2,1,4,1,17,5,5,1,3.0,27.0,3.0,1.0,3.0,2.0,11.0,7.0,,,,,,,,,,
2055,2,1,17,1,6,3,7,22,27.0,25.0,5.0,1.0,,,,,,,,,,,,,,
2056,1,5,1,2,1,10,2,1,5.0,5.0,5.0,3.0,3.0,18.0,1.0,1.0,2.0,,,,,,,,,
2057,1,1,7,1,1,11,1,1,35.0,14.0,8.0,1.0,5.0,2.0,,,,,,,,,,,,
2058,1,3,23,10,2,1,35,25,1.0,1.0,3.0,,,,,,,,,,,,,,,
2059,3,28,13,3,12,7,1,3,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,,,,,,,,,
2060,2,1,1,3,8,3,4,7,8.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
2061,1,1,1,5,1,2,3,3,2.0,1.0,28.0,3.0,2.0,11.0,12.0,1.0,1.0,2.0,2.0,,,,,,,
2062,1,1,1,1,4,1,1,41,24.0,1.0,5.0,4.0,2.0,6.0,2.0,,,,,,,,,,,
2063,1,2,5,4,2,2,9,1,7.0,1.0,2.0,1.0,10.0,25.0,1.0,4.0,1.0,10.0,1.0,2.0,10.0,1.0,1.0,3.0,,
2064,1,3,4,2,14,12,6,24,1.0,3.0,3.0,6.0,1.0,2.0,,,,,,,,,,,,
2065,1,2,5,2,1,4,6,1,33.0,10.0,4.0,4.0,12.0,,,,,,,,,,,,,
2066,1,2,1,5,9,9,1,6,2.0,1.0,3.0,39.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,,,,,,
2067,2,5,3,1,8,11,15,13,5.0,1.0,3.0,11.0,14.0,8.0,2.0,4.0,1.0,,,,,,,,,
2068,1,1,2,4,4,3,14,10,4.0,20.0,2.0,16.0,6.0,2.0,1.0,2.0,,,,,,,,,,
2069,2,2,2,1,5,1,5,1,1.0,8.0,1.0,1.0,19.0,8.0,1.0,3.0,3.0,8.0,1.0,9.0,,,,,,
2070,1,11,9,59,2,5,2,1,1.0,3.0,2.0,,,,,,,,,,,,,,,
2071,2,1,2,4,1,7,2,4,4.0,10.0,5.0,4.0,9.0,21.0,7.0,1.0,1.0,2.0,,,,,,,,
2072,3,8,23,2,6,2,31,23,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,
2073,3,1,3,35,2,6,19,27,1.0,3.0,12.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
2074,3,11,1,1,1,33,8,2,3.0,1.0,5.0,1.0,6.0,3.0,1.0,,,,,,,,,,,
2075,2,12,6,36,3,17,1,8,7.0,3.0,8.0,1.0,2.0,,,,,,,,,,,,,
2076,3,1,4,3,1,31,33,4,1.0,1.0,4.0,,,,,,,,,,,,,,,
2077,3,5,11,7,1,7,9,5,4.0,6.0,2.0,6.0,1.0,,,,,,,,,,,,,
2078,1,2,1,2,9,1,49,12,13.0,9.0,1.0,,,,,,,,,,,,,,,
2079,1,3,1,3,22,7,2,59,3.0,24.0,3.0,7.0,2.0,4.0,,,,,,,,,,,,
2080,1,1,39,20,30,9,2,1,,,,,,,,,,,,,,,,,,
2081,1,1,1,5,1,21,25,5,2.0,3.0,1.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,2.0,,,,,,,
2082,1,2,1,1,2,2,29,5,1.0,1.0,1.0,7.0,3.0,,,,,,,,,,,,,
2083,1,4,2,2,3,1,5,1,5.0,4.0,1.0,9.0,25.0,1.0,1.0,,,,,,,,,,,
2084,2,11,2,5,7,2,4,19,5.0,2.0,1.0,12.0,2.0,2.0,5.0,5.0,1.0,1.0,,,,,,,,
2085,3,8,2,1,23,24,4,6,2.0,10.0,5.0,13.0,2.0,,,,,,,,,,,,,
2086,1,1,1,1,5,2,45,1,10.0,8.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,
2087,1,2,3,8,4,2,14,4,4.0,5.0,6.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,,,,,
2088,3,1,4,2,1,8,31,1,29.0,1.0,9.0,5.0,6.0,5.0,,,,,,,,,,,,
2089,1,3,4,3,4,2,2,8,1.0,3.0,1.0,4.0,5.0,17.0,7.0,6.0,1.0,,,,,,,,,
2090,2,1,9,10,4,5,2,8,33.0,6.0,1.0,11.0,7.0,8.0,1.0,4.0,,,,,,,,,,
2091,4,2,1,1,17,3,10,47,1.0,4.0,7.0,1.0,2.0,5.0,13.0,,,,,,,,,,,
2092,1,5,8,22,1,10,3,1,5.0,15.0,27.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,
2093,1,1,5,6,1,1,4,3,3.0,2.0,17.0,2.0,1.0,,,,,,,,,,,,,
2094,6,2,4,3,1,2,7,5,24.0,3.0,9.0,8.0,1.0,10.0,3.0,,,,,,,,,,,
2095,1,1,2,1,1,12,15,16,5.0,12.0,2.0,6.0,3.0,1.0,5.0,,,,,,,,,,,
2096,4,16,2,11,8,22,1,14,5.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,
2097,1,5,2,8,13,36,10,4,1.0,,,,,,,,,,,,,,,,,
2098,1,1,1,8,1,10,5,2,19.0,26.0,2.0,1.0,10.0,,,,,,,,,,,,,
