Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1981,1,1,4,3,3,7.0,12.0,7.0,1.0,6.0,3.0,2.0,1.0,4.0,1.0,,,,,,,,,,
1982,1,1,7,13,1,1.0,2.0,5.0,2.0,1.0,1.0,2.0,9.0,31.0,1.0,1.0,2.0,7.0,1.0,2.0,,,,,
1983,2,1,9,3,2,1.0,3.0,4.0,1.0,2.0,2.0,4.0,8.0,7.0,1.0,2.0,,,,,,,,,
1984,7,1,5,12,3,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,14.0,1.0,5.0,,,,,,,,
1985,2,4,2,3,1,3.0,6.0,1.0,1.0,1.0,2.0,1.0,16.0,10.0,1.0,1.0,2.0,1.0,1.0,,,,,,
1986,5,1,1,5,15,4.0,14.0,12.0,13.0,4.0,1.0,2.0,1.0,3.0,7.0,,,,,,,,,,
1987,2,2,3,2,27,3.0,1.0,9.0,3.0,5.0,9.0,6.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,
1988,2,15,1,4,4,1.0,12.0,8.0,5.0,1.0,4.0,25.0,7.0,5.0,2.0,3.0,1.0,,,,,,,,
1989,16,4,17,1,1,5.0,5.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,2.0,1.0,1.0,1.0,,,,,,,
1990,4,14,5,4,4,1.0,16.0,5.0,4.0,3.0,18.0,8.0,3.0,1.0,,,,,,,,,,,
1991,3,11,3,1,1,19.0,7.0,2.0,12.0,1.0,4.0,5.0,1.0,3.0,5.0,3.0,,,,,,,,,
1992,1,16,1,2,1,3.0,1.0,9.0,2.0,1.0,5.0,16.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,,,
1993,7,2,3,14,6,3.0,1.0,13.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1994,1,1,4,2,1,5.0,24.0,12.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
1995,2,1,1,3,2,3.0,13.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,1.0,8.0,3.0,,,,,,,,
1996,7,1,1,12,1,19.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,7.0,7.0,3.0,2.0,3.0,,,
1997,1,3,1,2,4,1.0,8.0,1.0,8.0,10.0,3.0,13.0,1.0,23.0,3.0,3.0,,,,,,,,,
1998,8,1,29,4,1,14.0,9.0,4.0,2.0,1.0,,,,,,,,,,,,,,,
1999,9,1,3,26,2,4.0,11.0,4.0,7.0,2.0,1.0,2.0,,,,,,,,,,,,,
2000,2,2,3,2,14,5.0,1.0,18.0,1.0,11.0,5.0,2.0,8.0,5.0,12.0,4.0,1.0,7.0,,,,,,,
2001,3,1,1,1,2,1.0,3.0,44.0,6.0,15.0,3.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,
2002,3,1,4,4,2,2.0,1.0,1.0,32.0,4.0,1.0,19.0,1.0,,,,,,,,,,,,
2003,1,2,2,4,2,3.0,5.0,6.0,6.0,2.0,2.0,1.0,5.0,14.0,8.0,11.0,6.0,1.0,3.0,,,,,,
2004,1,2,1,4,1,1.0,3.0,31.0,11.0,28.0,3.0,2.0,2.0,,,,,,,,,,,,
