Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1981,2,1,1,1,15,14,2,2,1.0,2.0,2.0,5.0,2.0,7.0,1.0,9.0,4.0,4.0,5.0,1.0,1.0,,,,,
1982,1,1,1,6,12,26,4,4,3.0,9.0,4.0,1.0,,,,,,,,,,,,,,
1983,1,1,3,3,2,3,3,1,1.0,7.0,1.0,1.0,1.0,2.0,7.0,5.0,3.0,7.0,7.0,4.0,1.0,,,,,
1984,2,1,1,1,4,1,14,5,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,
1985,1,1,1,1,3,3,15,1,3.0,25.0,5.0,3.0,2.0,2.0,3.0,8.0,1.0,4.0,1.0,3.0,1.0,,,,,
1986,2,8,3,4,6,11,10,4,1.0,12.0,3.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,
1987,1,3,9,4,1,2,3,8,16.0,5.0,1.0,1.0,8.0,2.0,11.0,2.0,2.0,,,,,,,,,
1988,2,1,2,8,7,11,1,1,4.0,2.0,3.0,13.0,2.0,14.0,1.0,4.0,4.0,8.0,1.0,2.0,,,,,,
1989,4,1,3,6,2,31,2,12,2.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,
1990,1,2,1,3,3,1,3,2,1.0,7.0,27.0,13.0,2.0,1.0,3.0,2.0,,,,,,,,,,
1991,1,3,11,4,1,1,19,7,2.0,12.0,1.0,4.0,5.0,1.0,1.0,3.0,6.0,3.0,,,,,,,,
1992,3,2,1,1,1,11,2,5,4.0,7.0,3.0,2.0,6.0,1.0,4.0,4.0,2.0,1.0,10.0,3.0,,,,,,
1993,4,7,9,3,33,10,2,2,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,
1994,8,14,1,2,2,6,6,1,1.0,1.0,1.0,2.0,13.0,3.0,15.0,1.0,2.0,2.0,9.0,1.0,2.0,,,,,
1995,1,4,1,8,2,1,3,4,5.0,19.0,12.0,10.0,2.0,3.0,1.0,9.0,1.0,,,,,,,,,
1996,1,1,1,1,1,8,5,37,1.0,3.0,5.0,1.0,2.0,3.0,2.0,,,,,,,,,,,
1997,3,7,1,2,1,3,8,6,3.0,36.0,4.0,2.0,4.0,1.0,,,,,,,,,,,,
1998,1,5,2,1,1,9,29,1,23.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,
1999,1,3,1,11,1,45,3,1,11.0,1.0,1.0,9.0,4.0,1.0,,,,,,,,,,,,
2000,1,2,5,1,5,3,25,13,5.0,2.0,8.0,7.0,1.0,1.0,2.0,3.0,5.0,,,,,,,,,
2001,1,1,6,3,6,8,2,1,2.0,9.0,9.0,2.0,2.0,1.0,10.0,2.0,8.0,1.0,,,,,,,,
2002,1,1,8,22,1,3,10,2,7.0,6.0,7.0,1.0,,,,,,,,,,,,,,
2003,3,9,2,5,10,4,9,4,2.0,6.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,,
2004,1,1,3,1,1,21,2,13,2.0,1.0,1.0,5.0,2.0,2.0,2.0,,,,,,,,,,,
2005,2,1,2,2,1,4,6,3,6.0,18.0,24.0,5.0,1.0,21.0,3.0,8.0,2.0,1.0,5.0,,,,,,,
2006,1,1,1,1,1,1,3,2,1.0,3.0,2.0,4.0,11.0,11.0,6.0,3.0,5.0,4.0,1.0,2.0,3.0,5.0,2.0,,,
2007,1,5,1,1,6,1,19,4,1.0,3.0,4.0,4.0,2.0,5.0,,,,,,,,,,,,
2008,1,2,5,11,8,1,2,2,1.0,2.0,2.0,14.0,11.0,3.0,20.0,,,,,,,,,,,
2009,1,2,8,1,13,4,10,8,1.0,3.0,6.0,2.0,16.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
2010,1,2,11,6,8,7,10,23,4.0,3.0,5.0,4.0,1.0,1.0,10.0,,,,,,,,,,,
2011,2,2,6,4,6,1,1,22,9.0,3.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,
2012,2,1,4,4,9,6,5,5,2.0,2.0,1.0,13.0,3.0,8.0,13.0,1.0,1.0,1.0,,,,,,,,
2013,2,1,2,2,2,19,62,8,1.0,2.0,6.0,,,,,,,,,,,,,,,
2014,3,3,2,13,2,5,14,1,14.0,11.0,1.0,3.0,2.0,2.0,4.0,1.0,,,,,,,,,,
2015,2,2,3,10,1,3,2,2,2.0,8.0,50.0,12.0,3.0,,,,,,,,,,,,,
2016,1,6,1,7,1,1,2,3,5.0,13.0,11.0,2.0,4.0,3.0,3.0,1.0,6.0,3.0,,,,,,,,
2017,1,3,3,4,3,5,14,3,1.0,14.0,7.0,9.0,1.0,1.0,4.0,,,,,,,,,,,
2018,1,1,1,2,1,1,1,1,2.0,3.0,4.0,10.0,9.0,4.0,1.0,21.0,7.0,7.0,,,,,,,,
2019,2,1,3,3,6,2,1,19,2.0,30.0,23.0,7.0,,,,,,,,,,,,,,
2020,1,3,25,3,9,29,4,1,3.0,2.0,4.0,1.0,,,,,,,,,,,,,,
2021,1,2,1,1,2,3,6,2,1.0,11.0,5.0,4.0,31.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,
2022,1,3,3,47,4,10,13,15,2.0,3.0,1.0,,,,,,,,,,,,,,,
2023,3,11,2,13,2,1,1,54,2.0,11.0,3.0,2.0,,,,,,,,,,,,,,
2024,5,1,1,2,3,4,14,62,5.0,5.0,1.0,14.0,,,,,,,,,,,,,,
2025,1,1,1,28,25,3,48,3,1.0,1.0,,,,,,,,,,,,,,,,
2026,2,9,17,4,3,8,13,3,3.0,21.0,2.0,1.0,2.0,1.0,8.0,,,,,,,,,,,
2027,1,1,6,2,7,26,34,15,2.0,2.0,1.0,6.0,,,,,,,,,,,,,,
2028,1,5,7,4,1,3,18,3,3.0,6.0,13.0,1.0,1.0,5.0,1.0,12.0,1.0,2.0,2.0,2.0,,,,,,
