Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2029,1,1,2,1,4,3,1,17,9,10.0,33.0,10.0,3.0,10.0,2.0,3.0,,,,,,,,,,,,,,,
2030,1,2,10,2,1,3,25,10,7,20.0,1.0,9.0,5.0,2.0,,,,,,,,,,,,,,,,,
2031,1,3,1,1,6,2,3,1,2,2.0,31.0,9.0,13.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,
2032,2,1,4,2,1,1,8,5,5,1.0,18.0,9.0,1.0,5.0,6.0,4.0,3.0,1.0,,,,,,,,,,,,,
2033,1,1,1,5,3,1,1,25,5,6.0,1.0,9.0,2.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,
2034,2,1,2,3,1,1,5,3,1,2.0,1.0,2.0,2.0,1.0,11.0,11.0,17.0,2.0,3.0,3.0,1.0,1.0,,,,,,,,,
2035,1,1,1,1,18,1,1,2,1,1.0,1.0,3.0,1.0,8.0,5.0,2.0,,,,,,,,,,,,,,,
2036,1,2,1,1,1,3,1,1,1,2.0,1.0,1.0,6.0,2.0,10.0,10.0,1.0,25.0,8.0,12.0,4.0,2.0,1.0,2.0,,,,,,,
2037,3,1,1,2,3,5,2,1,15,1.0,1.0,5.0,2.0,4.0,6.0,13.0,13.0,6.0,1.0,4.0,2.0,2.0,,,,,,,,,
2038,1,1,2,1,1,1,2,11,2,2.0,5.0,2.0,4.0,4.0,68.0,2.0,3.0,9.0,2.0,1.0,2.0,3.0,3.0,,,,,,,,
2039,1,2,1,2,24,5,50,12,8,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
2040,1,1,1,3,1,2,3,4,25,1.0,11.0,1.0,13.0,14.0,1.0,2.0,1.0,,,,,,,,,,,,,,
2041,1,6,2,1,12,7,1,17,17,1.0,8.0,16.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
2042,6,2,1,2,3,2,2,2,1,1.0,2.0,10.0,1.0,5.0,2.0,5.0,16.0,1.0,3.0,13.0,1.0,,,,,,,,,,
2043,3,3,1,3,10,7,31,5,16,1.0,3.0,5.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
2044,1,2,6,1,14,33,7,3,18,7.0,1.0,,,,,,,,,,,,,,,,,,,,
2045,1,4,12,4,1,5,1,14,4,4.0,4.0,3.0,8.0,11.0,1.0,1.0,,,,,,,,,,,,,,,
2046,1,1,2,3,1,2,8,6,2,4.0,2.0,3.0,16.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,,,,,,,,,
2047,3,1,3,5,28,10,6,1,1,1.0,1.0,1.0,1.0,19.0,3.0,,,,,,,,,,,,,,,,
2048,5,2,4,3,2,3,11,11,4,18.0,18.0,2.0,5.0,3.0,5.0,5.0,1.0,,,,,,,,,,,,,,
2049,1,1,1,3,13,1,3,10,35,3.0,8.0,2.0,,,,,,,,,,,,,,,,,,,
2050,9,1,1,2,2,10,3,17,2,2.0,27.0,8.0,2.0,9.0,6.0,3.0,,,,,,,,,,,,,,,
2051,3,2,6,4,1,6,7,5,33,1.0,5.0,1.0,3.0,1.0,9.0,11.0,,,,,,,,,,,,,,,
2052,2,1,1,22,1,2,1,1,1,18.0,13.0,15.0,5.0,11.0,1.0,2.0,1.0,5.0,3.0,,,,,,,,,,,,
2053,2,2,2,3,6,2,13,5,2,8.0,18.0,3.0,16.0,2.0,10.0,1.0,2.0,,,,,,,,,,,,,,
2054,7,2,7,1,12,1,20,2,9,57.0,4.0,9.0,3.0,,,,,,,,,,,,,,,,,,
2055,3,1,1,2,1,6,2,3,3,1.0,6.0,60.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,3.0,7.0,1.0,,,,,,,,,
2056,5,1,3,3,1,1,1,1,1,5.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,8.0,,,,,,,,,,,,,
