Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1981,1,1,1,1,15,2,11,2.0,2.0,1.0,2.0,2.0,5.0,2.0,7.0,1.0,9.0,3.0,4.0,5.0,1.0,1.0,,,,
1982,1,1,1,6,11,26,4,4.0,3.0,1.0,7.0,4.0,1.0,,,,,,,,,,,,,
1983,1,3,3,2,3,3,1,7.0,1.0,1.0,1.0,2.0,7.0,5.0,3.0,7.0,7.0,3.0,1.0,,,,,,,
1984,2,1,1,4,14,5,3,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,
1985,1,1,1,1,1,3,15,1.0,3.0,23.0,5.0,3.0,2.0,2.0,3.0,8.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,
1986,2,7,3,4,6,11,10,4.0,1.0,12.0,3.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,
1987,1,3,9,3,1,2,2,7.0,13.0,2.0,5.0,1.0,1.0,7.0,2.0,11.0,2.0,2.0,,,,,,,,
1988,2,1,2,8,7,11,1,1.0,4.0,2.0,3.0,13.0,2.0,13.0,1.0,4.0,4.0,8.0,2.0,,,,,,,
1989,4,3,6,2,31,2,12,2.0,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,
1990,1,2,1,3,3,1,3,2.0,1.0,7.0,27.0,12.0,2.0,1.0,3.0,2.0,,,,,,,,,,
1991,1,3,11,3,1,1,19,7.0,2.0,12.0,1.0,4.0,5.0,1.0,3.0,6.0,3.0,,,,,,,,,
1992,3,2,1,1,11,2,5,4.0,7.0,3.0,2.0,6.0,1.0,4.0,4.0,2.0,1.0,9.0,3.0,,,,,,,
1993,4,7,9,3,33,10,2,2.0,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,
1994,8,14,1,1,2,5,6,1.0,1.0,1.0,1.0,1.0,13.0,2.0,15.0,1.0,2.0,2.0,8.0,1.0,2.0,,,,,
