Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2083,1,1,2,2,2,3,1,1,5.0,1.0,6.0,4.0,1.0,9.0,25.0,1.0,1.0,,,,,,,,,,
2084,2,11,2,6,7,2,4,19,5.0,2.0,1.0,12.0,2.0,2.0,5.0,5.0,1.0,1.0,2.0,,,,,,,,
2085,3,1,8,2,1,23,29,6,2.0,10.0,5.0,14.0,2.0,,,,,,,,,,,,,,
2086,1,1,1,7,2,45,1,11,8.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
2087,1,1,3,8,4,17,4,4,1.0,5.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,,,,,,
2088,4,1,4,2,1,8,31,1,29.0,1.0,9.0,5.0,6.0,5.0,,,,,,,,,,,,,
2089,1,3,4,1,1,4,2,2,8.0,1.0,3.0,1.0,4.0,5.0,17.0,7.0,6.0,1.0,,,,,,,,,
2090,2,1,1,7,11,4,5,2,8.0,34.0,6.0,1.0,11.0,7.0,10.0,4.0,,,,,,,,,,,
2091,4,2,2,1,17,4,10,47,1.0,4.0,7.0,1.0,2.0,4.0,12.0,,,,,,,,,,,,
2092,1,5,8,22,1,10,3,1,5.0,15.0,27.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,
2093,1,1,2,5,6,1,1,8,3.0,2.0,20.0,1.0,,,,,,,,,,,,,,,
2094,6,2,4,3,1,2,7,6,24.0,3.0,19.0,1.0,10.0,4.0,,,,,,,,,,,,,
2095,1,1,2,1,1,28,16,5,15.0,6.0,3.0,1.0,5.0,,,,,,,,,,,,,,
2096,3,19,11,8,22,1,14,5,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
2097,1,5,1,8,13,36,10,4,1.0,,,,,,,,,,,,,,,,,,
2098,1,1,1,8,1,10,5,2,19.0,26.0,2.0,1.0,10.0,,,,,,,,,,,,,,
