Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1981,2,1,2,1,22,3,7,3,2.0,1.0,2.0,,,,,,,,,,,,,,,,
1982,3,8,3,2,3,1,4,11,1.0,26.0,1.0,4.0,8.0,6.0,1.0,2.0,1.0,,,,,,,,,,
1983,1,2,4,2,12,2,1,1,1.0,2.0,1.0,13.0,3.0,3.0,1.0,,,,,,,,,,,,
1984,1,1,1,1,1,3,3,17,2.0,5.0,1.0,7.0,2.0,6.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,,
1985,8,4,7,11,1,1,3,5,1.0,2.0,13.0,8.0,1.0,2.0,4.0,1.0,,,,,,,,,,,
1986,1,1,2,4,3,16,3,3,1.0,1.0,8.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,
1987,1,2,9,1,21,31,2,1,1.0,2.0,,,,,,,,,,,,,,,,,
1988,1,3,3,1,2,1,6,1,8.0,1.0,13.0,1.0,1.0,4.0,2.0,2.0,12.0,10.0,1.0,4.0,9.0,1.0,,,,,
1989,2,3,7,6,2,27,16,3,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,
1990,9,24,1,3,1,19,9,10,1.0,7.0,1.0,,,,,,,,,,,,,,,,
1991,3,11,3,1,1,19,7,2,12.0,1.0,4.0,5.0,1.0,2.0,5.0,3.0,,,,,,,,,,,
1992,4,6,4,1,2,7,2,1,4.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,6.0,2.0,3.0,2.0,5.0,1.0,,,,,
1993,2,1,1,4,5,3,6,2,4.0,2.0,1.0,8.0,1.0,4.0,3.0,1.0,8.0,2.0,3.0,,,,,,,,
1994,1,2,1,32,6,1,1,1,4.0,,,,,,,,,,,,,,,,,,
1995,1,4,1,4,1,1,12,6,11.0,2.0,5.0,9.0,1.0,2.0,4.0,9.0,4.0,1.0,1.0,1.0,1.0,,,,,,
1996,1,6,3,2,2,9,1,1,7.0,22.0,3.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,
1997,1,1,2,4,4,11,4,1,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,
1998,1,5,1,1,9,29,1,9,12.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
1999,2,3,1,5,1,4,43,3,2.0,1.0,1.0,,,,,,,,,,,,,,,,
2000,1,1,3,26,7,4,8,5,10.0,6.0,1.0,4.0,7.0,1.0,,,,,,,,,,,,,
2001,1,1,7,10,7,1,1,2,1.0,2.0,7.0,11.0,5.0,20.0,6.0,3.0,4.0,,,,,,,,,,
2002,3,11,2,2,2,1,1,1,4.0,8.0,6.0,3.0,3.0,4.0,2.0,6.0,5.0,,,,,,,,,,
2003,2,4,3,4,5,1,3,2,7.0,13.0,5.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,,,,,,,
2004,1,5,2,2,2,3,3,11,3.0,8.0,2.0,28.0,5.0,6.0,1.0,6.0,3.0,,,,,,,,,,
2005,2,1,2,1,5,12,12,4,5.0,1.0,5.0,8.0,1.0,2.0,1.0,5.0,,,,,,,,,,,
2006,1,2,1,2,3,2,1,3,9.0,1.0,2.0,7.0,1.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,4.0,,,,,,
2007,2,2,1,2,4,1,1,1,2.0,11.0,3.0,25.0,15.0,,,,,,,,,,,,,,
2008,1,1,1,1,2,1,2,4,2.0,1.0,8.0,3.0,21.0,15.0,1.0,3.0,3.0,4.0,,,,,,,,,
2009,1,1,4,6,16,9,7,1,25.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
2010,1,4,8,15,4,2,1,1,25.0,2.0,3.0,5.0,1.0,3.0,1.0,9.0,,,,,,,,,,,
2011,1,16,3,4,2,5,12,9,2.0,1.0,2.0,1.0,1.0,5.0,10.0,1.0,4.0,1.0,2.0,,,,,,,,
2012,1,1,2,2,1,5,1,1,1.0,2.0,8.0,16.0,3.0,8.0,2.0,8.0,12.0,11.0,1.0,3.0,,,,,,,
2013,1,6,1,1,7,10,8,5,9.0,2.0,6.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,
2014,1,3,5,10,2,5,2,24,20.0,7.0,1.0,2.0,4.0,,,,,,,,,,,,,,
