Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2015,2,1,1,5,14,48,3,5,2.0,1.0,6.0,,,,,,,,,,,,,,,,
2016,1,1,4,4,5,7,7,6,10.0,1.0,13.0,1.0,3.0,3.0,2.0,2.0,1.0,,,,,,,,,,
2017,1,2,3,6,1,2,4,6,1.0,7.0,2.0,1.0,14.0,9.0,1.0,4.0,1.0,1.0,6.0,8.0,1.0,,,,,,
2018,2,3,1,1,1,3,1,1,4.0,12.0,1.0,15.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,6.0,2.0,,,,,,
2019,3,1,1,4,3,1,10,3,15.0,3.0,9.0,23.0,4.0,1.0,1.0,,,,,,,,,,,,
2020,1,1,2,1,2,1,11,1,5.0,11.0,6.0,1.0,5.0,7.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,6.0,,,
2021,1,1,31,1,29,2,9,1,,,,,,,,,,,,,,,,,,,
2022,14,6,12,15,4,7,3,4,11.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
2023,3,1,1,1,1,2,1,2,1.0,6.0,1.0,5.0,1.0,6.0,3.0,1.0,8.0,24.0,1.0,2.0,1.0,4.0,4.0,,,,
2024,6,2,2,1,1,3,19,44,2.0,2.0,1.0,2.0,12.0,,,,,,,,,,,,,,
2025,1,1,4,3,7,1,9,1,1.0,15.0,15.0,20.0,1.0,2.0,2.0,5.0,1.0,12.0,2.0,1.0,3.0,,,,,,
2026,3,1,4,10,3,1,2,4,2.0,1.0,5.0,1.0,3.0,1.0,1.0,7.0,6.0,12.0,3.0,2.0,1.0,12.0,2.0,,,,
2027,12,1,1,6,1,4,11,15,2.0,1.0,6.0,21.0,3.0,,,,,,,,,,,,,,
2028,1,2,3,2,1,1,1,3,1.0,9.0,1.0,2.0,2.0,2.0,16.0,7.0,5.0,6.0,6.0,4.0,10.0,14.0,4.0,,,,
2029,1,1,8,2,2,2,2,59,6.0,4.0,3.0,1.0,2.0,6.0,4.0,2.0,4.0,,,,,,,,,,
2030,14,2,5,9,1,2,8,42,1.0,2.0,7.0,8.0,14.0,1.0,1.0,,,,,,,,,,,,
2031,3,1,3,1,1,1,1,3,15.0,1.0,1.0,2.0,5.0,16.0,13.0,14.0,2.0,1.0,1.0,4.0,1.0,,,,,,
2032,3,1,2,21,7,9,5,7,9.0,14.0,1.0,1.0,26.0,2.0,,,,,,,,,,,,,
2033,1,1,2,4,1,2,2,9,5.0,2.0,2.0,1.0,3.0,22.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,,,,,
2034,2,1,1,2,1,4,1,4,27.0,5.0,8.0,20.0,6.0,1.0,1.0,1.0,3.0,,,,,,,,,,
2035,2,2,3,23,6,8,25,4,4.0,3.0,1.0,,,,,,,,,,,,,,,,
2036,1,12,1,1,5,1,2,2,3.0,3.0,16.0,1.0,20.0,12.0,1.0,5.0,1.0,,,,,,,,,,
2037,1,5,3,2,2,7,1,1,2.0,1.0,2.0,1.0,10.0,9.0,5.0,6.0,1.0,4.0,2.0,1.0,9.0,9.0,1.0,3.0,,,
2038,2,3,1,22,1,2,3,4,1.0,38.0,12.0,5.0,2.0,1.0,,,,,,,,,,,,,
2039,5,2,1,3,24,37,2,6,3.0,1.0,9.0,3.0,3.0,1.0,,,,,,,,,,,,,
2040,2,7,1,1,3,11,1,17,2.0,16.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,
2041,1,1,1,1,3,3,2,1,3.0,1.0,1.0,8.0,2.0,11.0,4.0,16.0,25.0,8.0,1.0,8.0,2.0,1.0,,,,,
2042,1,1,2,2,2,10,5,14,2.0,2.0,32.0,20.0,18.0,2.0,,,,,,,,,,,,,
2043,5,11,3,3,5,24,20,2,1.0,8.0,3.0,6.0,3.0,2.0,,,,,,,,,,,,,
2044,1,3,2,1,2,58,1,1,5.0,3.0,1.0,13.0,,,,,,,,,,,,,,,
2045,1,2,3,4,9,7,9,1,10.0,6.0,2.0,5.0,7.0,3.0,4.0,13.0,6.0,,,,,,,,,,
2046,1,1,4,3,1,4,3,1,1.0,2.0,18.0,1.0,8.0,13.0,5.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,7.0,1.0,,,
2047,1,1,3,1,5,9,3,1,4.0,2.0,2.0,6.0,10.0,1.0,1.0,11.0,1.0,9.0,2.0,1.0,2.0,5.0,,,,,
2048,2,4,8,2,2,2,6,3,3.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,13.0,1.0,,,,,,,,
2049,3,3,1,1,3,58,28,4,21.0,1.0,,,,,,,,,,,,,,,,,
2050,19,1,5,4,40,15,4,2,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,
2051,2,2,24,1,1,45,7,15,2.0,2.0,,,,,,,,,,,,,,,,,
2052,1,10,10,2,1,28,10,5,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
2053,1,1,2,1,3,2,4,3,1.0,2.0,1.0,2.0,49.0,5.0,27.0,9.0,6.0,11.0,,,,,,,,,
2054,2,10,1,75,3,5,1,1,,,,,,,,,,,,,,,,,,,
2055,2,5,7,2,4,4,1,1,13.0,1.0,7.0,48.0,5.0,1.0,1.0,,,,,,,,,,,,
2056,1,1,1,3,2,1,1,15,14.0,1.0,8.0,4.0,10.0,3.0,8.0,6.0,3.0,8.0,1.0,1.0,4.0,1.0,1.0,,,,
2057,1,2,2,10,3,2,2,2,1.0,77.0,2.0,7.0,10.0,3.0,1.0,5.0,2.0,,,,,,,,,,
2058,5,1,2,1,47,53,31,1,3.0,,,,,,,,,,,,,,,,,,
2059,1,2,1,5,3,2,3,44,1.0,3.0,2.0,20.0,3.0,1.0,4.0,1.0,,,,,,,,,,,
2060,1,8,1,3,1,1,3,4,2.0,5.0,14.0,9.0,21.0,27.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,7.0
2061,2,2,2,1,1,7,21,2,45.0,12.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,,,,,,,,,,
2062,2,2,2,1,20,6,5,2,4.0,1.0,2.0,9.0,4.0,1.0,12.0,14.0,2.0,2.0,1.0,,,,,,,,
2063,1,2,2,2,1,7,1,16,9.0,2.0,60.0,5.0,9.0,1.0,,,,,,,,,,,,,
2064,2,2,5,1,12,1,3,2,1.0,2.0,9.0,35.0,19.0,2.0,7.0,2.0,2.0,1.0,1.0,,,,,,,,
2065,2,1,6,1,2,2,20,46,2.0,8.0,11.0,7.0,3.0,1.0,,,,,,,,,,,,,
2066,1,1,1,1,7,2,2,31,44.0,8.0,7.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,
2067,4,3,12,1,3,2,14,67,2.0,2.0,,,,,,,,,,,,,,,,,
2068,2,2,1,2,3,1,2,36,7.0,1.0,31.0,20.0,2.0,5.0,8.0,2.0,,,,,,,,,,,
2069,1,2,7,1,3,3,8,3,74.0,2.0,1.0,,,,,,,,,,,,,,,,
2070,3,2,1,2,10,1,1,9,54.0,3.0,7.0,26.0,2.0,4.0,,,,,,,,,,,,,
2071,3,1,1,2,8,7,1,1,10.0,7.0,1.0,2.0,1.0,3.0,6.0,2.0,1.0,32.0,3.0,2.0,5.0,2.0,,,,,
2072,1,1,1,1,2,3,30,19,35.0,4.0,3.0,16.0,8.0,1.0,3.0,,,,,,,,,,,,
2073,1,9,4,5,6,1,1,1,2.0,2.0,2.0,5.0,12.0,16.0,4.0,26.0,1.0,,,,,,,,,,
2074,4,3,1,1,1,2,8,5,1.0,12.0,7.0,4.0,63.0,5.0,8.0,2.0,,,,,,,,,,,
2075,1,7,3,2,24,2,3,1,3.0,52.0,23.0,4.0,7.0,,,,,,,,,,,,,,
2076,1,1,1,9,2,1,18,26,6.0,1.0,7.0,18.0,5.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,
2077,3,1,4,12,1,1,81,17,10.0,1.0,4.0,,,,,,,,,,,,,,,,
2078,8,3,11,2,2,2,3,2,5.0,8.0,2.0,2.0,9.0,25.0,28.0,6.0,2.0,2.0,6.0,,,,,,,,
2079,3,15,2,3,3,1,13,12,2.0,70.0,6.0,4.0,1.0,,,,,,,,,,,,,,
2080,1,1,1,2,1,4,1,2,3.0,1.0,1.0,110.0,6.0,3.0,3.0,1.0,,,,,,,,,,,
2081,2,2,3,1,12,118,2,2,4.0,1.0,,,,,,,,,,,,,,,,,
2082,1,6,9,3,1,2,55,27,2.0,20.0,2.0,1.0,,,,,,,,,,,,,,,
2083,1,1,5,3,7,5,2,2,22.0,6.0,39.0,10.0,6.0,1.0,3.0,,,,,,,,,,,,
2084,7,3,1,4,4,11,15,8,46.0,1.0,1.0,6.0,4.0,,,,,,,,,,,,,,
2085,5,3,4,4,2,27,1,60,11.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
2086,1,1,3,3,1,1,12,1,5.0,6.0,1.0,2.0,3.0,90.0,8.0,,,,,,,,,,,,
2087,1,2,12,1,2,2,3,1,2.0,1.0,12.0,30.0,44.0,11.0,,,,,,,,,,,,,
2088,4,1,1,12,5,19,12,24,3.0,5.0,1.0,49.0,2.0,1.0,5.0,1.0,,,,,,,,,,,
2089,1,2,4,3,4,4,1,9,1.0,1.0,3.0,3.0,12.0,5.0,2.0,51.0,9.0,2.0,,,,,,,,,
2090,1,3,4,2,13,94,1,8,2.0,2.0,1.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,
2091,1,1,3,2,9,2,1,3,13.0,5.0,27.0,4.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,
2092,2,10,2,2,7,17,2,1,7.0,2.0,2.0,5.0,22.0,1.0,5.0,4.0,3.0,3.0,7.0,4.0,1.0,1.0,2.0,,,,
2093,1,1,2,12,10,10,2,38,24.0,5.0,1.0,10.0,,,,,,,,,,,,,,,
2094,2,3,1,4,2,6,1,2,22.0,11.0,72.0,2.0,1.0,3.0,,,,,,,,,,,,,
2095,4,1,2,11,5,1,2,1,15.0,2.0,7.0,75.0,8.0,3.0,1.0,15.0,2.0,,,,,,,,,,
2096,9,1,2,1,1,2,6,4,16.0,62.0,3.0,2.0,1.0,16.0,5.0,,,,,,,,,,,,
2097,2,1,1,1,3,9,8,4,8.0,3.0,33.0,14.0,9.0,6.0,7.0,2.0,3.0,6.0,3.0,4.0,1.0,,,,,,
2098,1,2,3,2,5,1,2,1,2.0,1.0,4.0,11.0,83.0,6.0,4.0,1.0,,,,,,,,,,,
