Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1981,4,5,5,18,1,8,13,2,2,1,8,2.0,3.0,3.0,3.0,6.0,3.0,7.0,1.0,5.0,2.0,4.0,,,,,
1982,1,7,3,1,1,9,3,3,18,4,13,5.0,2.0,1.0,1.0,,,,,,,,,,,,
1983,1,2,12,10,1,1,1,1,6,16,3,3.0,1.0,1.0,,,,,,,,,,,,,
1984,1,4,1,1,4,2,22,19,9,1,1,1.0,12.0,2.0,1.0,,,,,,,,,,,,
1985,2,3,2,1,1,2,3,1,1,1,1,1.0,3.0,3.0,17.0,7.0,1.0,4.0,,,,,,,,,
1986,1,2,2,1,3,3,2,1,6,8,7,9.0,8.0,,,,,,,,,,,,,,
1987,4,1,8,1,4,5,3,2,11,6,1,11.0,2.0,4.0,2.0,3.0,7.0,7.0,1.0,1.0,,,,,,,
1988,3,10,6,17,2,3,23,7,2,1,11,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1989,1,18,4,15,2,2,2,3,1,4,1,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,6.0,2.0,3.0,1.0,2.0,,
1990,4,15,5,4,5,1,16,5,5,3,18,8.0,3.0,1.0,,,,,,,,,,,,,
1991,2,1,3,1,1,3,2,1,24,10,1,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
1992,1,1,1,2,4,1,1,1,1,2,2,3.0,4.0,2.0,1.0,2.0,5.0,7.0,3.0,1.0,2.0,7.0,3.0,1.0,6.0,1.0,1.0
1993,1,1,1,7,1,1,12,6,3,21,3,2.0,1.0,1.0,7.0,1.0,,,,,,,,,,,
1994,2,6,10,3,3,7,9,8,10,16,5,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,
1995,2,1,5,1,4,1,1,13,6,14,6,9.0,1.0,2.0,5.0,9.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,,
1996,1,1,3,2,10,6,1,1,2,3,1,3.0,1.0,4.0,1.0,6.0,4.0,1.0,1.0,4.0,1.0,8.0,5.0,1.0,1.0,2.0,
1997,1,3,1,2,4,1,8,1,8,10,3,13.0,1.0,23.0,3.0,3.0,,,,,,,,,,,
1998,5,1,1,2,1,9,7,11,2,7,8,1.0,2.0,3.0,3.0,1.0,3.0,1.0,,,,,,,,,
1999,6,2,7,3,3,1,1,5,1,19,1,12.0,12.0,2.0,4.0,8.0,4.0,4.0,,,,,,,,,
2000,10,3,20,8,1,7,5,4,1,6,4,1.0,2.0,24.0,4.0,1.0,,,,,,,,,,,
2001,8,2,5,5,2,1,3,3,11,7,1,8.0,2.0,4.0,6.0,2.0,1.0,8.0,5.0,,,,,,,,
2002,4,22,1,8,1,16,7,4,1,10,5,3.0,1.0,5.0,2.0,3.0,2.0,5.0,2.0,,,,,,,,
2003,1,3,3,10,1,2,2,5,2,3,1,3.0,1.0,13.0,20.0,4.0,8.0,7.0,2.0,2.0,3.0,5.0,,,,,
2004,1,1,2,1,4,1,1,1,2,2,1,2.0,6.0,6.0,1.0,1.0,14.0,4.0,12.0,1.0,4.0,,,,,,
2005,2,1,2,13,3,18,2,1,2,1,1,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,
2006,2,6,5,1,2,11,5,21,20,4,1,2.0,,,,,,,,,,,,,,,
2007,2,1,1,2,5,2,3,19,21,2,1,13.0,4.0,4.0,6.0,1.0,2.0,1.0,5.0,2.0,1.0,,,,,,
2008,2,1,8,15,7,10,5,31,2,4,1,2.0,8.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,
2009,2,2,5,18,26,16,1,8,2,4,7,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,
2010,7,2,1,5,10,1,23,2,1,1,3,1.0,1.0,1.0,2.0,16.0,1.0,1.0,1.0,2.0,7.0,3.0,9.0,,,,
2011,2,1,1,5,2,12,5,2,1,4,3,16.0,5.0,11.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,,,,
2012,4,5,6,13,5,4,2,1,16,13,5,12.0,8.0,4.0,1.0,,,,,,,,,,,,
2013,2,1,1,1,3,2,13,1,1,3,5,3.0,1.0,1.0,1.0,1.0,3.0,26.0,4.0,1.0,3.0,1.0,8.0,4.0,1.0,,
2014,4,1,4,5,10,2,2,17,10,2,1,3.0,56.0,4.0,1.0,1.0,,,,,,,,,,,
2015,1,1,2,1,7,1,15,27,27,3,1,,,,,,,,,,,,,,,,
2016,10,1,2,1,1,3,1,3,8,2,19,4.0,10.0,8.0,26.0,,,,,,,,,,,,
2017,2,1,4,3,1,1,3,35,3,5,4,1.0,7.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,,,,,,,
2018,2,2,3,5,2,5,5,1,2,4,9,32.0,3.0,1.0,1.0,2.0,1.0,29.0,5.0,,,,,,,,
2019,4,2,11,6,1,11,1,1,4,3,11,1.0,20.0,5.0,7.0,4.0,1.0,1.0,1.0,2.0,2.0,,,,,,
2020,1,5,4,1,3,2,1,17,1,6,3,25.0,7.0,4.0,2.0,7.0,1.0,2.0,3.0,9.0,2.0,3.0,1.0,3.0,,,
2021,2,1,8,1,3,1,6,21,30,11,26,1.0,13.0,1.0,2.0,,,,,,,,,,,,
2022,5,1,4,7,2,7,1,3,1,1,17,14.0,5.0,1.0,5.0,2.0,6.0,4.0,1.0,1.0,,,,,,,
2023,6,1,1,6,2,9,2,1,18,18,2,5.0,2.0,4.0,,,,,,,,,,,,,
2024,1,3,1,7,1,6,1,10,8,7,2,1.0,2.0,36.0,24.0,10.0,,,,,,,,,,,
2025,7,6,1,18,4,19,19,6,21,2,1,1.0,1.0,2.0,3.0,,,,,,,,,,,,
2026,1,5,6,4,1,18,2,24,1,2,2,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,4.0,,,,,,,
2027,1,4,2,1,2,1,10,1,1,3,12,6.0,1.0,1.0,3.0,9.0,1.0,2.0,1.0,6.0,4.0,9.0,1.0,,,,
2028,4,2,6,1,2,5,2,12,13,2,1,3.0,9.0,2.0,5.0,6.0,6.0,2.0,12.0,1.0,,,,,,,
2029,1,1,4,1,1,1,6,4,25,6,6,13.0,1.0,3.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,
2030,5,5,4,1,8,3,4,9,2,4,4,1.0,3.0,5.0,1.0,1.0,1.0,20.0,7.0,1.0,2.0,3.0,3.0,,,,
2031,4,2,1,3,2,1,2,2,2,19,22,9.0,18.0,6.0,4.0,6.0,4.0,4.0,2.0,1.0,1.0,,,,,,
2032,3,5,1,1,1,8,13,1,1,6,20,3.0,3.0,2.0,5.0,3.0,1.0,,,,,,,,,,
2033,2,4,1,1,5,8,4,2,2,20,1,21.0,1.0,4.0,6.0,,,,,,,,,,,,
2034,2,1,8,2,5,11,2,18,8,7,5,3.0,3.0,1.0,5.0,,,,,,,,,,,,
2035,1,3,2,12,21,1,2,4,6,1,4,1.0,1.0,1.0,2.0,1.0,5.0,,,,,,,,,,
2036,2,3,1,2,8,1,11,1,20,22,7,6.0,4.0,,,,,,,,,,,,,,
2037,2,1,1,1,17,24,11,4,6,17,3,3.0,2.0,1.0,1.0,10.0,5.0,,,,,,,,,,
2038,1,2,2,6,2,3,15,1,4,12,6,9.0,2.0,1.0,1.0,6.0,16.0,,,,,,,,,,
2039,5,2,7,2,1,10,49,4,1,4,2,2.0,2.0,3.0,10.0,1.0,,,,,,,,,,,
2040,2,1,1,2,1,1,1,3,10,2,21,14.0,1.0,6.0,2.0,9.0,1.0,3.0,3.0,1.0,,,,,,,
2041,1,1,20,6,1,1,1,17,1,1,19,1.0,1.0,2.0,,,,,,,,,,,,,
2042,2,2,1,3,3,11,10,1,2,3,1,1.0,40.0,5.0,3.0,2.0,9.0,2.0,,,,,,,,,
2043,4,2,3,2,10,9,13,23,10,2,4,2.0,1.0,3.0,1.0,,,,,,,,,,,,
2044,4,5,2,2,2,5,1,1,1,4,11,2.0,3.0,3.0,17.0,27.0,11.0,4.0,1.0,1.0,5.0,,,,,,
2045,1,6,7,3,3,7,5,1,3,1,3,6.0,9.0,26.0,1.0,1.0,5.0,,,,,,,,,,
2046,7,1,2,4,5,3,2,6,12,1,5,1.0,2.0,8.0,28.0,2.0,2.0,1.0,1.0,1.0,,,,,,,
2047,1,11,2,1,1,2,1,1,4,13,3,1.0,38.0,1.0,1.0,8.0,7.0,1.0,,,,,,,,,
2048,3,1,1,2,6,2,2,2,9,1,18,12.0,7.0,16.0,1.0,6.0,3.0,,,,,,,,,,
2049,2,1,1,3,3,1,1,41,10,11,1,1.0,5.0,1.0,,,,,,,,,,,,,
2050,1,1,24,4,2,36,6,4,2,8,18,14.0,2.0,2.0,,,,,,,,,,,,,
2051,9,11,1,1,4,1,1,33,11,2,4,3.0,5.0,2.0,1.0,1.0,3.0,,,,,,,,,,
2052,1,2,2,1,1,6,1,1,2,1,6,5.0,17.0,1.0,3.0,2.0,12.0,4.0,3.0,2.0,,,,,,,
2053,1,4,1,2,11,1,6,4,1,1,1,6.0,44.0,2.0,7.0,6.0,1.0,11.0,4.0,4.0,6.0,,,,,,
2054,1,1,1,5,4,1,1,15,1,2,1,1.0,1.0,1.0,3.0,22.0,4.0,1.0,4.0,2.0,8.0,1.0,1.0,4.0,,,
2055,2,2,1,2,18,2,13,3,1,8,11,2.0,,,,,,,,,,,,,,,
2056,1,16,4,4,2,3,2,1,4,5,4,2.0,7.0,32.0,2.0,6.0,4.0,1.0,13.0,2.0,1.0,2.0,1.0,,,,
2057,8,1,6,3,12,3,6,13,1,6,1,2.0,11.0,2.0,5.0,1.0,3.0,,,,,,,,,,
2058,2,12,1,1,2,9,12,4,5,1,1,6.0,37.0,1.0,10.0,1.0,1.0,,,,,,,,,,
2059,4,7,1,9,10,7,3,16,13,1,1,4.0,6.0,1.0,2.0,7.0,1.0,4.0,5.0,4.0,3.0,,,,,,
