Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1981,4,5,2,2,18,1,8,13,2,2.0,1.0,8.0,2.0,3.0,3.0,2.0,6.0,2.0,7.0,4.0,2.0,4.0,,,,,,,
1982,1,7,1,1,9,3,1,1,9,5.0,2.0,3.0,2.0,10.0,1.0,2.0,1.0,,,,,,,,,,,,
1983,1,2,11,10,1,1,6,1,14,3.0,3.0,,,,,,,,,,,,,,,,,,
1984,1,4,1,4,1,6,12,15,3,8.0,1.0,1.0,12.0,2.0,,,,,,,,,,,,,,,
1985,2,3,2,1,1,2,3,1,1,1.0,2.0,3.0,13.0,1.0,1.0,6.0,1.0,4.0,,,,,,,,,,,
1986,2,2,1,1,3,2,1,6,8,7.0,8.0,7.0,,,,,,,,,,,,,,,,,
1987,1,6,1,1,1,2,5,2,1,10.0,6.0,1.0,11.0,2.0,4.0,2.0,3.0,6.0,7.0,,,,,,,,,,
1988,3,10,5,17,2,3,23,5,2,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
1989,1,18,3,15,2,2,2,3,1,4.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,6.0,2.0,3.0,1.0,2.0,,,,,
1990,3,14,5,4,3,1,16,5,4,3.0,17.0,4.0,3.0,3.0,1.0,,,,,,,,,,,,,,
1991,2,1,1,3,1,11,12,10,3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
1992,1,1,2,3,1,1,2,2,3,4.0,2.0,2.0,3.0,7.0,3.0,2.0,7.0,1.0,1.0,6.0,1.0,1.0,,,,,,,
1993,1,1,7,10,5,2,2,16,3,2.0,1.0,7.0,,,,,,,,,,,,,,,,,
1994,2,6,10,1,1,3,7,5,3,8.0,10.0,14.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,
1995,1,4,1,4,1,1,12,6,11,2.0,5.0,9.0,1.0,2.0,4.0,9.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,
1996,1,2,2,3,6,1,3,1,2,1.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,4.0,1.0,8.0,5.0,1.0,2.0,,,,,,
1997,3,1,2,4,8,1,4,3,10,3.0,1.0,11.0,9.0,13.0,3.0,3.0,,,,,,,,,,,,,
1998,1,2,1,1,2,9,7,11,2,7.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,,,
1999,6,2,6,3,1,1,5,1,19,1.0,12.0,12.0,1.0,4.0,8.0,4.0,3.0,,,,,,,,,,,,
2000,10,3,6,13,8,1,7,4,2,1.0,6.0,4.0,1.0,2.0,24.0,4.0,,,,,,,,,,,,,
2001,2,5,1,4,5,1,1,3,2,2.0,3.0,4.0,7.0,1.0,5.0,1.0,2.0,4.0,6.0,1.0,1.0,7.0,5.0,,,,,,
2002,4,22,8,1,16,6,3,6,2,5.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,,,,,,,,,,,
2003,3,3,6,3,1,2,4,1,3,1.0,2.0,13.0,17.0,4.0,8.0,7.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,
2004,1,2,1,2,1,1,2,1,2,6.0,6.0,1.0,14.0,1.0,1.0,12.0,1.0,4.0,,,,,,,,,,,
2005,1,1,2,12,3,18,2,1,2,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,
2006,2,5,5,1,11,5,13,6,17,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,
2007,2,1,1,3,1,3,16,1,20,2.0,1.0,13.0,4.0,2.0,1.0,6.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,
2008,2,1,6,1,14,7,9,4,4,25.0,2.0,3.0,2.0,7.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
2009,1,1,4,18,25,16,7,2,3,7.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
2010,6,2,1,5,8,1,1,8,11,2.0,2.0,1.0,3.0,1.0,1.0,2.0,8.0,3.0,2.0,1.0,1.0,2.0,7.0,3.0,9.0,,,,
2011,1,1,5,2,12,5,1,4,3,16.0,5.0,11.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,,,,,,,,,,
2012,4,5,6,12,5,4,2,11,3,13.0,5.0,6.0,5.0,8.0,3.0,,,,,,,,,,,,,,
2013,2,1,1,3,2,6,6,1,3,5.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,14.0,3.0,1.0,1.0,7.0,1.0,1.0,,,,,
2014,2,4,4,2,7,2,1,16,10,2.0,3.0,25.0,30.0,4.0,1.0,,,,,,,,,,,,,,
2015,1,2,7,1,13,27,14,1,10,2.0,1.0,,,,,,,,,,,,,,,,,,
2016,4,5,1,1,2,1,2,6,2,19.0,2.0,1.0,10.0,8.0,9.0,16.0,,,,,,,,,,,,,
2017,1,4,3,1,1,2,34,3,3,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,,,,,,,,,,,
2018,1,3,5,2,5,3,1,1,2,2.0,9.0,1.0,1.0,28.0,3.0,1.0,1.0,2.0,26.0,1.0,,,,,,,,,
