Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1981,2,1,1,1,15,2,11,2,2.0,1.0,2.0,2.0,5.0,2.0,7.0,1.0,9.0,3.0,4.0,5.0,1.0,1.0,,,,
1982,1,1,1,5,11,26,4,4,3.0,9.0,4.0,1.0,,,,,,,,,,,,,,
1983,1,1,3,3,2,3,2,1,7.0,1.0,1.0,1.0,2.0,7.0,5.0,3.0,7.0,7.0,4.0,1.0,,,,,,
1984,2,1,1,4,14,5,3,1,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,
1985,1,1,1,3,3,15,1,3,24.0,5.0,3.0,2.0,2.0,3.0,8.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,
1986,2,7,3,4,6,11,10,4,1.0,12.0,3.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,
1987,1,3,9,3,1,2,2,8,13.0,2.0,4.0,1.0,1.0,8.0,1.0,11.0,2.0,2.0,,,,,,,,
1988,1,2,8,7,11,1,1,4,2.0,3.0,13.0,2.0,14.0,1.0,4.0,4.0,8.0,1.0,2.0,,,,,,,
1989,4,3,6,2,31,2,12,2,2.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,
1990,1,2,1,3,3,1,3,2,1.0,7.0,27.0,12.0,2.0,1.0,3.0,2.0,,,,,,,,,,
1991,3,11,3,1,1,19,7,2,12.0,1.0,4.0,5.0,1.0,3.0,6.0,3.0,,,,,,,,,,
1992,3,2,1,1,1,11,2,5,4.0,6.0,3.0,2.0,6.0,1.0,4.0,4.0,2.0,1.0,10.0,3.0,,,,,,
1993,3,7,9,3,33,10,2,2,5.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,
1994,8,14,1,1,2,6,6,1,1.0,1.0,1.0,1.0,13.0,3.0,15.0,1.0,2.0,2.0,8.0,1.0,2.0,,,,,
1995,4,1,8,2,1,3,4,5,19.0,12.0,10.0,2.0,3.0,1.0,8.0,1.0,,,,,,,,,,
1996,1,1,1,1,1,8,5,36,3.0,5.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,
1997,3,7,1,2,1,3,8,6,3.0,36.0,4.0,2.0,3.0,1.0,,,,,,,,,,,,
1998,1,5,2,1,1,9,29,1,9.0,12.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
1999,1,3,1,11,1,45,2,1,11.0,1.0,9.0,1.0,1.0,,,,,,,,,,,,,
2000,2,5,1,5,3,25,13,4,2.0,8.0,7.0,1.0,1.0,2.0,3.0,5.0,,,,,,,,,,
2001,1,1,6,3,6,8,1,1,2.0,9.0,9.0,2.0,2.0,1.0,10.0,2.0,8.0,,,,,,,,,
2002,1,1,8,22,1,2,9,2,7.0,6.0,7.0,1.0,,,,,,,,,,,,,,
2003,3,4,4,2,5,10,4,9,4.0,2.0,6.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,
2004,1,1,3,1,1,21,2,13,2.0,1.0,1.0,5.0,2.0,2.0,2.0,,,,,,,,,,,
2005,1,1,1,2,1,4,6,3,5.0,18.0,24.0,5.0,1.0,21.0,3.0,8.0,2.0,1.0,5.0,,,,,,,
2006,1,1,1,1,1,3,2,1,3.0,2.0,3.0,2.0,8.0,11.0,6.0,3.0,5.0,4.0,1.0,2.0,3.0,5.0,2.0,,,
2007,1,5,1,6,1,19,4,1,3.0,4.0,4.0,2.0,5.0,,,,,,,,,,,,,
2008,1,2,5,10,1,6,1,2,2.0,1.0,2.0,2.0,14.0,11.0,2.0,20.0,,,,,,,,,,
2009,1,2,8,13,4,10,8,1,3.0,3.0,1.0,2.0,15.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
2010,2,11,6,8,7,10,23,4,3.0,5.0,4.0,1.0,1.0,10.0,,,,,,,,,,,,
2011,2,2,6,3,6,1,1,21,9.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,
2012,2,4,4,8,6,5,4,2,2.0,1.0,13.0,3.0,8.0,13.0,1.0,1.0,1.0,,,,,,,,,
2013,2,1,2,2,2,19,62,8,1.0,5.0,,,,,,,,,,,,,,,,
2014,3,3,2,13,2,5,14,1,14.0,11.0,3.0,2.0,2.0,4.0,1.0,,,,,,,,,,,
2015,2,2,3,9,1,3,2,2,2.0,8.0,50.0,11.0,3.0,,,,,,,,,,,,,
2016,1,6,1,7,1,1,2,1,1.0,5.0,13.0,11.0,2.0,4.0,3.0,3.0,1.0,6.0,3.0,,,,,,,
2017,1,3,3,4,3,5,14,3,1.0,14.0,7.0,9.0,1.0,1.0,4.0,,,,,,,,,,,
2018,1,1,1,2,1,1,1,2,3.0,4.0,10.0,9.0,4.0,1.0,20.0,7.0,5.0,1.0,,,,,,,,
