Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2001,1,1,1,1,16,8,5,1,1.0,4.0,1.0,2.0,3.0,3.0,2.0,5.0,9.0,3.0,2.0,5.0,1.0,1.0,,,,,,
2002,3,1,1,4,4,2,2,1,1.0,32.0,4.0,1.0,19.0,1.0,,,,,,,,,,,,,,
2003,1,12,5,10,3,25,5,3,10.0,1.0,12.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,
2004,2,8,2,2,1,4,21,11,38.0,6.0,1.0,6.0,3.0,,,,,,,,,,,,,,,
2005,2,1,2,17,3,12,4,13,18.0,3.0,1.0,10.0,6.0,1.0,5.0,,,,,,,,,,,,,
2006,1,1,1,1,2,1,3,7,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,8.0,1.0,4.0,2.0,2.0,,,,,,
2007,1,1,1,1,10,23,39,2,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,
2008,1,5,18,2,6,9,1,1,2.0,15.0,13.0,18.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
2009,3,8,7,7,1,1,5,10,7.0,4.0,7.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,
2010,1,4,2,3,3,22,1,4,9.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,
2011,1,11,12,4,2,2,7,27,16.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
2012,4,3,3,1,7,4,7,1,7.0,14.0,5.0,8.0,5.0,2.0,7.0,1.0,,,,,,,,,,,,
2013,2,1,2,1,1,2,32,3,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
2014,1,4,1,8,1,2,20,1,1.0,2.0,1.0,1.0,3.0,8.0,1.0,12.0,11.0,9.0,2.0,1.0,6.0,,,,,,,
2015,3,1,2,2,3,25,4,9,5.0,29.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2016,1,3,1,8,61,1,1,2,1.0,7.0,1.0,,,,,,,,,,,,,,,,,
2017,1,2,7,1,2,3,10,30,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,
2018,25,2,22,2,2,24,12,6,4.0,1.0,2.0,,,,,,,,,,,,,,,,,
2019,1,5,18,7,1,1,3,1,5.0,1.0,52.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
2020,1,2,2,2,40,55,2,4,3.0,4.0,2.0,1.0,9.0,,,,,,,,,,,,,,,
2021,2,1,1,1,1,12,1,3,5.0,13.0,9.0,18.0,2.0,3.0,2.0,1.0,6.0,1.0,2.0,,,,,,,,,
2022,3,1,3,2,1,3,13,2,3.0,2.0,7.0,1.0,5.0,3.0,1.0,10.0,1.0,,,,,,,,,,,
2023,1,2,2,12,3,1,7,19,3.0,1.0,3.0,4.0,7.0,1.0,2.0,5.0,1.0,,,,,,,,,,,
2024,7,1,15,11,1,21,3,4,27.0,2.0,3.0,10.0,2.0,1.0,2.0,,,,,,,,,,,,,
2025,1,11,7,1,8,1,1,4,8.0,14.0,6.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,,,,,,,,,,
2026,1,9,5,62,8,8,2,2,1.0,,,,,,,,,,,,,,,,,,,
2027,3,1,1,1,5,12,27,14,2.0,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,
2028,2,1,1,1,1,2,1,1,15.0,2.0,1.0,11.0,6.0,2.0,3.0,3.0,1.0,6.0,1.0,1.0,1.0,,,,,,,
2029,2,1,1,3,10,8,36,1,1.0,6.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
2030,1,2,2,1,2,1,7,10,17.0,11.0,2.0,5.0,6.0,2.0,,,,,,,,,,,,,,
2031,1,3,10,1,10,7,29,2,19.0,1.0,4.0,2.0,5.0,2.0,2.0,,,,,,,,,,,,,
2032,1,1,1,1,6,2,1,2,1.0,6.0,8.0,1.0,3.0,1.0,4.0,8.0,3.0,3.0,7.0,1.0,2.0,1.0,2.0,10.0,1.0,,,
