Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2028,1,4,2,1,4.0,4.0,71.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,
2029,2,2,2,3,1.0,1.0,1.0,6.0,9.0,1.0,2.0,2.0,14.0,9.0,1.0,10.0,1.0,1.0,2.0,,,,,
2030,13,1,1,6,10.0,10.0,1.0,2.0,3.0,8.0,10.0,8.0,2.0,1.0,1.0,,,,,,,,,
2031,2,6,1,2,1.0,1.0,12.0,20.0,3.0,1.0,6.0,3.0,13.0,6.0,1.0,1.0,4.0,2.0,,,,,,
2032,1,1,6,4,9.0,7.0,1.0,2.0,8.0,10.0,2.0,24.0,3.0,8.0,1.0,,,,,,,,,
2033,4,1,1,7,5.0,3.0,1.0,2.0,5.0,13.0,1.0,3.0,7.0,15.0,8.0,20.0,12.0,1.0,1.0,5.0,7.0,,,
2034,1,1,5,12,13.0,2.0,3.0,3.0,5.0,1.0,1.0,6.0,12.0,7.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,,,
2035,1,1,1,1,1.0,1.0,11.0,12.0,1.0,5.0,5.0,4.0,9.0,4.0,1.0,2.0,3.0,5.0,,,,,,
2036,1,1,7,3,3.0,3.0,2.0,2.0,7.0,11.0,8.0,9.0,2.0,5.0,3.0,3.0,6.0,1.0,5.0,1.0,1.0,,,
2037,1,2,5,2,38.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,2.0,1.0,2.0,,,,
2038,2,3,3,1,1.0,4.0,37.0,1.0,29.0,2.0,4.0,7.0,4.0,2.0,1.0,,,,,,,,,
2039,5,1,7,13,31.0,6.0,9.0,1.0,2.0,7.0,2.0,,,,,,,,,,,,,
2040,4,2,1,2,4.0,2.0,58.0,4.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,
2041,2,1,1,4,6.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,5.0,9.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,,,
2042,1,1,2,1,3.0,5.0,1.0,2.0,1.0,6.0,26.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,
