Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1981,1,13,13,2,2,1,1,4,9.0,8.0,8.0,2.0,1.0,1.0,,,,,,,,,,,
1982,2,3,7,4,5,1,1,2,11.0,2.0,1.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,6.0,4.0,13.0,2.0,1.0,1.0
1983,1,2,2,1,2,3,1,7,4.0,1.0,1.0,13.0,5.0,6.0,10.0,2.0,1.0,,,,,,,,
1984,1,1,2,3,2,1,2,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,16.0,1.0,5.0,,,,,,,
1985,1,6,1,22,5,2,3,2,2.0,8.0,3.0,3.0,1.0,3.0,1.0,,,,,,,,,,
1986,1,1,1,3,6,3,5,5,2.0,11.0,2.0,2.0,2.0,14.0,11.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,,,
1987,1,2,10,6,4,24,6,1,7.0,2.0,,,,,,,,,,,,,,,
1988,1,5,1,1,6,1,3,9,3.0,3.0,1.0,7.0,7.0,1.0,1.0,12.0,8.0,2.0,3.0,,,,,,
1989,1,5,1,8,1,4,6,6,4.0,25.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,
1990,2,1,2,5,1,3,10,22,2.0,8.0,1.0,1.0,1.0,,,,,,,,,,,,
1991,6,5,15,1,2,1,1,3,15.0,2.0,5.0,6.0,3.0,4.0,1.0,3.0,4.0,,,,,,,,
1992,1,8,10,5,2,10,3,4,7.0,9.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
1993,1,4,5,3,1,2,4,5,2.0,3.0,1.0,2.0,4.0,1.0,1.0,6.0,13.0,3.0,,,,,,,
1994,5,1,1,3,1,7,7,6,3.0,2.0,3.0,1.0,4.0,4.0,2.0,5.0,15.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0
1995,19,2,7,12,13,5,3,10,2.0,1.0,,,,,,,,,,,,,,,
1996,2,1,1,13,19,3,2,5,3.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,
1997,1,5,4,9,10,2,1,1,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,
1998,4,2,4,2,4,1,3,1,2.0,5.0,8.0,10.0,9.0,,,,,,,,,,,,
1999,7,2,1,3,3,1,30,2,12.0,4.0,3.0,4.0,1.0,,,,,,,,,,,,
2000,3,1,4,3,2,4,1,1,3.0,2.0,10.0,7.0,23.0,2.0,2.0,16.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0
2001,1,1,1,1,4,11,8,5,1.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,,
2002,1,1,4,4,1,1,1,1,20.0,8.0,2.0,4.0,1.0,19.0,1.0,,,,,,,,,,
2003,12,3,9,3,25,5,2,4,2.0,1.0,1.0,3.0,6.0,4.0,2.0,1.0,2.0,,,,,,,,
2004,8,2,2,1,4,21,11,6,30.0,6.0,1.0,6.0,3.0,,,,,,,,,,,,
2005,2,1,17,3,12,4,13,12,5.0,3.0,6.0,2.0,5.0,1.0,5.0,,,,,,,,,,
2006,1,1,1,1,1,2,7,2,1.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,3.0,1.0,2.0,,,,,,
2007,1,1,1,8,1,21,39,1,2.0,3.0,2.0,1.0,,,,,,,,,,,,,
2008,5,17,2,6,9,1,1,2,15.0,12.0,18.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,
2009,1,1,8,7,6,1,1,5,3.0,1.0,4.0,6.0,2.0,7.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,,
2010,4,1,1,3,22,1,4,8,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,
2011,1,11,12,3,2,2,7,26,16.0,1.0,1.0,,,,,,,,,,,,,,
2012,4,3,2,7,1,2,4,1,7.0,8.0,5.0,4.0,8.0,4.0,1.0,7.0,1.0,,,,,,,,
2013,1,1,2,1,2,28,3,2,1.0,1.0,1.0,,,,,,,,,,,,,,
2014,1,3,2,1,2,19,2,1,2.0,8.0,12.0,11.0,5.0,3.0,1.0,5.0,,,,,,,,,
2015,3,1,1,3,1,23,4,8,5.0,28.0,1.0,1.0,1.0,,,,,,,,,,,,
2016,1,2,1,6,19,4,35,1,2.0,1.0,6.0,,,,,,,,,,,,,,
2017,1,2,7,1,1,2,7,16,12.0,1.0,4.0,3.0,1.0,,,,,,,,,,,,
2018,15,7,22,2,19,4,1,9,5.0,4.0,1.0,,,,,,,,,,,,,,
2019,1,4,18,4,2,3,1,4,19.0,30.0,4.0,1.0,1.0,,,,,,,,,,,,
2020,1,2,2,39,8,44,1,4,3.0,4.0,2.0,3.0,,,,,,,,,,,,,
2021,1,1,12,1,3,4,13,9,18.0,2.0,3.0,1.0,1.0,6.0,1.0,,,,,,,,,,
2022,1,3,1,3,12,2,3,2,6.0,1.0,5.0,3.0,1.0,10.0,,,,,,,,,,,
2023,1,2,1,2,9,3,1,7,19.0,3.0,3.0,4.0,7.0,1.0,2.0,2.0,1.0,,,,,,,,
2024,7,3,9,11,1,17,2,3,4.0,5.0,9.0,11.0,2.0,2.0,10.0,2.0,2.0,,,,,,,,
2025,1,9,7,1,8,1,1,4,7.0,14.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,,,,,,
2026,1,9,5,4,57,8,8,2,2.0,1.0,,,,,,,,,,,,,,,
2027,2,1,1,1,4,12,26,14,2.0,1.0,3.0,1.0,4.0,,,,,,,,,,,,
2028,1,1,1,2,2,11,1,9,1.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,
2029,1,1,2,9,8,27,7,1,1.0,1.0,4.0,1.0,5.0,4.0,1.0,,,,,,,,,,
2030,1,1,1,1,2,1,5,10,17.0,5.0,3.0,2.0,4.0,4.0,1.0,2.0,,,,,,,,,
