Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1981,3,2,1,2,1,22,3.0,8.0,3.0,3.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
1982,4,9,3,1,2,3,1.0,4.0,11.0,2.0,44.0,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,
1983,1,2,4,2,12,3,1.0,1.0,1.0,2.0,2.0,1.0,13.0,3.0,3.0,2.0,,,,,,,,,,,,,
1984,1,1,1,1,2,3,6.0,17.0,2.0,5.0,1.0,1.0,8.0,2.0,6.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,,
1985,8,5,7,11,2,1,3.0,5.0,18.0,8.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,
1986,1,1,2,4,3,16,4.0,3.0,1.0,1.0,1.0,2.0,8.0,4.0,3.0,4.0,1.0,1.0,,,,,,,,,,,
1987,2,2,9,1,1,1,22.0,32.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
1988,2,3,1,4,1,2,2.0,6.0,1.0,8.0,1.0,13.0,1.0,2.0,4.0,2.0,2.0,23.0,8.0,9.0,1.0,,,,,,,,
1989,2,3,7,6,2,27,1.0,17.0,4.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
1990,1,9,24,1,4,1,19.0,9.0,10.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,
1991,3,11,3,1,1,19,7.0,2.0,12.0,1.0,4.0,5.0,1.0,3.0,6.0,3.0,,,,,,,,,,,,,
1992,4,1,7,4,1,2,7.0,4.0,4.0,1.0,3.0,2.0,1.0,9.0,6.0,2.0,5.0,2.0,5.0,1.0,1.0,,,,,,,,
1993,2,1,2,5,5,4,6.0,1.0,12.0,8.0,1.0,8.0,1.0,8.0,2.0,4.0,,,,,,,,,,,,,
1994,1,1,2,1,39,1,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,
1995,2,7,1,4,1,1,13.0,6.0,14.0,6.0,9.0,1.0,2.0,5.0,9.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,
1996,1,6,3,2,3,9,2.0,1.0,32.0,4.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
1997,1,1,2,4,4,11,5.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,
1998,1,5,2,1,1,9,29.0,1.0,9.0,12.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1999,2,3,1,1,5,1,5.0,43.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2000,1,1,2,3,35,4,10.0,5.0,10.0,7.0,1.0,12.0,1.0,,,,,,,,,,,,,,,,
2001,1,2,1,7,18,1,1.0,2.0,1.0,2.0,7.0,11.0,5.0,20.0,6.0,9.0,,,,,,,,,,,,,
2002,3,14,5,1,1,2,15.0,10.0,3.0,5.0,2.0,7.0,5.0,,,,,,,,,,,,,,,,
2003,2,4,3,4,5,1,3.0,10.0,13.0,6.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,
2004,2,5,5,2,3,3,16.0,9.0,31.0,5.0,6.0,1.0,6.0,3.0,,,,,,,,,,,,,,,
2005,1,2,1,1,2,8,13.0,13.0,4.0,5.0,3.0,6.0,9.0,1.0,2.0,1.0,5.0,,,,,,,,,,,,
2006,2,2,1,2,5,2,1.0,1.0,14.0,1.0,11.0,1.0,3.0,2.0,6.0,7.0,4.0,6.0,,,,,,,,,,,
2007,2,3,1,3,4,1,2.0,2.0,2.0,11.0,1.0,3.0,26.0,1.0,15.0,,,,,,,,,,,,,,
2008,2,1,1,2,2,1,2.0,4.0,1.0,2.0,2.0,12.0,22.0,15.0,1.0,3.0,3.0,5.0,1.0,,,,,,,,,,
2009,2,1,4,6,16,9,7.0,1.0,25.0,2.0,5.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,
2010,1,4,8,15,5,2,1.0,1.0,25.0,2.0,4.0,5.0,1.0,4.0,1.0,9.0,,,,,,,,,,,,,
2011,1,16,3,4,2,5,22.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,10.0,1.0,6.0,2.0,,,,,,,,,,
2012,1,1,2,2,1,5,1.0,1.0,1.0,2.0,8.0,16.0,3.0,8.0,2.0,21.0,1.0,11.0,1.0,4.0,,,,,,,,,
2013,1,1,6,1,1,7,10.0,8.0,5.0,9.0,2.0,6.0,1.0,7.0,1.0,1.0,,,,,,,,,,,,,
2014,5,5,10,3,6,27,20.0,8.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,
2015,2,1,1,1,5,15,48.0,1.0,3.0,5.0,3.0,1.0,6.0,,,,,,,,,,,,,,,,
2016,1,1,1,1,4,1,10.0,7.0,7.0,6.0,10.0,1.0,14.0,3.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,
2017,1,2,3,1,6,1,7.0,6.0,1.0,7.0,2.0,1.0,14.0,11.0,1.0,6.0,2.0,16.0,1.0,,,,,,,,,,
2018,2,3,1,1,1,1,3.0,1.0,1.0,2.0,4.0,2.0,13.0,1.0,1.0,15.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,4.0,,
2019,3,1,1,1,1,1,4.0,3.0,1.0,15.0,15.0,3.0,9.0,24.0,4.0,1.0,1.0,,,,,,,,,,,,
2020,1,1,3,1,2,1,1.0,11.0,1.0,5.0,11.0,7.0,1.0,5.0,13.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,6.0,,,,,
2021,1,1,63,2,9,1,,,,,,,,,,,,,,,,,,,,,,,
2022,14,6,28,4,7,1,4.0,4.0,11.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
2023,3,1,1,1,1,2,1.0,2.0,1.0,6.0,2.0,5.0,2.0,6.0,3.0,1.0,33.0,1.0,3.0,1.0,1.0,5.0,4.0,,,,,,
2024,1,1,1,6,3,3,1.0,6.0,19.0,47.0,2.0,1.0,2.0,12.0,,,,,,,,,,,,,,,
2025,2,1,5,11,1,9,1.0,1.0,15.0,42.0,2.0,1.0,7.0,12.0,2.0,1.0,1.0,3.0,,,,,,,,,,,
2026,4,1,4,10,3,1,2.0,4.0,2.0,2.0,8.0,1.0,3.0,2.0,1.0,7.0,19.0,3.0,2.0,1.0,13.0,2.0,,,,,,,
2027,13,1,1,6,1,4,11.0,16.0,2.0,1.0,28.0,4.0,,,,,,,,,,,,,,,,,
2028,1,2,6,3,1,1,1.0,3.0,1.0,9.0,1.0,5.0,2.0,31.0,7.0,6.0,4.0,11.0,20.0,1.0,,,,,,,,,
2029,1,1,10,5,2,3,66.0,4.0,3.0,1.0,2.0,7.0,4.0,3.0,5.0,,,,,,,,,,,,,,
2030,14,23,51,1,2,1,17.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2031,1,5,3,1,2,1,1.0,3.0,15.0,1.0,1.0,4.0,8.0,17.0,14.0,14.0,2.0,2.0,6.0,1.0,1.0,1.0,,,,,,,
2032,4,2,2,21,7,9,1.0,5.0,17.0,16.0,1.0,2.0,27.0,2.0,1.0,,,,,,,,,,,,,,
2033,1,1,1,2,4,4,2.0,9.0,9.0,2.0,29.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,,,,,,,,,,
