Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2034,2,1,1,2,1,6,4.0,28.0,5.0,8.0,20.0,6.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,
2035,2,1,2,3,24,1,6.0,8.0,25.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,,
2036,1,12,1,1,7,2,2.0,3.0,1.0,3.0,16.0,1.0,33.0,2.0,5.0,1.0,,,,,,,,,,,,,
2037,1,5,3,2,2,7,1.0,1.0,2.0,1.0,2.0,1.0,20.0,12.0,1.0,5.0,2.0,1.0,9.0,9.0,1.0,1.0,4.0,,,,,,
2038,2,3,1,22,2,2,3.0,4.0,2.0,38.0,12.0,1.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,
2039,5,4,1,4,25,37,2.0,7.0,4.0,1.0,1.0,2.0,13.0,3.0,2.0,,,,,,,,,,,,,,
2040,1,2,7,1,1,16,1.0,1.0,17.0,2.0,16.0,5.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,
2041,1,1,1,1,3,3,2.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,11.0,4.0,16.0,25.0,8.0,1.0,8.0,2.0,1.0,,,,,,
2042,1,1,2,2,2,11,5.0,14.0,2.0,2.0,32.0,20.0,18.0,4.0,,,,,,,,,,,,,,,
2043,1,5,11,4,9,24,20.0,2.0,14.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,
2044,2,3,1,2,1,2,59.0,2.0,1.0,5.0,3.0,2.0,13.0,,,,,,,,,,,,,,,,
2045,1,2,3,5,9,7,10.0,1.0,10.0,6.0,2.0,5.0,7.0,1.0,3.0,5.0,1.0,13.0,6.0,,,,,,,,,,
2046,2,2,4,5,1,4,3.0,1.0,1.0,21.0,1.0,8.0,13.0,5.0,3.0,1.0,4.0,4.0,1.0,5.0,4.0,7.0,1.0,,,,,,
2047,1,1,1,3,1,2,1.0,5.0,9.0,3.0,6.0,2.0,1.0,1.0,2.0,6.0,10.0,1.0,3.0,12.0,1.0,1.0,9.0,1.0,3.0,1.0,3.0,5.0,1.0
2048,2,4,8,2,2,1,2.0,6.0,1.0,3.0,3.0,1.0,2.0,3.0,5.0,6.0,2.0,1.0,13.0,2.0,,,,,,,,,
2049,1,3,3,1,1,1,5.0,58.0,28.0,4.0,21.0,1.0,,,,,,,,,,,,,,,,,
2050,19,1,5,6,40,16,4.0,2.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,
2051,2,2,25,1,1,46,7.0,1.0,15.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,
2052,1,10,10,2,1,39,9.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
2053,1,1,2,1,3,2,4.0,3.0,1.0,2.0,1.0,2.0,49.0,5.0,27.0,9.0,6.0,11.0,,,,,,,,,,,
2054,2,2,11,1,76,3,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2055,1,9,1,1,7,2,1.0,9.0,1.0,1.0,13.0,60.0,6.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
2056,1,1,1,3,2,1,1.0,15.0,16.0,24.0,3.0,8.0,6.0,3.0,8.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,
2057,1,2,2,10,3,2,2.0,2.0,1.0,77.0,3.0,7.0,11.0,3.0,7.0,3.0,,,,,,,,,,,,,
2058,6,1,4,47,53,33,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
2059,1,2,1,5,3,2,4.0,47.0,3.0,2.0,20.0,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,
2060,2,8,1,3,2,2,3.0,4.0,1.0,2.0,6.0,14.0,60.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,7.0,,,
2061,2,2,2,1,1,7,2.0,23.0,2.0,45.0,12.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,,,,,,,,,,,
2062,2,2,2,3,1,1,21.0,6.0,5.0,7.0,1.0,3.0,9.0,4.0,2.0,28.0,3.0,2.0,2.0,1.0,,,,,,,,,
2063,1,2,2,2,1,8,1.0,16.0,9.0,63.0,5.0,9.0,1.0,,,,,,,,,,,,,,,,
2064,2,2,5,1,12,6,2.0,1.0,3.0,9.0,35.0,19.0,10.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,
2065,1,2,1,6,1,2,3.0,20.0,49.0,20.0,14.0,1.0,,,,,,,,,,,,,,,,,
2066,3,1,1,1,1,7,2.0,2.0,31.0,44.0,8.0,7.0,3.0,3.0,4.0,,,,,,,,,,,,,,
2067,1,4,3,12,1,3,2.0,88.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2068,2,3,1,2,2,3,1.0,1.0,2.0,36.0,8.0,3.0,32.0,21.0,2.0,5.0,10.0,3.0,,,,,,,,,,,
2069,1,1,2,8,1,1,3.0,3.0,9.0,3.0,74.0,2.0,2.0,,,,,,,,,,,,,,,,
2070,3,3,1,2,10,2,1.0,9.0,55.0,3.0,7.0,26.0,2.0,4.0,,,,,,,,,,,,,,,
2071,3,2,1,2,9,7,1.0,1.0,10.0,8.0,1.0,4.0,3.0,6.0,2.0,1.0,33.0,3.0,4.0,5.0,2.0,,,,,,,,
2072,2,1,1,1,2,1,3.0,30.0,55.0,8.0,16.0,8.0,7.0,,,,,,,,,,,,,,,,
2073,1,9,5,5,8,3,1.0,4.0,2.0,2.0,5.0,29.0,4.0,27.0,1.0,,,,,,,,,,,,,,
2074,4,3,1,1,2,2,2.0,8.0,5.0,1.0,25.0,65.0,6.0,8.0,2.0,1.0,,,,,,,,,,,,,
2075,2,7,3,3,24,2,5.0,56.0,23.0,4.0,8.0,,,,,,,,,,,,,,,,,,
2076,1,1,1,2,9,2,1.0,18.0,33.0,2.0,26.0,5.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,
2077,4,1,4,12,2,1,81.0,17.0,10.0,2.0,4.0,,,,,,,,,,,,,,,,,,
2078,8,3,11,2,5,3,8.0,8.0,2.0,2.0,36.0,29.0,6.0,2.0,2.0,6.0,,,,,,,,,,,,,
2079,3,15,2,3,4,1,13.0,12.0,2.0,70.0,11.0,1.0,,,,,,,,,,,,,,,,,
2080,2,1,1,1,2,1,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,110.0,6.0,3.0,3.0,1.0,,,,,,,,,,
2081,3,3,4,1,12,118,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
2082,1,6,9,3,1,2,55.0,27.0,2.0,23.0,4.0,1.0,,,,,,,,,,,,,,,,,
2083,1,2,5,3,7,1,6.0,2.0,2.0,22.0,46.0,10.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
2084,7,3,1,5,4,11,15.0,8.0,46.0,1.0,10.0,4.0,,,,,,,,,,,,,,,,,
2085,5,3,4,4,2,27,1.0,60.0,11.0,3.0,1.0,6.0,,,,,,,,,,,,,,,,,
2086,1,1,4,1,3,1,1.0,12.0,1.0,5.0,7.0,1.0,2.0,95.0,8.0,1.0,,,,,,,,,,,,,
2087,1,2,12,1,2,2,9.0,1.0,12.0,30.0,44.0,11.0,,,,,,,,,,,,,,,,,
2088,4,1,1,12,26,12,25.0,3.0,5.0,1.0,49.0,2.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,
2089,1,2,4,3,5,4,1.0,10.0,1.0,10.0,1.0,12.0,5.0,54.0,1.0,9.0,2.0,,,,,,,,,,,,
2090,1,1,4,1,4,16,94.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,,,,,,,,,,,,,
2091,2,1,3,1,2,9,2.0,1.0,17.0,1.0,38.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,
2092,2,1,10,2,2,7,20.0,1.0,1.0,7.0,2.0,2.0,5.0,23.0,1.0,5.0,5.0,3.0,2.0,3.0,7.0,6.0,1.0,2.0,,,,,
2093,1,1,2,3,12,10,10.0,2.0,64.0,5.0,2.0,10.0,,,,,,,,,,,,,,,,,
2094,2,1,3,1,5,2,6.0,1.0,2.0,22.0,84.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
2095,4,1,2,11,6,1,2.0,1.0,15.0,2.0,86.0,8.0,3.0,1.0,15.0,2.0,,,,,,,,,,,,,
2096,9,1,2,3,2,6,4.0,16.0,62.0,1.0,4.0,2.0,1.0,17.0,5.0,,,,,,,,,,,,,,
2097,2,1,1,1,1,3,9.0,8.0,4.0,13.0,66.0,10.0,3.0,7.0,3.0,4.0,1.0,1.0,,,,,,,,,,,
2098,1,2,1,3,2,7,2.0,2.0,2.0,1.0,5.0,11.0,83.0,6.0,4.0,1.0,1.0,,,,,,,,,,,,
