Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2030,1,1,3,3,9,6,7,24,2,5.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,
2031,1,3,38,18,10,1,28,3,1,,,,,,,,,,,,,,,,,,,,,
2032,2,1,35,1,2,35,2,9,1,1.0,,,,,,,,,,,,,,,,,,,,
2033,1,2,4,5,2,2,2,1,8,1.0,3.0,28.0,12.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,
2034,9,2,1,1,3,24,2,26,12,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
2035,4,2,2,2,1,1,6,56,1,5.0,5.0,11.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,
2036,1,4,9,17,4,5,11,1,2,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
2037,1,1,3,2,3,5,1,4,9,1.0,3.0,15.0,10.0,4.0,16.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,,,,,,
2038,3,5,1,1,7,6,1,1,1,8.0,2.0,7.0,1.0,2.0,2.0,1.0,3.0,3.0,10.0,2.0,3.0,6.0,9.0,3.0,4.0,,,,,
2039,1,8,4,1,4,2,32,6,3,11.0,9.0,6.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,
2040,1,1,1,2,4,11,3,2,11,6.0,1.0,1.0,6.0,4.0,8.0,5.0,3.0,3.0,,,,,,,,,,,,
2041,21,4,20,5,2,2,3,5,5,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
2042,1,1,5,1,6,2,16,4,27,8.0,8.0,1.0,7.0,2.0,4.0,1.0,,,,,,,,,,,,,,
2043,1,1,2,3,9,7,3,7,23,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,
2044,2,5,1,8,1,13,7,5,2,12.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
2045,1,2,2,4,1,1,4,20,21,6.0,13.0,1.0,2.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,
2046,1,1,2,32,10,9,3,3,1,,,,,,,,,,,,,,,,,,,,,
2047,2,1,10,4,1,1,17,66,4,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,
2048,2,6,1,3,2,2,6,4,5,1.0,4.0,2.0,1.0,17.0,8.0,4.0,3.0,3.0,4.0,1.0,1.0,6.0,,,,,,,,
2049,3,1,10,1,1,2,1,6,4,3.0,16.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,
2050,2,3,5,12,2,13,18,18,7,1.0,2.0,1.0,4.0,5.0,1.0,,,,,,,,,,,,,,,
2051,2,7,1,1,1,9,10,2,10,2.0,1.0,7.0,1.0,2.0,9.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,,,,,,,
2052,1,2,2,15,8,6,10,11,29,3.0,8.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
2053,4,6,3,7,1,1,3,13,21,13.0,3.0,3.0,7.0,9.0,1.0,4.0,16.0,1.0,1.0,,,,,,,,,,,
2054,1,1,1,2,1,8,3,92,1,6.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2055,4,1,5,1,1,1,22,3,2,2.0,27.0,10.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,,,,,,,,,,
2056,1,4,1,4,3,2,2,9,9,4.0,3.0,2.0,28.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,
2057,1,1,2,2,3,1,4,1,2,30.0,10.0,33.0,1.0,1.0,4.0,4.0,1.0,,,,,,,,,,,,,
2058,1,1,2,3,5,22,12,4,1,2.0,37.0,4.0,2.0,5.0,3.0,4.0,2.0,,,,,,,,,,,,,
2059,2,1,4,3,2,8,1,23,9,7.0,6.0,2.0,11.0,9.0,2.0,5.0,3.0,1.0,2.0,2.0,,,,,,,,,,
2060,3,1,2,2,4,1,2,2,2,15.0,13.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,,,,,,,,,,,
2061,1,3,8,2,2,4,9,2,5,3.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,
2062,1,1,8,10,44,17,2,5,1,1.0,,,,,,,,,,,,,,,,,,,,
2063,3,3,7,1,3,1,8,41,1,2.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,
2064,1,1,7,3,9,1,1,1,1,4.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,7.0,4.0,4.0,17.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0
2065,1,1,9,37,1,2,5,1,25,1.0,5.0,1.0,2.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,,
2066,1,1,1,1,3,11,1,36,5,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2067,2,1,5,1,6,1,4,1,2,3.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,4.0,,,,,,,,,,
2068,1,1,4,1,1,20,2,1,6,27.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,
2069,2,1,2,1,2,3,10,8,4,6.0,20.0,8.0,1.0,4.0,3.0,1.0,1.0,7.0,1.0,,,,,,,,,,,
2070,1,1,3,2,1,1,3,8,2,2.0,6.0,1.0,4.0,13.0,18.0,2.0,1.0,,,,,,,,,,,,,
2071,2,5,10,13,4,1,1,27,13,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,
2072,1,2,2,1,1,3,1,3,1,2.0,9.0,1.0,6.0,5.0,7.0,2.0,3.0,15.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,
2073,7,2,9,2,2,2,1,4,47,3.0,3.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
2074,7,1,4,3,6,19,37,37,12,1.0,2.0,7.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
2075,3,1,4,7,4,6,5,26,9,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2076,1,1,1,1,8,2,1,1,14,8.0,5.0,1.0,1.0,3.0,11.0,29.0,13.0,4.0,1.0,1.0,4.0,1.0,,,,,,,,
2077,2,1,2,2,2,15,6,25,15,5.0,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,
2078,1,1,2,3,4,1,6,1,7,11.0,2.0,2.0,1.0,6.0,1.0,11.0,1.0,6.0,4.0,7.0,3.0,6.0,,,,,,,,
2079,2,1,1,2,2,2,19,2,1,2.0,2.0,16.0,38.0,8.0,15.0,1.0,1.0,1.0,3.0,,,,,,,,,,,
2080,1,3,2,1,4,2,5,3,2,1.0,1.0,50.0,5.0,9.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,,,,,,,
2081,1,1,2,1,11,6,1,27,4,5.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
2082,3,2,1,1,1,7,11,1,2,2.0,6.0,6.0,13.0,6.0,1.0,15.0,2.0,1.0,4.0,4.0,,,,,,,,,,
2083,2,8,3,2,2,8,1,3,15,4.0,2.0,23.0,7.0,11.0,1.0,20.0,1.0,3.0,2.0,,,,,,,,,,,
2084,2,1,3,2,2,4,12,3,6,1.0,4.0,3.0,37.0,4.0,1.0,9.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,
2085,4,1,3,1,9,20,42,10,1,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
2086,4,8,5,13,1,4,27,6,8,1.0,,,,,,,,,,,,,,,,,,,,
2087,2,1,2,2,4,3,1,9,2,6.0,4.0,23.0,8.0,4.0,6.0,3.0,5.0,1.0,,,,,,,,,,,,
