Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1981,1,1,1,2,2,1,1,2,8.0,6.0,4.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
1982,1,2,1,2,3,4,1,2,1.0,2.0,2.0,7.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,
1983,1,3,17,1,14,5,2,5,6.0,2.0,6.0,3.0,1.0,1.0,,,,,,,,,,,,,,
1984,1,8,1,1,2,24,1,1,2.0,5.0,38.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
1985,4,2,2,1,2,1,2,2,1.0,1.0,1.0,10.0,3.0,2.0,3.0,9.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,,,
1986,2,7,3,4,6,11,10,4,1.0,12.0,3.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,
1987,10,5,5,3,1,2,3,8,6.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
1988,1,1,3,6,1,3,2,6,1.0,6.0,1.0,1.0,4.0,1.0,10.0,1.0,7.0,1.0,2.0,1.0,,,,,,,,
1989,3,1,2,3,2,3,7,7,11.0,2.0,2.0,,,,,,,,,,,,,,,,,
1990,1,1,1,3,1,1,2,6,1.0,1.0,18.0,2.0,17.0,5.0,7.0,2.0,4.0,,,,,,,,,,,
1991,4,1,1,10,1,1,1,13,30.0,13.0,3.0,1.0,,,,,,,,,,,,,,,,
1992,2,2,2,18,19,2,4,4,23.0,1.0,7.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,
1993,1,1,1,2,1,5,20,7,4.0,3.0,1.0,1.0,9.0,8.0,2.0,1.0,1.0,1.0,,,,,,,,,,
1994,1,1,2,1,39,1,1,1,1.0,4.0,1.0,,,,,,,,,,,,,,,,,
1995,1,7,6,2,3,6,11,20,7.0,18.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1996,3,1,8,11,17,3,1,1,28.0,23.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,
1997,2,3,1,1,3,1,44,9,10.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,
1998,5,3,5,1,2,1,12,1,2.0,1.0,8.0,5.0,23.0,6.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,
1999,2,1,2,2,21,2,1,2,2.0,2.0,14.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,,,,,,,,,,
2000,1,1,5,1,20,2,14,5,4.0,4.0,21.0,4.0,3.0,15.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,
2001,1,1,17,7,1,4,15,4,13.0,1.0,16.0,2.0,6.0,1.0,,,,,,,,,,,,,,
2002,1,1,1,1,5,23,15,21,1.0,1.0,3.0,3.0,10.0,3.0,1.0,3.0,,,,,,,,,,,,
2003,1,1,2,6,1,3,4,11,15.0,16.0,1.0,2.0,19.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,,,,,,
2004,1,4,2,7,1,6,21,3,13.0,2.0,7.0,1.0,1.0,2.0,,,,,,,,,,,,,,
2005,1,1,6,15,1,2,1,1,5.0,2.0,12.0,2.0,3.0,3.0,1.0,1.0,3.0,,,,,,,,,,,
2006,2,4,1,2,17,2,2,5,18.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,,,,
2007,1,7,17,1,28,8,6,15,3.0,7.0,3.0,,,,,,,,,,,,,,,,,
2008,4,2,3,1,11,2,9,5,13.0,4.0,31.0,4.0,2.0,3.0,1.0,6.0,,,,,,,,,,,,
2009,2,1,1,1,2,2,5,5,14.0,1.0,20.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,
2010,1,1,2,1,7,4,10,1,25.0,44.0,3.0,1.0,4.0,7.0,,,,,,,,,,,,,,
2011,8,5,22,10,1,1,3,4,6.0,12.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,
2012,1,1,1,1,1,11,2,1,2.0,2.0,2.0,6.0,1.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,
2013,1,1,12,3,1,12,3,2,1.0,3.0,21.0,7.0,7.0,2.0,4.0,7.0,4.0,,,,,,,,,,,
2014,1,4,1,2,10,9,1,1,2.0,3.0,2.0,12.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,
2015,1,3,2,2,2,1,3,3,1.0,1.0,21.0,1.0,5.0,3.0,2.0,8.0,1.0,1.0,3.0,1.0,,,,,,,,
2016,1,2,2,3,19,1,1,19,11.0,6.0,12.0,3.0,4.0,,,,,,,,,,,,,,,
2017,1,1,9,2,2,2,1,1,15.0,1.0,8.0,16.0,8.0,3.0,14.0,6.0,10.0,3.0,1.0,1.0,1.0,,,,,,,
2018,2,1,3,8,1,4,4,19,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
2019,1,1,4,13,2,1,4,9,2.0,3.0,2.0,2.0,11.0,8.0,3.0,2.0,3.0,1.0,,,,,,,,,,
2020,1,19,2,66,1,2,7,4,,,,,,,,,,,,,,,,,,,,
2021,17,5,7,1,3,1,4,18,9.0,3.0,1.0,6.0,10.0,2.0,1.0,1.0,,,,,,,,,,,,
2022,1,1,1,1,1,5,31,9,3.0,6.0,4.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,
2023,14,2,2,4,3,13,4,4,3.0,1.0,5.0,9.0,2.0,2.0,1.0,,,,,,,,,,,,,
2024,1,27,6,9,7,9,2,1,1.0,3.0,2.0,,,,,,,,,,,,,,,,,
2025,1,4,2,6,1,11,5,5,29.0,31.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
2026,3,1,1,4,6,2,9,1,14.0,7.0,7.0,2.0,24.0,5.0,2.0,19.0,5.0,6.0,2.0,,,,,,,,,
2027,3,9,2,2,1,6,4,3,8.0,5.0,10.0,2.0,21.0,8.0,1.0,,,,,,,,,,,,,
2028,1,3,3,1,3,17,12,10,22.0,4.0,2.0,5.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,
2029,2,2,4,7,3,2,5,2,2.0,2.0,2.0,9.0,2.0,2.0,9.0,3.0,2.0,,,,,,,,,,,
2030,1,1,3,3,9,6,7,24,2.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,,,,,,,,
2031,1,3,57,11,1,28,3,1,,,,,,,,,,,,,,,,,,,,
2032,2,2,1,38,1,3,36,2,9.0,1.0,1.0,,,,,,,,,,,,,,,,,
2033,1,2,4,5,2,2,2,1,1.0,8.0,1.0,3.0,28.0,1.0,12.0,5.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,,,,,
2034,9,2,1,1,28,30,13,2,8.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
2035,4,2,2,2,1,1,6,58,6.0,5.0,1.0,1.0,1.0,11.0,2.0,6.0,1.0,,,,,,,,,,,
2036,1,1,4,9,17,4,5,11,1.0,2.0,7.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
2037,2,1,3,2,3,5,1,4,9.0,1.0,19.0,10.0,4.0,16.0,4.0,3.0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,,,,,
2038,3,5,1,1,1,15,1,1,1.0,1.0,1.0,8.0,2.0,7.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,10.0,6.0,1.0,16.0,3.0,4.0,1.0
2039,1,8,5,1,4,2,32,7,3.0,23.0,6.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,
2040,1,1,1,1,2,4,11,3,14.0,10.0,6.0,5.0,8.0,5.0,3.0,3.0,1.0,,,,,,,,,,,
2041,21,5,20,5,2,3,4,5,5.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,,,,,,,,,,,
2042,2,1,1,5,1,9,16,4,27.0,19.0,8.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
2043,1,1,2,3,11,8,3,36,4.0,1.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,
2044,3,5,10,1,14,8,5,2,12.0,9.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
2045,1,2,2,4,1,1,4,20,23.0,6.0,13.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,,,,,,,,,,
2046,1,1,2,1,2,32,10,10,3.0,3.0,1.0,,,,,,,,,,,,,,,,,
