Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2047,3,1,10,4,1,1,84,2,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
2048,2,8,1,4,2,9,4,5,1.0,7.0,4.0,28.0,4.0,9.0,4.0,1.0,1.0,6.0,,,,,,,,,,
2049,3,2,10,1,2,1,3,9,5.0,3.0,16.0,3.0,5.0,1.0,1.0,,,,,,,,,,,,,
2050,2,3,5,12,2,1,13,38,7.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,1.0,,,,,,,,,,,
2051,2,7,1,1,1,1,9,13,14.0,2.0,1.0,9.0,2.0,2.0,9.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,,,,,
2052,4,2,15,9,6,10,12,29,3.0,8.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
2053,6,6,4,7,2,1,1,3,13.0,21.0,13.0,4.0,3.0,7.0,9.0,1.0,5.0,16.0,1.0,1.0,,,,,,,,
2054,1,1,1,2,1,8,3,92,8.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
2055,4,1,5,3,2,23,6,3,27.0,10.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,,,,,,,,,,
2056,2,4,1,4,1,1,3,2,2.0,9.0,9.0,4.0,3.0,32.0,7.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,,,,,,
2057,1,1,2,2,3,1,4,1,1.0,2.0,30.0,10.0,33.0,1.0,6.0,4.0,1.0,,,,,,,,,,,
2058,3,1,2,3,5,23,17,2,42.0,4.0,4.0,7.0,3.0,4.0,2.0,,,,,,,,,,,,,
2059,2,1,4,3,2,8,25,10,7.0,7.0,2.0,11.0,9.0,2.0,5.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,
2060,1,3,1,2,2,4,1,2,2.0,2.0,30.0,1.0,1.0,5.0,1.0,5.0,2.0,1.0,4.0,,,,,,,,,
2061,1,3,8,2,3,4,9,2,5.0,1.0,3.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,
2062,1,2,8,1,10,63,2,5,1.0,2.0,,,,,,,,,,,,,,,,,,
2063,1,3,3,7,1,3,1,9,41.0,2.0,3.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,
2064,1,1,8,3,9,1,3,1,5.0,3.0,2.0,5.0,3.0,3.0,4.0,8.0,9.0,17.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,
2065,1,1,11,39,2,5,27,1,1.0,5.0,1.0,2.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,
2066,1,1,1,1,3,52,5,1,5.0,2.0,1.0,,,,,,,,,,,,,,,,,
2067,1,1,2,1,6,1,1,6,1.0,6.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,4.0,,,,,
2068,1,1,4,1,1,21,2,1,1.0,1.0,7.0,27.0,6.0,1.0,1.0,,,,,,,,,,,,,
2069,2,1,2,1,2,3,20,4,28.0,1.0,1.0,10.0,1.0,4.0,3.0,1.0,1.0,7.0,1.0,,,,,,,,,
2070,1,1,6,1,1,3,8,2,11.0,4.0,13.0,19.0,2.0,1.0,,,,,,,,,,,,,,
2071,2,5,10,13,4,2,2,27,13.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,,,,,,,,,,
2072,2,2,1,5,2,4,1,3,1.0,1.0,12.0,9.0,13.0,2.0,19.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,
2073,7,2,9,1,3,2,2,1,1.0,4.0,47.0,3.0,3.0,8.0,3.0,2.0,,,,,,,,,,,,
2074,7,1,1,4,4,7,19,37,37.0,1.0,12.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,,,,,,,,,,
2075,1,3,1,4,7,5,8,5,26.0,9.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
2076,1,1,1,1,1,8,2,1,1.0,14.0,8.0,5.0,1.0,1.0,3.0,12.0,29.0,13.0,5.0,1.0,1.0,4.0,1.0,,,,,
2077,2,1,2,3,2,15,7,25,16.0,5.0,2.0,3.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,
2078,1,4,3,4,1,1,6,10,14.0,4.0,29.0,4.0,7.0,4.0,6.0,,,,,,,,,,,,,
2079,1,3,1,1,2,2,2,19,2.0,1.0,5.0,56.0,8.0,16.0,1.0,2.0,1.0,3.0,,,,,,,,,,
2080,2,3,2,1,4,2,5,4,2.0,1.0,1.0,50.0,5.0,9.0,1.0,1.0,4.0,3.0,3.0,6.0,1.0,1.0,1.0,,,,,
2081,1,1,1,2,3,1,11,6,1.0,27.0,4.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,
2082,1,3,2,1,1,1,8,12,1.0,2.0,9.0,6.0,13.0,6.0,1.0,15.0,2.0,1.0,4.0,4.0,,,,,,,,
2083,3,9,3,2,2,8,1,3,15.0,4.0,2.0,23.0,7.0,11.0,1.0,20.0,1.0,3.0,2.0,,,,,,,,,
2084,2,1,3,2,2,21,7,1,4.0,46.0,1.0,9.0,1.0,4.0,1.0,2.0,1.0,2.0,,,,,,,,,,
2085,4,1,1,3,1,1,1,9,21.0,42.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,
2086,1,4,8,5,13,1,4,27,7.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,
2087,1,2,2,2,2,4,3,1,9.0,9.0,5.0,23.0,8.0,4.0,6.0,3.0,5.0,1.0,,,,,,,,,,
2088,1,1,3,13,3,11,8,27,14.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,
2089,1,1,1,2,2,4,1,13,19.0,4.0,2.0,4.0,2.0,6.0,6.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,
2090,1,2,1,1,1,1,1,4,3.0,19.0,3.0,4.0,6.0,5.0,4.0,26.0,2.0,1.0,2.0,2.0,5.0,,,,,,,
2091,1,2,1,1,11,1,11,55,8.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
2092,2,1,1,5,1,1,1,2,3.0,2.0,6.0,6.0,16.0,19.0,38.0,7.0,3.0,1.0,,,,,,,,,,
2093,2,1,2,2,1,2,1,11,1.0,10.0,12.0,48.0,3.0,2.0,2.0,9.0,3.0,7.0,1.0,,,,,,,,,
2094,6,1,46,22,8,15,3,1,1.0,6.0,1.0,3.0,3.0,,,,,,,,,,,,,,,
2095,2,1,1,1,9,31,1,26,7.0,8.0,5.0,4.0,1.0,7.0,1.0,,,,,,,,,,,,,
2096,1,3,12,1,15,8,62,11,12.0,6.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
2097,1,8,1,2,5,4,2,5,1.0,3.0,3.0,8.0,2.0,15.0,10.0,8.0,2.0,1.0,2.0,2.0,3.0,3.0,,,,,,
2098,1,2,2,9,10,5,8,49,1.0,1.0,,,,,,,,,,,,,,,,,,
