Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2000,2,2,1,2,12.0,4.0,1.0,18.0,1.0,11.0,4.0,2.0,8.0,4.0,12.0,4.0,1.0,7.0,,,,,,,
2001,3,1,1,2,1.0,3.0,43.0,6.0,12.0,2.0,3.0,2.0,3.0,1.0,,,,,,,,,,,
2002,1,1,4,4,1.0,1.0,1.0,1.0,20.0,8.0,2.0,4.0,1.0,19.0,1.0,,,,,,,,,,
2003,1,2,2,4,2.0,3.0,5.0,6.0,6.0,2.0,2.0,1.0,4.0,14.0,8.0,11.0,6.0,1.0,3.0,,,,,,
2004,1,2,4,1,3.0,31.0,11.0,21.0,5.0,2.0,2.0,2.0,,,,,,,,,,,,,
2005,1,1,2,12,3.0,18.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,
2006,1,1,4,1,2.0,3.0,1.0,3.0,10.0,21.0,6.0,14.0,1.0,1.0,4.0,2.0,5.0,7.0,1.0,3.0,,,,,
2007,4,9,8,17,3.0,5.0,15.0,2.0,11.0,2.0,1.0,7.0,1.0,1.0,1.0,,,,,,,,,,
2008,1,2,3,1,1.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,5.0,2.0,3.0,,,,,,,,,,
2009,3,6,7,1,2.0,7.0,11.0,10.0,4.0,12.0,2.0,2.0,3.0,3.0,,,,,,,,,,,
2010,3,7,4,2,2.0,1.0,2.0,11.0,1.0,55.0,3.0,2.0,1.0,,,,,,,,,,,,
2011,1,1,5,2,12.0,5.0,1.0,4.0,3.0,16.0,5.0,11.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,,,,,,
2012,4,5,6,12,5.0,4.0,2.0,11.0,3.0,13.0,5.0,6.0,5.0,8.0,3.0,,,,,,,,,,
2013,1,1,2,1,1.0,40.0,6.0,27.0,18.0,3.0,1.0,2.0,3.0,1.0,6.0,1.0,2.0,,,,,,,,
2014,5,1,3,1,33.0,1.0,13.0,2.0,6.0,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,
2015,2,1,1,2,2.0,14.0,52.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2016,10,65,2,4,,,,,,,,,,,,,,,,,,,,,
2017,8,14,3,2,1.0,10.0,5.0,2.0,4.0,1.0,5.0,6.0,12.0,1.0,1.0,1.0,4.0,,,,,,,,
2018,15,7,22,2,19.0,4.0,1.0,9.0,5.0,4.0,1.0,,,,,,,,,,,,,,
2019,8,1,7,16,5.0,3.0,18.0,5.0,8.0,3.0,2.0,1.0,,,,,,,,,,,,,
2020,1,4,2,1,6.0,13.0,16.0,2.0,4.0,17.0,2.0,,,,,,,,,,,,,,
2021,1,1,2,3,1.0,6.0,4.0,3.0,14.0,3.0,17.0,3.0,1.0,6.0,1.0,8.0,,,,,,,,,
2022,1,2,1,3,5.0,3.0,1.0,2.0,5.0,1.0,3.0,8.0,1.0,7.0,1.0,2.0,1.0,5.0,2.0,1.0,,,,,
2023,31,2,1,26,5.0,1.0,1.0,2.0,1.0,12.0,4.0,5.0,13.0,4.0,,,,,,,,,,,
2024,2,3,2,1,2.0,11.0,1.0,6.0,9.0,4.0,1.0,9.0,2.0,25.0,8.0,3.0,,,,,,,,,
2025,1,8,14,3,4.0,25.0,1.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,,
2026,3,1,1,1,5.0,3.0,2.0,29.0,26.0,10.0,2.0,7.0,1.0,4.0,2.0,,,,,,,,,,
2027,1,1,1,2,1.0,7.0,2.0,1.0,1.0,3.0,11.0,6.0,1.0,3.0,9.0,2.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0,,
2028,1,3,2,4,4.0,71.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
2029,1,2,1,3,1.0,1.0,1.0,6.0,9.0,1.0,2.0,2.0,13.0,9.0,1.0,10.0,1.0,1.0,2.0,,,,,,
2030,13,1,1,6,10.0,10.0,1.0,1.0,2.0,8.0,9.0,7.0,2.0,1.0,1.0,,,,,,,,,,
2031,2,6,1,2,11.0,18.0,1.0,3.0,6.0,2.0,12.0,6.0,1.0,3.0,2.0,,,,,,,,,,
2032,1,6,4,9,6.0,1.0,1.0,1.0,6.0,4.0,4.0,1.0,24.0,2.0,7.0,1.0,,,,,,,,,
2033,4,7,5,3,1.0,2.0,5.0,13.0,2.0,6.0,15.0,8.0,20.0,12.0,1.0,1.0,5.0,7.0,,,,,,,
2034,1,2,2,12,13.0,2.0,3.0,3.0,5.0,1.0,6.0,8.0,3.0,7.0,1.0,1.0,2.0,6.0,1.0,,,,,,
2035,1,1,1,1,11.0,12.0,1.0,5.0,2.0,3.0,6.0,2.0,4.0,1.0,2.0,3.0,5.0,,,,,,,,
2036,1,1,6,1,1.0,3.0,1.0,1.0,2.0,2.0,7.0,11.0,7.0,8.0,1.0,5.0,2.0,3.0,6.0,1.0,3.0,1.0,1.0,1.0,
2037,1,2,5,2,38.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,
2038,2,3,2,1,4.0,37.0,1.0,5.0,23.0,2.0,4.0,7.0,4.0,2.0,1.0,,,,,,,,,,
2039,4,1,7,13,31.0,2.0,3.0,9.0,1.0,2.0,7.0,1.0,,,,,,,,,,,,,
2040,2,2,1,2,4.0,2.0,36.0,11.0,9.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,
2041,2,1,4,6,1.0,1.0,2.0,1.0,4.0,3.0,6.0,3.0,1.0,9.0,6.0,1.0,1.0,3.0,1.0,1.0,,,,,
2042,1,2,1,2,3.0,1.0,1.0,1.0,6.0,5.0,19.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,
2043,1,3,3,2,2.0,2.0,4.0,1.0,4.0,10.0,5.0,9.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,5.0,,,,
2044,5,1,1,2,5.0,1.0,2.0,11.0,2.0,3.0,3.0,5.0,1.0,9.0,27.0,11.0,3.0,1.0,1.0,5.0,,,,,
2045,1,1,4,3,3.0,1.0,1.0,14.0,1.0,5.0,13.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,,,,,,
2046,6,2,4,5,2.0,2.0,6.0,3.0,8.0,1.0,5.0,2.0,8.0,27.0,1.0,1.0,1.0,,,,,,,,
2047,1,11,2,1,1.0,1.0,4.0,12.0,3.0,13.0,22.0,8.0,7.0,1.0,,,,,,,,,,,
2048,4,2,2,5,7.0,2.0,5.0,9.0,1.0,3.0,2.0,3.0,1.0,4.0,18.0,1.0,5.0,3.0,4.0,7.0,1.0,6.0,4.0,1.0,1.0
2049,1,4,1,2,1.0,13.0,7.0,2.0,2.0,2.0,1.0,7.0,2.0,11.0,1.0,3.0,16.0,4.0,1.0,1.0,12.0,4.0,1.0,,
2050,1,1,1,2,1.0,2.0,9.0,13.0,10.0,2.0,1.0,3.0,5.0,15.0,1.0,1.0,1.0,1.0,2.0,,,,,,
2051,1,1,1,1,3.0,1.0,1.0,5.0,6.0,3.0,20.0,31.0,12.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,
2052,1,1,2,4,1.0,2.0,2.0,6.0,1.0,4.0,4.0,33.0,3.0,15.0,1.0,5.0,1.0,9.0,3.0,1.0,3.0,4.0,,,
2053,8,3,18,1,12.0,28.0,11.0,9.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2054,1,1,3,1,10.0,1.0,5.0,5.0,2.0,1.0,3.0,6.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,,,,
2055,3,5,1,2,2.0,2.0,1.0,4.0,1.0,5.0,4.0,2.0,16.0,2.0,2.0,11.0,2.0,1.0,4.0,1.0,1.0,,,,
2056,3,1,1,4,6.0,1.0,7.0,14.0,2.0,23.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,,,,,,,
2057,1,2,3,3,4.0,13.0,13.0,2.0,4.0,16.0,2.0,8.0,4.0,2.0,2.0,2.0,,,,,,,,,
2058,2,4,3,3,1.0,2.0,1.0,1.0,9.0,1.0,2.0,3.0,2.0,2.0,16.0,4.0,2.0,15.0,,,,,,,
2059,1,1,1,3,2.0,4.0,3.0,1.0,2.0,3.0,2.0,6.0,5.0,11.0,28.0,,,,,,,,,,
2060,1,1,5,1,2.0,16.0,6.0,1.0,2.0,5.0,1.0,2.0,2.0,7.0,13.0,1.0,3.0,11.0,2.0,2.0,5.0,3.0,,,
2061,1,2,1,2,15.0,4.0,21.0,17.0,15.0,1.0,2.0,2.0,2.0,5.0,,,,,,,,,,,
2062,4,2,1,11,5.0,68.0,2.0,1.0,6.0,7.0,,,,,,,,,,,,,,,
2063,2,1,2,8,1.0,2.0,1.0,2.0,28.0,30.0,16.0,1.0,1.0,3.0,,,,,,,,,,,
2064,5,1,5,1,3.0,16.0,1.0,25.0,13.0,1.0,8.0,2.0,1.0,,,,,,,,,,,,
2065,1,2,6,1,5.0,2.0,8.0,8.0,3.0,19.0,5.0,1.0,1.0,5.0,3.0,6.0,2.0,10.0,1.0,7.0,,,,,
2066,1,1,1,1,2.0,4.0,1.0,2.0,1.0,13.0,10.0,2.0,8.0,2.0,4.0,6.0,10.0,4.0,8.0,1.0,1.0,,,,
2067,1,5,3,8,11.0,15.0,13.0,5.0,1.0,2.0,10.0,14.0,7.0,2.0,1.0,1.0,1.0,,,,,,,,
2068,3,1,1,4,1.0,25.0,5.0,1.0,14.0,5.0,2.0,1.0,4.0,10.0,1.0,1.0,4.0,1.0,1.0,,,,,,
2069,2,4,1,3,3.0,1.0,2.0,4.0,2.0,1.0,2.0,7.0,12.0,6.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,,
2070,1,1,1,5,3.0,2.0,4.0,16.0,1.0,6.0,4.0,28.0,1.0,31.0,1.0,1.0,5.0,1.0,2.0,,,,,,
2071,1,1,2,2,8.0,1.0,2.0,33.0,6.0,1.0,19.0,8.0,1.0,1.0,,,,,,,,,,,
2072,2,5,9,5,3.0,3.0,2.0,1.0,1.0,8.0,24.0,4.0,,,,,,,,,,,,,
2073,1,3,1,1,3.0,8.0,51.0,3.0,6.0,,,,,,,,,,,,,,,,
2074,1,2,3,8,4.0,32.0,9.0,3.0,6.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,,,,,,,,
2075,1,1,5,17,7.0,3.0,3.0,10.0,4.0,6.0,14.0,4.0,7.0,6.0,3.0,1.0,3.0,3.0,2.0,2.0,,,,,
2076,3,1,1,15,8.0,4.0,9.0,1.0,1.0,9.0,10.0,18.0,2.0,2.0,6.0,,,,,,,,,,
2077,1,2,3,5,6.0,2.0,3.0,1.0,2.0,6.0,1.0,11.0,1.0,1.0,1.0,2.0,11.0,1.0,,,,,,,
2078,3,1,3,58,2.0,12.0,3.0,2.0,5.0,9.0,,,,,,,,,,,,,,,
2079,5,8,10,2,8.0,2.0,15.0,1.0,23.0,1.0,2.0,6.0,12.0,11.0,,,,,,,,,,,
2080,1,4,3,5,1.0,4.0,9.0,2.0,2.0,5.0,3.0,20.0,9.0,12.0,1.0,9.0,1.0,1.0,,,,,,,
2081,1,3,3,2,12.0,8.0,14.0,7.0,1.0,17.0,9.0,1.0,3.0,3.0,10.0,2.0,,,,,,,,,
2082,2,2,8,1,2.0,2.0,2.0,3.0,46.0,1.0,2.0,2.0,14.0,2.0,,,,,,,,,,,
2083,3,2,9,1,1.0,9.0,1.0,35.0,8.0,1.0,2.0,3.0,1.0,1.0,3.0,,,,,,,,,,
2084,1,2,1,3,5.0,2.0,12.0,2.0,4.0,2.0,9.0,4.0,4.0,4.0,8.0,6.0,2.0,2.0,4.0,3.0,,,,,
2085,4,7,1,85,10.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
2086,1,3,5,3,1.0,21.0,16.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,1.0,,,,,,,,,
2087,4,1,1,2,4.0,41.0,1.0,6.0,4.0,4.0,2.0,7.0,1.0,1.0,,,,,,,,,,,
2088,1,3,8,5,2.0,4.0,8.0,1.0,1.0,2.0,19.0,2.0,2.0,1.0,13.0,8.0,3.0,2.0,2.0,3.0,14.0,,,,
2089,2,3,1,1,3.0,7.0,1.0,2.0,16.0,2.0,1.0,2.0,4.0,,,,,,,,,,,,
2090,4,1,1,12,27.0,8.0,17.0,2.0,2.0,9.0,3.0,,,,,,,,,,,,,,
2091,15,2,2,3,10.0,12.0,13.0,8.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,,,
2092,1,5,8,22,1.0,9.0,3.0,1.0,5.0,15.0,3.0,23.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,
2093,3,1,3,2,1.0,12.0,1.0,14.0,1.0,1.0,10.0,2.0,2.0,5.0,1.0,9.0,4.0,1.0,,,,,,,
2094,8,1,2,1,2.0,5.0,5.0,19.0,1.0,8.0,2.0,5.0,6.0,9.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,,
2095,4,4,1,2,3.0,4.0,6.0,4.0,12.0,34.0,3.0,2.0,1.0,8.0,1.0,6.0,,,,,,,,,
2096,1,19,2,11,1.0,9.0,19.0,15.0,2.0,1.0,7.0,1.0,1.0,1.0,,,,,,,,,,,
2097,11,2,2,1,10.0,3.0,1.0,8.0,8.0,2.0,1.0,3.0,2.0,2.0,4.0,19.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,,
2098,2,2,2,7,16.0,1.0,7.0,23.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,,,,,,,,
