Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1981,1,1,4,3,3.0,2.0,3.0,9.0,5.0,5.0,3.0,2.0,4.0,,,,,,,,,,,,
1982,1,6,13,1,1.0,2.0,5.0,2.0,1.0,1.0,9.0,28.0,1.0,7.0,1.0,,,,,,,,,,
1983,2,1,9,3,2.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,6.0,6.0,1.0,1.0,,,,,,,,,
1984,6,1,5,12,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,14.0,1.0,5.0,,,,,,,,,
1985,2,4,2,3,1.0,3.0,6.0,1.0,1.0,2.0,16.0,3.0,6.0,1.0,1.0,2.0,1.0,,,,,,,,
1986,5,1,1,5,15.0,4.0,14.0,12.0,12.0,3.0,1.0,2.0,1.0,2.0,6.0,,,,,,,,,,
1987,2,2,3,1,27.0,2.0,9.0,2.0,1.0,1.0,9.0,6.0,1.0,4.0,,,,,,,,,,,
1988,2,15,4,4,1.0,7.0,4.0,8.0,5.0,4.0,25.0,7.0,5.0,1.0,3.0,1.0,,,,,,,,,
1989,16,4,17,5,4.0,2.0,1.0,3.0,2.0,3.0,6.0,6.0,1.0,1.0,1.0,,,,,,,,,,
1990,3,14,5,4,3.0,1.0,16.0,5.0,4.0,3.0,17.0,4.0,3.0,3.0,1.0,,,,,,,,,,
1991,3,11,3,1,8.0,10.0,5.0,1.0,2.0,12.0,1.0,4.0,5.0,1.0,2.0,5.0,3.0,,,,,,,,
1992,1,9,6,1,2.0,1.0,2.0,1.0,8.0,2.0,1.0,5.0,16.0,4.0,1.0,2.0,1.0,,,,,,,,
1993,7,1,1,1,14.0,5.0,3.0,2.0,9.0,1.0,1.0,,,,,,,,,,,,,,
1994,4,2,1,1,3.0,23.0,12.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
1995,2,1,1,3,1.0,3.0,12.0,1.0,3.0,1.0,4.0,1.0,4.0,8.0,3.0,,,,,,,,,,
1996,7,1,12,1,12.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,7.0,7.0,3.0,2.0,2.0,,,
1997,3,1,2,4,8.0,1.0,4.0,3.0,10.0,3.0,1.0,11.0,9.0,13.0,3.0,3.0,,,,,,,,,
1998,8,1,23,5,3.0,1.0,13.0,3.0,5.0,4.0,2.0,1.0,,,,,,,,,,,,,
1999,9,1,2,26,2.0,1.0,2.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,,,,,,,,,,,
