Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1981,3,2,1,2,1,22,3,8,3.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,
1982,4,9,3,1,2,3,1,4,11.0,2.0,43.0,6.0,1.0,2.0,1.0,,,,,,,,,,,,,
1983,1,2,4,2,12,3,1,1,1.0,2.0,2.0,1.0,13.0,3.0,3.0,2.0,,,,,,,,,,,,
1984,1,1,1,2,1,3,6,17,2.0,5.0,1.0,1.0,8.0,2.0,6.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,
1985,8,4,7,11,1,1,3,5,4.0,13.0,8.0,2.0,2.0,4.0,1.0,,,,,,,,,,,,,
1986,1,1,2,4,4,16,4,3,1.0,1.0,1.0,2.0,8.0,3.0,3.0,4.0,1.0,1.0,,,,,,,,,,
1987,2,2,9,1,22,32,2,1,1.0,2.0,,,,,,,,,,,,,,,,,,
1988,3,3,1,4,1,2,2,6,1.0,9.0,1.0,13.0,1.0,2.0,4.0,2.0,2.0,23.0,8.0,9.0,1.0,,,,,,,
1989,2,3,7,6,2,27,16,4,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
1990,1,9,24,1,4,1,19,9,10.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,
1991,1,3,11,3,1,1,19,7,2.0,12.0,1.0,4.0,5.0,1.0,3.0,6.0,3.0,,,,,,,,,,,
1992,4,2,7,4,1,2,7,4,4.0,1.0,3.0,2.0,1.0,9.0,6.0,2.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,,,,,
1993,2,1,1,5,5,4,6,12,8.0,1.0,8.0,1.0,9.0,2.0,4.0,,,,,,,,,,,,,
1994,1,1,2,1,39,1,1,1,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,
1995,2,1,5,1,4,1,1,13,6.0,14.0,5.0,9.0,1.0,2.0,5.0,9.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,,,
1996,1,6,1,3,2,1,3,9,1.0,1.0,31.0,4.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,
1997,1,1,2,4,4,11,5,1,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,
1998,1,5,2,1,9,29,1,22,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
1999,1,2,3,1,1,5,1,5,43.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
2000,1,2,3,35,4,10,5,10,6.0,1.0,12.0,1.0,,,,,,,,,,,,,,,,
2001,1,2,7,18,1,1,2,1,2.0,7.0,11.0,5.0,20.0,6.0,8.0,,,,,,,,,,,,,
2002,3,11,2,5,1,1,2,14,10.0,3.0,5.0,1.0,2.0,7.0,5.0,,,,,,,,,,,,,
2003,2,4,3,4,5,5,10,13,5.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,
2004,2,5,5,2,3,3,16,8,31.0,5.0,6.0,1.0,6.0,3.0,,,,,,,,,,,,,,
2005,1,1,2,1,1,2,8,13,12.0,4.0,5.0,3.0,5.0,9.0,2.0,2.0,1.0,5.0,,,,,,,,,,
2006,1,2,1,2,5,2,1,1,14.0,1.0,3.0,7.0,1.0,2.0,2.0,6.0,7.0,4.0,6.0,,,,,,,,,
2007,2,3,1,3,5,1,2,1,2.0,11.0,1.0,3.0,26.0,1.0,15.0,,,,,,,,,,,,,
2008,2,1,1,2,7,4,1,2,2.0,12.0,22.0,15.0,1.0,3.0,3.0,5.0,1.0,,,,,,,,,,,
2009,2,1,4,6,16,9,7,1,25.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,
2010,2,4,8,15,5,2,1,1,25.0,2.0,4.0,5.0,1.0,4.0,1.0,9.0,,,,,,,,,,,,
2011,1,1,16,3,4,2,5,22,2.0,1.0,2.0,1.0,1.0,2.0,5.0,10.0,1.0,6.0,2.0,,,,,,,,,
2012,1,1,2,2,1,5,1,1,1.0,2.0,8.0,16.0,3.0,8.0,2.0,21.0,11.0,1.0,4.0,,,,,,,,,
2013,1,6,1,1,7,10,8,5,9.0,2.0,6.0,1.0,8.0,1.0,1.0,,,,,,,,,,,,,
2014,5,5,10,3,6,2,24,20,8.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,
2015,2,1,1,1,5,15,48,3,5.0,3.0,1.0,6.0,,,,,,,,,,,,,,,,
2016,3,1,1,4,10,7,7,6,10.0,1.0,14.0,1.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,
2017,1,2,3,6,1,7,6,1,7.0,2.0,1.0,14.0,11.0,6.0,1.0,16.0,1.0,,,,,,,,,,,
2018,2,3,1,1,1,1,3,1,1.0,2.0,4.0,1.0,14.0,1.0,1.0,15.0,1.0,8.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,,
2019,3,1,1,1,1,1,4,3,1.0,10.0,4.0,15.0,3.0,9.0,24.0,4.0,1.0,1.0,,,,,,,,,,
2020,1,2,3,1,2,1,1,11,1.0,5.0,11.0,7.0,1.0,5.0,13.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,6.0,,,,
