Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2021,1,1,1,33,29,2,9,1,,,,,,,,,,,,,,,,,,,,
2022,14,6,28,4,7,3,4,11,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
2023,3,1,1,1,1,2,1,2,1.0,6.0,2.0,5.0,1.0,6.0,3.0,1.0,33.0,1.0,3.0,1.0,1.0,5.0,4.0,,,,,
2024,1,1,1,9,3,2,1,1,4.0,19.0,44.0,2.0,2.0,1.0,2.0,12.0,,,,,,,,,,,,
2025,2,1,5,11,1,9,1,1,15.0,42.0,2.0,1.0,7.0,12.0,2.0,1.0,1.0,3.0,,,,,,,,,,
2026,4,1,4,10,3,1,2,4,2.0,2.0,7.0,1.0,3.0,2.0,1.0,7.0,19.0,3.0,2.0,1.0,12.0,2.0,,,,,,
2027,13,1,1,6,1,4,11,16,2.0,1.0,6.0,21.0,4.0,,,,,,,,,,,,,,,
2028,1,1,2,3,2,1,1,1,1.0,3.0,1.0,9.0,1.0,2.0,2.0,2.0,25.0,5.0,7.0,6.0,4.0,11.0,14.0,4.0,1.0,,,
2029,1,10,2,2,2,2,66,4,3.0,1.0,2.0,7.0,4.0,3.0,5.0,,,,,,,,,,,,,
2030,14,2,20,8,42,1,2,1,8.0,8.0,14.0,1.0,1.0,,,,,,,,,,,,,,,
2031,1,1,3,1,3,1,2,1,1.0,3.0,15.0,1.0,1.0,1.0,1.0,2.0,5.0,17.0,14.0,14.0,2.0,1.0,6.0,1.0,1.0,1.0,,
2032,4,2,2,21,7,9,1,5,17.0,16.0,1.0,2.0,26.0,2.0,,,,,,,,,,,,,,
2033,1,1,1,2,4,1,2,2,9.0,9.0,2.0,6.0,22.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,,,,,,
2034,2,1,1,3,1,6,4,27,5.0,8.0,20.0,6.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,
2035,2,1,2,3,24,1,6,8,25.0,10.0,3.0,1.0,,,,,,,,,,,,,,,,
2036,1,12,1,1,7,2,2,3,1.0,3.0,16.0,1.0,33.0,1.0,5.0,1.0,,,,,,,,,,,,
2037,1,5,3,2,2,7,1,1,2.0,1.0,2.0,1.0,20.0,12.0,1.0,5.0,2.0,1.0,9.0,9.0,1.0,4.0,,,,,,
2038,2,3,1,22,1,2,3,4,2.0,38.0,12.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,
2039,5,2,1,1,4,25,37,2,7.0,4.0,2.0,9.0,3.0,3.0,2.0,,,,,,,,,,,,,
2040,2,7,1,1,16,1,1,17,2.0,16.0,4.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,
2041,1,1,1,1,3,3,2,2,3.0,1.0,1.0,1.0,8.0,2.0,11.0,4.0,16.0,25.0,8.0,1.0,8.0,2.0,1.0,,,,,
2042,1,1,2,2,2,11,5,14,2.0,2.0,32.0,20.0,18.0,4.0,,,,,,,,,,,,,,
2043,1,5,11,3,3,5,24,20,2.0,14.0,6.0,3.0,2.0,,,,,,,,,,,,,,,
2044,2,3,1,2,1,2,59,2,1.0,5.0,3.0,2.0,13.0,,,,,,,,,,,,,,,
2045,1,2,3,5,9,7,10,1,10.0,6.0,2.0,5.0,7.0,1.0,3.0,5.0,1.0,13.0,6.0,,,,,,,,,
2046,1,2,4,3,1,1,4,3,1.0,1.0,21.0,1.0,8.0,13.0,5.0,3.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,7.0,1.0,,,
2047,1,1,3,2,1,5,9,3,1.0,4.0,2.0,2.0,6.0,10.0,1.0,3.0,11.0,1.0,1.0,9.0,3.0,1.0,3.0,5.0,1.0,,,
2048,2,4,8,2,2,1,2,6,1.0,3.0,3.0,2.0,3.0,5.0,6.0,2.0,1.0,13.0,1.0,,,,,,,,,
2049,1,3,3,1,2,1,4,58,28.0,4.0,21.0,1.0,,,,,,,,,,,,,,,,
2050,19,1,5,5,40,16,4,2,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,
2051,2,2,25,1,1,46,7,1,15.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,
2052,1,10,10,2,1,46,2,1,1.0,2.0,,,,,,,,,,,,,,,,,,
2053,1,1,2,1,3,2,4,3,1.0,2.0,1.0,2.0,49.0,5.0,27.0,9.0,6.0,11.0,,,,,,,,,,
2054,2,2,11,1,76,3,5,1,1.0,,,,,,,,,,,,,,,,,,,
2055,1,2,5,1,7,2,1,4,4.0,1.0,1.0,13.0,58.0,6.0,1.0,2.0,1.0,,,,,,,,,,,
2056,1,1,1,3,2,1,1,15,16.0,8.0,15.0,3.0,8.0,6.0,3.0,8.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,
2057,1,2,2,10,3,2,2,2,1.0,77.0,3.0,7.0,11.0,3.0,7.0,3.0,,,,,,,,,,,,
2058,6,1,4,47,53,33,1,3,,,,,,,,,,,,,,,,,,,,
2059,1,2,1,5,3,2,3,47,3.0,2.0,20.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,
2060,2,8,1,3,2,2,3,4,1.0,2.0,5.0,14.0,9.0,21.0,27.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,7.0
2061,2,2,2,1,1,7,26,2,45.0,12.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,,,,,,,,,,,
2062,2,2,2,3,1,21,6,5,7.0,1.0,3.0,9.0,4.0,2.0,13.0,14.0,3.0,2.0,1.0,,,,,,,,,
2063,1,2,2,2,1,8,1,16,9.0,63.0,5.0,9.0,1.0,,,,,,,,,,,,,,,
2064,2,2,5,1,12,5,2,1,3.0,9.0,35.0,19.0,2.0,7.0,3.0,2.0,1.0,1.0,,,,,,,,,,
2065,1,2,1,6,1,2,3,20,49.0,8.0,11.0,14.0,1.0,,,,,,,,,,,,,,,
2066,3,1,2,1,1,7,2,2,31.0,44.0,8.0,7.0,2.0,3.0,4.0,,,,,,,,,,,,,
2067,1,5,3,12,1,3,2,86,1.0,2.0,,,,,,,,,,,,,,,,,,
2068,2,2,1,1,3,3,1,2,36.0,7.0,3.0,32.0,21.0,2.0,5.0,10.0,3.0,,,,,,,,,,,
2069,1,2,8,1,1,3,3,8,3.0,74.0,2.0,2.0,,,,,,,,,,,,,,,,
2070,7,1,2,10,2,1,9,55,3.0,7.0,26.0,2.0,4.0,,,,,,,,,,,,,,,
2071,3,1,2,1,2,9,7,1,2.0,10.0,8.0,1.0,4.0,3.0,6.0,2.0,1.0,33.0,3.0,1.0,4.0,1.0,5.0,2.0,,,,
2072,2,1,1,1,2,1,3,30,55.0,8.0,16.0,8.0,3.0,3.0,,,,,,,,,,,,,,
2073,1,9,4,5,8,3,1,4,2.0,2.0,5.0,29.0,4.0,27.0,1.0,,,,,,,,,,,,,
2074,4,3,1,1,1,2,2,8,5.0,1.0,25.0,65.0,6.0,8.0,2.0,1.0,,,,,,,,,,,,
2075,2,7,3,3,24,2,5,3,52.0,23.0,4.0,8.0,,,,,,,,,,,,,,,,
2076,1,1,1,1,9,2,1,18,33.0,2.0,26.0,5.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,
2077,3,1,4,12,1,1,81,17,10.0,2.0,4.0,,,,,,,,,,,,,,,,,
2078,8,3,11,2,6,3,8,8,2.0,2.0,10.0,25.0,29.0,6.0,2.0,2.0,6.0,,,,,,,,,,,
2079,3,15,2,3,4,1,14,12,2.0,70.0,11.0,1.0,,,,,,,,,,,,,,,,
2080,2,1,1,1,2,1,4,1,1.0,2.0,3.0,1.0,1.0,1.0,1.0,110.0,6.0,3.0,3.0,1.0,,,,,,,,
2081,3,3,4,1,12,118,2,3,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
2082,1,6,9,3,1,2,55,27,2.0,23.0,3.0,,,,,,,,,,,,,,,,,
2083,1,1,5,3,7,1,6,2,2.0,22.0,46.0,10.0,6.0,1.0,1.0,3.0,1.0,,,,,,,,,,,
2084,8,3,1,5,4,11,15,8,46.0,1.0,10.0,4.0,,,,,,,,,,,,,,,,
2085,5,3,4,4,2,27,1,60,11.0,3.0,1.0,4.0,1.0,,,,,,,,,,,,,,,
2086,1,1,1,4,1,3,1,1,12.0,1.0,5.0,7.0,1.0,2.0,95.0,8.0,,,,,,,,,,,,
2087,1,2,12,1,2,2,9,1,12.0,30.0,44.0,11.0,,,,,,,,,,,,,,,,
2088,4,1,1,12,26,12,25,3,5.0,1.0,49.0,2.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,
2089,1,2,4,3,5,4,1,10,1.0,9.0,1.0,12.0,5.0,54.0,1.0,9.0,2.0,,,,,,,,,,,
2090,1,4,1,4,2,13,94,2,8.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,
2091,2,1,3,2,9,2,1,3,13.0,1.0,5.0,32.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,
2092,2,1,11,2,2,7,20,1,7.0,2.0,2.0,5.0,23.0,1.0,5.0,5.0,3.0,2.0,3.0,7.0,4.0,1.0,1.0,2.0,,,,
2093,1,1,2,3,12,10,10,2,64.0,5.0,2.0,10.0,,,,,,,,,,,,,,,,
2094,2,3,1,5,2,6,1,2,22.0,11.0,72.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
2095,4,1,2,12,5,1,2,1,15.0,2.0,86.0,8.0,3.0,1.0,15.0,1.0,2.0,,,,,,,,,,,
2096,9,1,2,3,2,6,4,16,62.0,1.0,4.0,2.0,1.0,17.0,5.0,,,,,,,,,,,,,
2097,2,1,1,1,3,1,9,8,4.0,13.0,49.0,16.0,10.0,3.0,7.0,3.0,4.0,1.0,1.0,,,,,,,,,
2098,1,2,1,3,3,7,2,2,2.0,1.0,4.0,11.0,83.0,6.0,4.0,1.0,,,,,,,,,,,,
