Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2024,2,1,4,1,12,1,11,8.0,21.0,8.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,
2025,3,1,5,11,1,9,1,1.0,15.0,42.0,4.0,7.0,12.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,
2026,2,6,5,1,4,6,4,2.0,2.0,1.0,14.0,1.0,9.0,4.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,,
2027,2,1,1,1,3,8,1,15.0,11.0,1.0,10.0,6.0,11.0,7.0,9.0,1.0,,,,,,,,,,,,,
2028,1,3,1,6,10,1,11,2.0,16.0,6.0,3.0,4.0,8.0,1.0,1.0,1.0,5.0,2.0,3.0,,,,,,,,,,
2029,1,1,1,4,1,3,15,22.0,3.0,7.0,7.0,5.0,2.0,1.0,,,,,,,,,,,,,,,
2030,1,1,1,1,1,1,2,3.0,1.0,1.0,8.0,3.0,5.0,25.0,23.0,8.0,2.0,1.0,4.0,2.0,2.0,,,,,,,,
2031,1,1,4,2,1,1,2,2.0,14.0,12.0,35.0,1.0,2.0,7.0,1.0,4.0,6.0,,,,,,,,,,,,
2032,1,1,1,10,2,1,13,12.0,1.0,2.0,3.0,3.0,2.0,10.0,13.0,2.0,7.0,,,,,,,,,,,,
2033,1,1,5,1,5,2,3,8.0,19.0,1.0,10.0,12.0,7.0,2.0,3.0,12.0,6.0,1.0,2.0,,,,,,,,,,
2034,1,1,2,7,7,22,9,3.0,2.0,1.0,11.0,36.0,2.0,4.0,2.0,1.0,,,,,,,,,,,,,
2035,1,9,5,1,2,21,15,38.0,3.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,
2036,1,10,1,3,5,6,4,3.0,3.0,3.0,10.0,6.0,5.0,13.0,8.0,3.0,2.0,5.0,,,,,,,,,,,
2037,1,1,1,1,1,4,7,1.0,2.0,12.0,5.0,16.0,24.0,5.0,7.0,,,,,,,,,,,,,,
2038,1,2,4,1,1,1,3,5.0,10.0,2.0,34.0,4.0,8.0,3.0,,,,,,,,,,,,,,,
2039,2,3,1,1,2,3,1,1.0,8.0,1.0,2.0,7.0,24.0,5.0,3.0,28.0,6.0,1.0,1.0,2.0,1.0,,,,,,,,
2040,3,8,7,2,1,2,9,24.0,7.0,29.0,1.0,2.0,14.0,9.0,,,,,,,,,,,,,,,
2041,4,3,15,14,39,27,21,,,,,,,,,,,,,,,,,,,,,,
2042,3,5,3,4,1,3,3,3.0,4.0,1.0,46.0,12.0,5.0,4.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,
2043,1,1,14,1,1,1,8,2.0,2.0,2.0,1.0,4.0,1.0,8.0,14.0,1.0,10.0,2.0,2.0,7.0,1.0,1.0,,,,,,,
2044,2,4,8,3,8,6,66,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
2045,1,1,2,1,1,5,48,2.0,39.0,3.0,8.0,3.0,,,,,,,,,,,,,,,,,
2046,2,1,1,6,1,6,10,2.0,11.0,1.0,19.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,2.0,2.0,,,,,,,,
2047,2,4,20,42,4,12,2,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2048,1,1,1,1,4,65,24,1.0,1.0,20.0,3.0,,,,,,,,,,,,,,,,,,
2049,1,1,3,1,2,6,2,9.0,1.0,2.0,2.0,1.0,2.0,25.0,20.0,3.0,11.0,1.0,5.0,15.0,3.0,,,,,,,,
2050,1,4,4,12,2,1,2,1.0,1.0,18.0,44.0,2.0,12.0,5.0,,,,,,,,,,,,,,,
2051,3,6,2,3,6,1,1,17.0,18.0,1.0,1.0,16.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,
2052,1,1,3,3,2,5,4,4.0,5.0,6.0,11.0,5.0,5.0,38.0,4.0,2.0,2.0,2.0,1.0,,,,,,,,,,
2053,1,2,4,1,1,10,16,4.0,3.0,3.0,40.0,2.0,1.0,15.0,6.0,2.0,4.0,1.0,2.0,,,,,,,,,,
2054,2,1,1,2,1,4,23,1.0,1.0,3.0,9.0,2.0,10.0,7.0,3.0,4.0,2.0,7.0,7.0,1.0,14.0,3.0,3.0,1.0,5.0,2.0,1.0,,
2055,2,1,2,2,3,1,5,1.0,2.0,1.0,65.0,14.0,12.0,2.0,,,,,,,,,,,,,,,
2056,1,1,1,2,4,4,1,5.0,2.0,1.0,1.0,1.0,2.0,15.0,3.0,40.0,1.0,12.0,1.0,3.0,1.0,1.0,1.0,,,,,,
2057,1,1,2,3,3,1,19,15.0,2.0,11.0,18.0,3.0,1.0,2.0,15.0,2.0,5.0,,,,,,,,,,,,
2058,1,20,5,1,2,19,13,4.0,12.0,1.0,60.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
2059,9,2,6,1,2,6,20,1.0,10.0,9.0,13.0,4.0,34.0,1.0,25.0,2.0,2.0,1.0,,,,,,,,,,,
2060,2,5,2,7,3,2,2,2.0,2.0,1.0,6.0,9.0,1.0,20.0,21.0,7.0,1.0,4.0,18.0,5.0,7.0,3.0,1.0,1.0,,,,,
2061,1,3,4,1,15,59,18,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2062,2,5,39,31,24,25,2,2.0,1.0,,,,,,,,,,,,,,,,,,,,
2063,1,4,3,1,13,1,4,75.0,1.0,28.0,1.0,,,,,,,,,,,,,,,,,,
2064,5,1,2,5,2,1,57,3.0,11.0,8.0,11.0,7.0,1.0,,,,,,,,,,,,,,,,
2065,1,1,2,5,7,11,9,46.0,1.0,1.0,9.0,2.0,10.0,,,,,,,,,,,,,,,,
2066,1,1,1,4,1,2,6,8.0,18.0,1.0,21.0,1.0,16.0,12.0,2.0,2.0,7.0,3.0,1.0,4.0,,,,,,,,,
2067,1,1,1,1,3,14,1,2.0,1.0,17.0,1.0,1.0,1.0,2.0,40.0,17.0,1.0,10.0,3.0,,,,,,,,,,
2068,1,3,5,1,3,2,1,1.0,19.0,3.0,41.0,5.0,3.0,5.0,1.0,10.0,3.0,2.0,1.0,,,,,,,,,,
2069,1,1,15,2,11,63,4,1.0,5.0,5.0,6.0,1.0,3.0,4.0,2.0,,,,,,,,,,,,,,
2070,1,2,1,3,1,3,11,1.0,3.0,6.0,2.0,17.0,7.0,6.0,35.0,3.0,9.0,2.0,1.0,,,,,,,,,,
2071,2,1,2,2,3,1,26,40.0,9.0,6.0,5.0,1.0,4.0,4.0,,,,,,,,,,,,,,,
2072,2,1,1,1,2,1,3,31.0,55.0,8.0,16.0,8.0,7.0,,,,,,,,,,,,,,,,
2073,1,2,2,6,8,1,2,5.0,11.0,3.0,8.0,44.0,6.0,2.0,2.0,3.0,,,,,,,,,,,,,
2074,1,1,29,1,78,19,14,,,,,,,,,,,,,,,,,,,,,,
2075,1,2,8,30,6,58,22,3.0,6.0,1.0,,,,,,,,,,,,,,,,,,,
2076,1,2,6,3,5,1,17,1.0,21.0,3.0,1.0,2.0,31.0,22.0,5.0,,,,,,,,,,,,,,
2077,2,2,2,23,8,75,16,11.0,1.0,6.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,
2078,2,2,13,9,2,19,1,18.0,14.0,2.0,3.0,5.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,
2079,5,8,8,7,7,2,1,7.0,42.0,53.0,1.0,3.0,6.0,2.0,2.0,,,,,,,,,,,,,,
2080,1,1,1,7,1,3,3,13.0,54.0,2.0,5.0,3.0,4.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,
2081,5,1,2,3,9,5,5,52.0,1.0,6.0,12.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
2082,1,1,4,1,1,4,1,8.0,1.0,4.0,12.0,79.0,1.0,6.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
2083,1,1,2,1,14,2,4,2.0,21.0,2.0,2.0,5.0,38.0,15.0,9.0,5.0,5.0,4.0,,,,,,,,,,,
2084,2,1,1,2,1,1,2,5.0,1.0,60.0,1.0,16.0,1.0,12.0,12.0,,,,,,,,,,,,,,
2085,1,1,3,6,1,4,2,2.0,4.0,6.0,5.0,4.0,14.0,73.0,3.0,1.0,1.0,1.0,,,,,,,,,,,
