Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2029,1,1,4,3,13,22,1,6.0,7.0,4.0,2.0,,,,,,,,,,,,,,
2030,1,1,1,1,2,1,1,8.0,2.0,4.0,25.0,23.0,8.0,1.0,4.0,2.0,1.0,,,,,,,,
2031,4,2,1,2,2,14,12,26.0,8.0,1.0,2.0,7.0,4.0,4.0,,,,,,,,,,,
2032,7,2,1,1,13,12,1,2.0,2.0,3.0,1.0,9.0,4.0,7.0,2.0,6.0,,,,,,,,,
2033,1,5,1,5,2,3,7,9.0,9.0,1.0,2.0,6.0,12.0,7.0,1.0,3.0,12.0,6.0,1.0,,,,,,
2034,1,6,7,14,6,9,3,1.0,10.0,1.0,32.0,2.0,4.0,2.0,,,,,,,,,,,
2035,2,4,1,4,2,21,2,12.0,38.0,3.0,11.0,1.0,,,,,,,,,,,,,
2036,10,1,3,5,6,4,3,3.0,2.0,9.0,6.0,5.0,13.0,8.0,3.0,1.0,5.0,,,,,,,,
2037,1,1,4,6,1,2,7,4.0,5.0,16.0,23.0,5.0,5.0,,,,,,,,,,,,
2038,1,4,1,1,1,5,10,1.0,16.0,17.0,4.0,8.0,3.0,,,,,,,,,,,,
2039,2,1,2,1,1,8,1,2.0,7.0,9.0,14.0,5.0,3.0,28.0,6.0,1.0,1.0,,,,,,,,
2040,2,3,2,7,1,1,2,8.0,18.0,4.0,7.0,28.0,1.0,1.0,2.0,11.0,9.0,,,,,,,,
2041,3,3,15,13,38,27,21,,,,,,,,,,,,,,,,,,
2042,1,5,2,3,2,3,2,3.0,45.0,11.0,4.0,3.0,1.0,1.0,5.0,3.0,1.0,,,,,,,,
2043,1,13,1,8,2,2,1,1.0,4.0,8.0,14.0,1.0,10.0,1.0,2.0,7.0,1.0,,,,,,,,
2044,1,4,8,3,8,5,57,7.0,5.0,2.0,2.0,,,,,,,,,,,,,,
2045,1,2,1,4,22,24,2,39.0,3.0,5.0,1.0,3.0,,,,,,,,,,,,,
2046,2,1,3,1,5,9,2,9.0,19.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,1.0,,,,,,,,
2047,2,4,19,17,23,4,12,1.0,4.0,1.0,,,,,,,,,,,,,,,
2048,1,1,1,3,4,5,25,28.0,24.0,1.0,19.0,2.0,,,,,,,,,,,,,
2049,1,2,1,2,6,8,1,2.0,2.0,1.0,2.0,25.0,20.0,1.0,1.0,6.0,3.0,5.0,15.0,1.0,,,,,
2050,4,4,12,2,1,2,18,19.0,23.0,2.0,12.0,1.0,,,,,,,,,,,,,
2051,2,6,2,2,6,1,17,1.0,16.0,1.0,1.0,16.0,2.0,2.0,,,,,,,,,,,
2052,3,2,2,5,4,4,4,6.0,11.0,1.0,5.0,38.0,3.0,1.0,1.0,1.0,,,,,,,,,
2053,2,4,1,1,10,16,4,1.0,3.0,32.0,6.0,2.0,1.0,2.0,9.0,2.0,6.0,1.0,4.0,1.0,1.0,,,,
2054,1,2,1,4,22,1,3,6.0,2.0,1.0,10.0,5.0,3.0,3.0,2.0,7.0,5.0,13.0,1.0,2.0,1.0,4.0,,,
2055,1,1,1,1,3,1,4,1.0,2.0,65.0,14.0,3.0,8.0,1.0,,,,,,,,,,,
2056,1,1,2,4,2,5,1,1.0,2.0,14.0,1.0,1.0,39.0,12.0,3.0,1.0,1.0,,,,,,,,
2057,1,1,2,2,1,1,19,6.0,7.0,2.0,11.0,17.0,2.0,1.0,4.0,10.0,2.0,5.0,,,,,,,
2058,1,19,5,1,1,19,8,4.0,3.0,12.0,1.0,59.0,2.0,1.0,,,,,,,,,,,
2059,9,1,2,3,1,1,6,10.0,8.0,1.0,7.0,9.0,13.0,3.0,34.0,16.0,8.0,1.0,2.0,,,,,,
2060,2,5,2,2,4,3,2,1.0,1.0,2.0,6.0,8.0,20.0,21.0,7.0,1.0,4.0,3.0,12.0,1.0,4.0,6.0,3.0,,
2061,1,3,4,1,14,59,15,2.0,6.0,1.0,,,,,,,,,,,,,,,
2062,2,4,17,19,1,2,28,24.0,16.0,7.0,2.0,2.0,,,,,,,,,,,,,
2063,1,2,3,1,12,1,4,75.0,4.0,5.0,17.0,,,,,,,,,,,,,,
2064,5,2,5,2,1,56,3,10.0,3.0,4.0,10.0,2.0,4.0,1.0,,,,,,,,,,,
2065,1,2,4,7,11,1,7,1.0,5.0,37.0,9.0,2.0,9.0,,,,,,,,,,,,
2066,1,4,1,2,6,7,18,1.0,21.0,1.0,7.0,8.0,12.0,1.0,2.0,7.0,2.0,1.0,4.0,,,,,,
2067,1,3,14,2,1,16,1,1.0,1.0,2.0,40.0,17.0,7.0,3.0,,,,,,,,,,,
2068,1,3,5,2,2,1,19,3.0,27.0,13.0,5.0,3.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0,1.0,,,,,
2069,1,9,5,2,11,25,21,10.0,4.0,3.0,1.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,,,,,,,
2070,1,1,2,1,2,9,3,6.0,2.0,16.0,7.0,6.0,34.0,3.0,8.0,,,,,,,,,,
2071,2,1,2,2,3,1,25,40.0,6.0,1.0,3.0,5.0,1.0,3.0,4.0,,,,,,,,,,
2072,1,1,1,1,2,3,30,19.0,35.0,4.0,3.0,16.0,8.0,1.0,3.0,,,,,,,,,,
2073,2,1,5,7,1,2,3,11.0,3.0,8.0,43.0,3.0,2.0,1.0,2.0,3.0,,,,,,,,,
2074,1,9,18,35,41,3,15,5.0,7.0,,,,,,,,,,,,,,,,
2075,2,8,30,6,58,6,15,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2076,1,2,5,3,5,1,7,9.0,4.0,16.0,1.0,1.0,2.0,31.0,22.0,5.0,,,,,,,,,
2077,1,23,8,69,5,16,11,1.0,6.0,3.0,1.0,,,,,,,,,,,,,,
2078,1,1,8,4,9,2,18,1.0,10.0,7.0,4.0,9.0,1.0,3.0,5.0,1.0,2.0,2.0,,,,,,,
2079,5,8,8,6,7,1,1,6.0,41.0,53.0,6.0,2.0,2.0,,,,,,,,,,,,
2080,1,6,1,3,1,13,54,2.0,5.0,2.0,4.0,4.0,1.0,1.0,,,,,,,,,,,
2081,5,1,2,2,8,4,4,36.0,14.0,1.0,6.0,12.0,1.0,1.0,2.0,,,,,,,,,,
2082,1,1,4,4,8,1,4,3.0,5.0,1.0,2.0,41.0,26.0,6.0,1.0,6.0,2.0,2.0,1.0,,,,,,
2083,1,1,1,13,2,4,1,20.0,1.0,2.0,5.0,38.0,14.0,9.0,4.0,1.0,2.0,3.0,,,,,,,
2084,1,1,2,1,1,5,1,60.0,1.0,16.0,1.0,12.0,11.0,,,,,,,,,,,,
2085,1,3,6,1,3,2,2,4.0,6.0,5.0,4.0,8.0,4.0,66.0,4.0,2.0,1.0,1.0,,,,,,,
2086,2,2,1,7,4,6,21,29.0,37.0,9.0,5.0,2.0,1.0,,,,,,,,,,,,
2087,1,1,2,1,6,1,1,2.0,2.0,3.0,3.0,5.0,9.0,1.0,22.0,76.0,14.0,1.0,1.0,,,,,,
2088,1,5,1,2,40,42,1,3.0,1.0,21.0,33.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,
2089,4,5,2,3,5,6,14,74.0,20.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,
2090,2,1,1,4,2,1,29,12.0,54.0,4.0,1.0,5.0,2.0,3.0,,,,,,,,,,,
2091,1,3,1,1,1,1,1,14.0,4.0,14.0,19.0,11.0,13.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,6.0,,,
2092,1,2,1,1,18,1,2,5.0,5.0,81.0,16.0,10.0,,,,,,,,,,,,,
2093,1,1,3,9,11,3,54,12.0,3.0,1.0,11.0,2.0,1.0,,,,,,,,,,,,
2094,2,1,4,10,10,18,8,44.0,39.0,1.0,,,,,,,,,,,,,,,
2095,3,2,1,1,2,1,1,2.0,2.0,1.0,4.0,7.0,99.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,
2096,1,2,1,1,1,2,11,2.0,13.0,34.0,35.0,8.0,3.0,3.0,2.0,,,,,,,,,,
2097,2,4,6,1,2,1,2,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,15.0,42.0,69.0,,,,,,,
2098,4,2,5,21,1,72,6,7.0,2.0,,,,,,,,,,,,,,,,
