Season,0
1981,55.0
1982,95.0
1983,53.0
1984,71.0
1985,76.0
1986,60.0
1987,76.0
1988,96.0
1989,77.0
1990,87.0
1991,82.0
1992,72.0
1993,70.0
1994,53.0
1995,92.0
1996,73.0
1997,60.0
1998,77.0
1999,71.0
2000,92.0
2001,94.0
2002,73.0
2003,76.0
2004,97.0
2005,77.0
2006,71.0
2007,77.0
2008,82.0
2009,86.0
2010,88.0
2011,87.0
2012,92.0
2013,67.0
2014,93.0
2015,92.0
2016,79.0
2017,89.0
2018,82.0
2019,88.0
2020,92.0
2021,77.0
2022,87.0
2023,86.0
2024,105.0
2025,117.0
2026,95.0
2027,88.0
2028,116.0
2029,117.0
2030,125.0
2031,104.0
2032,117.0
2033,85.0
2034,92.0
2035,86.0
2036,91.0
2037,93.0
2038,101.0
2039,111.0
2040,78.0
2041,105.0
2042,116.0
2043,101.0
2044,96.0
2045,97.0
2046,101.0
2047,96.0
2048,69.0
2049,127.0
2050,102.0
2051,107.0
2052,76.0
2053,130.0
2054,103.0
2055,118.0
2056,102.0
2057,136.0
2058,148.0
2059,100.0
2060,136.0
2061,118.0
2062,105.0
2063,120.0
2064,113.0
2065,120.0
2066,118.0
2067,119.0
2068,137.0
2069,110.0
2070,128.0
2071,108.0
2072,135.0
2073,106.0
2074,136.0
2075,137.0
2076,109.0
2077,138.0
2078,133.0
2079,137.0
2080,145.0
2081,152.0
2082,134.0
2083,121.0
2084,115.0
2085,127.0
2086,144.0
2087,127.0
2088,152.0
2089,125.0
2090,147.0
2091,97.0
2092,120.0
2093,122.0
2094,137.0
2095,160.0
2096,135.0
2097,138.0
2098,134.0
