Season,0
1981,80.0
1982,70.0
1983,62.0
1984,42.0
1985,84.0
1986,72.0
1987,74.0
1988,89.0
1989,72.0
1990,71.0
1991,82.0
1992,72.0
1993,84.0
1994,90.0
1995,84.0
1996,70.0
1997,80.0
1998,77.0
1999,88.0
2000,87.0
2001,72.0
2002,67.0
2003,68.0
2004,58.0
2005,112.0
2006,71.0
2007,56.0
2008,82.0
2009,79.0
2010,95.0
2011,60.0
2012,78.0
2013,104.0
2014,80.0
2015,98.0
2016,72.0
2017,73.0
2018,74.0
2019,99.0
2020,81.0
2021,73.0
2022,100.0
2023,104.0
2024,115.0
2025,110.0
2026,93.0
2027,103.0
2028,90.0
2029,112.0
2030,101.0
2031,79.0
2032,85.0
2033,99.0
2034,76.0
2035,85.0
2036,96.0
2037,78.0
2038,101.0
2039,98.0
2040,128.0
2041,99.0
2042,111.0
2043,94.0
2044,85.0
2045,98.0
2046,101.0
2047,113.0
2048,75.0
2049,106.0
2050,109.0
2051,87.0
2052,111.0
2053,108.0
2054,130.0
2055,107.0
2056,122.0
2057,80.0
2058,98.0
2059,114.0
2060,118.0
2061,113.0
2062,116.0
2063,92.0
2064,124.0
2065,131.0
2066,119.0
2067,108.0
2068,137.0
2069,124.0
2070,142.0
2071,147.0
2072,113.0
2073,124.0
2074,101.0
2075,99.0
2076,130.0
2077,118.0
2078,103.0
2079,139.0
2080,113.0
2081,137.0
2082,137.0
2083,128.0
2084,129.0
2085,144.0
2086,114.0
2087,159.0
2088,149.0
2089,140.0
2090,123.0
2091,148.0
2092,118.0
2093,116.0
2094,146.0
2095,155.0
2096,129.0
2097,143.0
2098,141.0
